Timestamp,Service,HTTP_RPM,HTTP_LAT,gRPC_RPM,gRPC_LAT,CPU_ms,MEM_MiB,Pods
2026-03-30 14:54:55,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,4,96,1
2026-03-30 14:54:56,details-v1,0.0,0.0,0.0,0.0,0,39,1
2026-03-30 14:54:57,productpage-v1,0.0,0.0,0.0,0.0,2,305,1
2026-03-30 14:54:58,ratings-v1,0.0,0.0,0.0,0.0,1,25,1
2026-03-30 14:54:59,reviews-v1,0.0,0.0,0.0,0.0,2,93,1
2026-03-30 14:54:59,reviews-v2,0.0,0.0,0.0,0.0,1,108,1
2026-03-30 14:55:00,reviews-v3,0.0,0.0,0.0,0.0,2,108,1
2026-03-30 14:55:01,waypoint,0.0,0.0,0.0,0.0,5,128,1
2026-03-30 14:55:08,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,3,96,1
2026-03-30 14:55:09,details-v1,40.0,0.0,0.0,0.0,0,39,1
2026-03-30 14:55:10,productpage-v1,0.0,0.0,0.0,0.0,2,305,1
2026-03-30 14:55:12,ratings-v1,24.6,0.0,0.0,0.0,0,25,1
2026-03-30 14:55:13,reviews-v1,6.9,0.0,0.0,0.0,2,93,1
2026-03-30 14:55:14,reviews-v2,10.3,0.0,0.0,0.0,2,108,1
2026-03-30 14:55:15,reviews-v3,13.7,0.0,0.0,0.0,1,108,1
2026-03-30 14:55:16,waypoint,0.0,0.0,0.0,0.0,6,128,1
2026-03-30 14:55:23,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,37,97,1
2026-03-30 14:55:24,details-v1,982.3,24.3,0.0,0.0,32,39,1
2026-03-30 14:55:25,productpage-v1,522.3,221.3,0.0,0.0,2,305,1
2026-03-30 14:55:26,ratings-v1,597.1,7.4,0.0,0.0,2,25,1
2026-03-30 14:55:27,reviews-v1,212.0,16.0,0.0,0.0,5,93,1
2026-03-30 14:55:28,reviews-v2,213.7,36.9,0.0,0.0,2,108,1
2026-03-30 14:55:30,reviews-v3,251.4,20.2,0.0,0.0,1,109,1
2026-03-30 14:55:31,waypoint,0.0,0.0,0.0,0.0,122,128,1
2026-03-30 14:55:38,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,99,97,1
2026-03-30 14:55:39,details-v1,2229.1,24.2,0.0,0.0,97,39,1
2026-03-30 14:55:40,productpage-v1,1636.0,811.5,0.0,0.0,523,310,1
2026-03-30 14:55:41,ratings-v1,1330.9,7.0,0.0,0.0,17,25,1
2026-03-30 14:55:43,reviews-v1,457.1,14.0,0.0,0.0,10,93,1
2026-03-30 14:55:44,reviews-v2,441.1,32.9,0.0,0.0,21,108,1
2026-03-30 14:55:46,reviews-v3,524.6,19.5,0.0,0.0,28,109,1
2026-03-30 14:55:47,waypoint,0.0,0.0,0.0,0.0,165,128,1
2026-03-30 14:55:54,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,99,97,1
2026-03-30 14:55:55,details-v1,3216.3,23.7,0.0,0.0,96,39,1
2026-03-30 14:55:56,productpage-v1,2814.9,904.2,0.0,0.0,680,311,4
2026-03-30 14:55:58,ratings-v1,1904.4,7.2,0.0,0.0,16,25,1
2026-03-30 14:55:59,reviews-v1,659.9,13.6,0.0,0.0,9,93,1
2026-03-30 14:56:00,reviews-v2,633.7,32.6,0.0,0.0,25,109,1
2026-03-30 14:56:02,reviews-v3,781.7,20.4,0.0,0.0,21,109,1
2026-03-30 14:56:03,waypoint,0.0,0.0,0.0,0.0,135,130,1
2026-03-30 14:56:10,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,94,98,1
2026-03-30 14:56:10,details-v1,4660.0,63.5,0.0,0.0,83,41,1
2026-03-30 14:56:12,productpage-v1,4086.3,1080.3,0.0,0.0,2439,1132,4
2026-03-30 14:56:14,ratings-v1,2689.1,25.3,0.0,0.0,11,25,1
2026-03-30 14:56:15,reviews-v1,1060.6,41.3,0.0,0.0,17,93,1
2026-03-30 14:56:17,reviews-v2,946.8,88.4,0.0,0.0,34,108,1
2026-03-30 14:56:18,reviews-v3,1099.3,108.6,0.0,0.0,31,108,1
2026-03-30 14:56:20,waypoint,0.0,0.0,0.0,0.0,194,130,1
2026-03-30 14:56:27,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,119,98,1
2026-03-30 14:56:28,details-v1,6279.8,126.0,0.0,0.0,141,43,1
2026-03-30 14:56:29,productpage-v1,5708.6,904.5,0.0,0.0,947,1136,5
2026-03-30 14:56:30,ratings-v1,3551.5,43.6,0.0,0.0,18,25,1
2026-03-30 14:56:32,reviews-v1,1610.4,64.1,0.0,0.0,15,93,1
2026-03-30 14:56:33,reviews-v2,1318.3,152.4,0.0,0.0,39,109,1
2026-03-30 14:56:34,reviews-v3,1380.0,141.4,0.0,0.0,28,109,1
2026-03-30 14:56:35,waypoint,0.0,0.0,0.0,0.0,191,131,1
2026-03-30 14:56:42,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,135,98,1
2026-03-30 14:56:43,details-v1,8126.3,154.7,0.0,0.0,143,43,1
2026-03-30 14:56:44,productpage-v1,7557.1,787.3,0.0,0.0,1562,1403,5
2026-03-30 14:56:45,ratings-v1,4532.0,47.5,0.0,0.0,19,25,1
