Timestamp,Service,HTTP_RPM,HTTP_LAT,gRPC_RPM,gRPC_LAT,CPU_ms,MEM_MiB,Pods
2026-03-24 14:32:38,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,4,85,1
2026-03-24 14:32:38,details-v1,0.0,0.0,0.0,0.0,0,30,1
2026-03-24 14:32:39,productpage-v1,0.0,0.0,0.0,0.0,2,302,1
2026-03-24 14:32:39,ratings-v1,0.0,0.0,0.0,0.0,1,20,1
2026-03-24 14:32:40,reviews-v1,0.0,0.0,0.0,0.0,2,86,1
2026-03-24 14:32:40,reviews-v2,0.0,0.0,0.0,0.0,2,97,1
2026-03-24 14:32:41,reviews-v3,0.0,0.0,0.0,0.0,2,102,1
2026-03-24 14:32:41,waypoint,0.0,0.0,0.0,0.0,4,116,1
2026-03-24 14:32:48,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,3,85,1
2026-03-24 14:32:49,details-v1,45.7,0.0,0.0,0.0,0,30,1
2026-03-24 14:32:50,productpage-v1,0.0,0.0,0.0,0.0,2,302,1
2026-03-24 14:32:51,ratings-v1,112.6,0.0,0.0,0.0,1,20,1
2026-03-24 14:32:52,reviews-v1,20.0,0.0,0.0,0.0,2,86,1
2026-03-24 14:32:53,reviews-v2,11.4,0.0,0.0,0.0,2,97,1
2026-03-24 14:32:54,reviews-v3,14.3,0.0,0.0,0.0,2,102,1
2026-03-24 14:32:55,waypoint,0.0,0.0,0.0,0.0,4,116,1
2026-03-24 14:33:02,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,41,85,1
2026-03-24 14:33:03,details-v1,205.7,16.5,0.0,0.0,12,31,1
2026-03-24 14:33:04,productpage-v1,617.1,61.5,0.0,0.0,653,304,1
2026-03-24 14:33:05,ratings-v1,3073.7,3.8,0.0,0.0,36,21,1
2026-03-24 14:33:06,reviews-v1,144.6,7.9,0.0,0.0,5,86,1
2026-03-24 14:33:07,reviews-v2,111.4,20.8,0.0,0.0,10,98,1
2026-03-24 14:33:08,reviews-v3,110.3,28.4,0.0,0.0,8,102,1
2026-03-24 14:33:09,waypoint,0.0,0.0,0.0,0.0,131,115,1
2026-03-24 14:33:16,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,136,86,1
2026-03-24 14:33:17,details-v1,435.4,15.2,0.0,0.0,20,31,1
2026-03-24 14:33:18,productpage-v1,2845.7,186.5,0.0,0.0,653,304,1
2026-03-24 14:33:19,ratings-v1,8018.2,6.1,0.0,0.0,75,21,1
2026-03-24 14:33:20,reviews-v1,182.9,6.9,0.0,0.0,8,86,1
2026-03-24 14:33:21,reviews-v2,140.6,19.6,0.0,0.0,9,98,1
2026-03-24 14:33:22,reviews-v3,133.7,26.7,0.0,0.0,14,102,1
2026-03-24 14:33:23,waypoint,0.0,0.0,0.0,0.0,263,115,1
2026-03-24 14:33:29,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,136,86,1
2026-03-24 14:33:30,details-v1,457.1,15.0,0.0,0.0,2,30,1
2026-03-24 14:33:32,productpage-v1,5378.9,256.6,0.0,0.0,1325,310,1
2026-03-24 14:33:33,ratings-v1,10537.0,6.2,0.0,0.0,74,21,1
2026-03-24 14:33:34,reviews-v1,182.9,6.9,0.0,0.0,2,86,1
2026-03-24 14:33:35,reviews-v2,140.6,19.6,0.0,0.0,9,98,1
2026-03-24 14:33:36,reviews-v3,133.7,26.7,0.0,0.0,3,102,1
2026-03-24 14:33:37,waypoint,0.0,0.0,0.0,0.0,253,115,1
2026-03-24 14:33:43,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,157,86,1
2026-03-24 14:33:44,details-v1,457.1,15.0,0.0,0.0,2,30,1
2026-03-24 14:33:45,productpage-v1,7997.7,277.6,0.0,0.0,1325,310,1
2026-03-24 14:33:46,ratings-v1,15404.5,6.1,0.0,0.0,76,21,1
2026-03-24 14:33:47,reviews-v1,182.8,6.9,0.0,0.0,3,86,1
2026-03-24 14:33:48,reviews-v2,140.6,19.6,0.0,0.0,2,98,1
2026-03-24 14:33:49,reviews-v3,133.7,26.7,0.0,0.0,3,102,1
2026-03-24 14:33:50,waypoint,0.0,0.0,0.0,0.0,264,116,1
2026-03-24 14:33:56,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,159,86,1
2026-03-24 14:33:57,details-v1,457.1,15.0,0.0,0.0,1,30,1
2026-03-24 14:33:58,productpage-v1,9658.3,372.8,0.0,0.0,1325,310,1
2026-03-24 14:33:59,ratings-v1,18812.2,6.1,0.0,0.0,76,21,1
2026-03-24 14:34:00,reviews-v1,182.9,6.9,0.0,0.0,2,86,1
2026-03-24 14:34:01,reviews-v2,140.6,19.6,0.0,0.0,2,98,1
2026-03-24 14:34:02,reviews-v3,133.7,26.7,0.0,0.0,2,102,1
2026-03-24 14:34:03,waypoint,0.0,0.0,0.0,0.0,169,116,1
2026-03-24 14:34:09,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,127,86,1
2026-03-24 14:34:10,details-v1,457.1,15.0,0.0,0.0,0,30,1
2026-03-24 14:34:11,productpage-v1,11741.7,434.7,0.0,0.0,1401,312,1
2026-03-24 14:34:12,ratings-v1,20917.7,6.1,0.0,0.0,48,21,1
2026-03-24 14:34:13,reviews-v1,182.9,6.9,0.0,0.0,2,86,1
2026-03-24 14:34:14,reviews-v2,140.6,19.6,0.0,0.0,2,98,1
2026-03-24 14:34:15,reviews-v3,133.7,26.7,0.0,0.0,2,102,1
2026-03-24 14:34:15,waypoint,0.0,0.0,0.0,0.0,214,116,1
2026-03-24 14:34:22,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,116,85,1
2026-03-24 14:34:23,details-v1,457.1,15.0,0.0,0.0,0,30,1
2026-03-24 14:34:24,productpage-v1,11741.7,434.7,0.0,0.0,1401,312,1
2026-03-24 14:34:25,ratings-v1,25776.0,6.2,0.0,0.0,66,21,1
2026-03-24 14:34:26,reviews-v1,182.8,6.9,0.0,0.0,3,86,1
2026-03-24 14:34:27,reviews-v2,140.6,19.6,0.0,0.0,2,98,1
2026-03-24 14:34:28,reviews-v3,133.7,26.7,0.0,0.0,3,102,1
2026-03-24 14:34:29,waypoint,0.0,0.0,0.0,0.0,214,116,1
2026-03-24 14:34:35,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,157,85,1
2026-03-24 14:34:36,details-v1,411.3,15.0,0.0,0.0,0,30,1
2026-03-24 14:34:37,productpage-v1,14391.4,415.5,0.0,0.0,1319,311,1
2026-03-24 14:34:38,ratings-v1,30831.4,6.2,0.0,0.0,75,21,1
2026-03-24 14:34:39,reviews-v1,162.8,6.9,0.0,0.0,3,86,1
2026-03-24 14:34:40,reviews-v2,129.1,19.6,0.0,0.0,3,98,1
2026-03-24 14:34:41,reviews-v3,119.4,26.7,0.0,0.0,2,102,1
2026-03-24 14:34:42,waypoint,0.0,0.0,0.0,0.0,262,116,1
2026-03-24 14:34:48,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,160,85,1
2026-03-24 14:34:49,details-v1,90.3,13.8,0.0,0.0,0,30,1
2026-03-24 14:34:50,productpage-v1,16320.6,401.7,0.0,0.0,1348,310,1
2026-03-24 14:34:51,ratings-v1,32936.6,6.2,0.0,0.0,77,21,1
2026-03-24 14:34:52,reviews-v1,38.3,5.5,0.0,0.0,3,86,1
2026-03-24 14:34:53,reviews-v2,29.1,18.2,0.0,0.0,3,98,1
2026-03-24 14:34:54,reviews-v3,23.4,24.2,0.0,0.0,3,102,1
2026-03-24 14:34:55,waypoint,0.0,0.0,0.0,0.0,260,116,1
2026-03-24 14:35:02,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,135,85,1
2026-03-24 14:35:03,details-v1,21.7,13.7,0.0,0.0,0,30,1
2026-03-24 14:35:04,productpage-v1,16041.7,436.8,0.0,0.0,1315,313,1
2026-03-24 14:35:05,ratings-v1,31517.2,6.0,0.0,0.0,60,21,1
2026-03-24 14:35:06,reviews-v1,0.0,0.0,0.0,0.0,3,86,1
2026-03-24 14:35:07,reviews-v2,0.0,0.0,0.0,0.0,2,98,1
2026-03-24 14:35:08,reviews-v3,0.0,0.0,0.0,0.0,3,102,1
2026-03-24 14:35:09,waypoint,0.0,0.0,0.0,0.0,200,112,1
2026-03-24 14:35:16,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,128,86,1
2026-03-24 14:35:16,details-v1,0.0,0.0,0.0,0.0,0,30,1
2026-03-24 14:35:17,productpage-v1,15533.8,514.4,0.0,0.0,1363,312,1
2026-03-24 14:35:18,ratings-v1,31046.2,6.2,0.0,0.0,59,22,1
2026-03-24 14:35:19,reviews-v1,0.0,0.0,0.0,0.0,3,86,1
2026-03-24 14:35:20,reviews-v2,0.0,0.0,0.0,0.0,2,98,1
2026-03-24 14:35:21,reviews-v3,0.0,0.0,0.0,0.0,3,102,1
2026-03-24 14:35:22,waypoint,0.0,0.0,0.0,0.0,203,112,1
2026-03-24 14:35:28,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,128,86,1
2026-03-24 14:35:29,details-v1,0.0,0.0,0.0,0.0,0,30,1
2026-03-24 14:35:30,productpage-v1,15374.3,528.5,0.0,0.0,1314,312,1
2026-03-24 14:35:31,ratings-v1,30938.5,6.5,0.0,0.0,68,22,1
2026-03-24 14:35:32,reviews-v1,0.0,0.0,0.0,0.0,2,86,1
2026-03-24 14:35:33,reviews-v2,0.0,0.0,0.0,0.0,2,98,1
2026-03-24 14:35:34,reviews-v3,0.0,0.0,0.0,0.0,3,102,1
2026-03-24 14:35:35,waypoint,0.0,0.0,0.0,0.0,236,112,1
2026-03-24 14:35:42,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,146,85,1
2026-03-24 14:35:43,details-v1,0.0,0.0,0.0,0.0,0,30,1
2026-03-24 14:35:44,productpage-v1,16156.2,469.4,0.0,0.0,1314,312,1
2026-03-24 14:35:45,ratings-v1,32270.8,6.6,0.0,0.0,72,22,1
2026-03-24 14:35:46,reviews-v1,0.0,0.0,0.0,0.0,2,86,1
2026-03-24 14:35:47,reviews-v2,0.0,0.0,0.0,0.0,2,97,1
2026-03-24 14:35:48,reviews-v3,0.0,0.0,0.0,0.0,2,102,1
2026-03-24 14:35:49,waypoint,0.0,0.0,0.0,0.0,250,112,1
