,count
1,8
2,8
3,8
4,8
5,8
6,8
7,8
8,8
9,32
10,56
11,80
12,80
13,80
14,80
15,80
16,80
17,80
18,88
19,112
20,136
21,160
22,160
23,160
24,160
25,160
26,160
27,160
28,168
29,192
30,216
31,240
32,240
33,240
34,240
35,240
36,240
37,240
38,248
39,272
40,296
41,320
42,320
43,320
44,320
45,320
46,320
47,320
48,328
49,352
50,376
51,400
52,400
53,400
54,400
55,400
56,400
57,400
58,376
59,352
60,328
61,304
62,280
63,256
64,232
65,208
66,184
67,160
68,136
69,112
70,88
71,64
72,40
