,count
1,10
2,10
3,10
4,10
5,12
6,9
7,10
8,8
9,10
10,12
11,11
12,11
13,10
14,16
15,14
16,16
17,11
18,14
19,11
20,10
21,12
22,26
23,19
24,69
25,21
26,15
27,13
28,12
29,13
30,13
31,13
32,11
33,12
34,12
35,13
36,16
37,18
38,21
39,23
40,29
41,31
42,34
43,36
44,46
45,60
46,68
47,94
48,226
49,203
50,189
51,213
52,279
53,440
54,232
55,205
56,216
57,122
58,115
59,121
60,135
61,105
62,22
63,15
64,13
65,10
66,9
67,8
68,7
69,6
70,6
71,6
72,5
