Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787261367,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787261368,20,,Aggregated,0.000000,0.000000,630,700,710,710,910,990,990,990,990,990,990,20,0,590,569.1860958584584,147.05308293923736,988.1832501851022,11139.3
1787261369,40,,Aggregated,0.000000,0.000000,570,700,720,810,990,1100,1100,1100,1100,1100,1100,66,0,570,573.7688231994539,122.02404183335602,1143.789708148688,10653.242424242424
1787261370,60,,Aggregated,0.000000,0.000000,450,600,700,720,900,1100,1100,1100,1100,1100,1100,116,0,450,490.31993962728,66.19841698557138,1143.789708148688,9839.810344827587
1787261371,80,,Aggregated,16.500000,0.000000,450,600,700,760,910,1100,1100,1400,1400,1400,1400,165,0,450,494.4472580894151,66.19841698557138,1411.527541000396,9900.2
1787261372,100,,Aggregated,26.333333,0.000000,480,630,700,740,900,1000,1100,1400,1400,1400,1400,206,0,480,504.0958600380973,66.19841698557138,1411.527541000396,10007.23786407767
1787261373,120,,Aggregated,29.000000,0.000000,500,640,710,770,900,1000,1100,1400,1400,1400,1400,265,0,500,528.7940404325161,66.19841698557138,1411.527541000396,9839.837735849056
1787261374,140,,Aggregated,34.800000,0.000000,510,650,720,770,900,1000,1100,1200,1400,1400,1400,321,0,510,535.0665731045107,66.19841698557138,1411.527541000396,9579.956386292835
1787261375,160,,Aggregated,36.666667,0.000000,540,680,750,810,990,1100,1400,1500,1800,1800,1800,355,0,540,570.2677905120113,66.19841698557138,1798.3908329624683,9336.281690140846
1787261376,180,,Aggregated,40.142857,0.000000,590,720,820,900,1100,1400,1600,1800,2000,2000,2000,389,0,590,632.2952339349071,66.19841698557138,1977.9206670355052,9293.020565552699
1787261377,200,,Aggregated,41.625000,0.000000,600,740,870,990,1400,1800,2400,2500,3300,3300,3300,444,27,590,684.1594384409495,54.93637500330806,3279.8883749637753,8753.511261261261
1787261378,201,,Aggregated,40.777778,0.000000,600,770,940,1100,1600,2400,2700,2900,3700,3700,3700,482,41,600,757.5730721797617,54.93637500330806,3693.0078340228647,8511.242738589212
1787261379,201,,Aggregated,40.300000,0.400000,600,790,990,1200,2200,2700,3500,3700,4000,4000,4000,530,68,600,820.6915402538934,54.3843749910593,3994.1546248737723,8158.679245283019
1787261380,201,,Aggregated,45.600000,3.300000,600,820,1100,1400,2500,3300,3700,4000,4200,4200,4200,563,81,600,902.6281580103141,54.3843749910593,4246.85624986887,8014.928952042629
