Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777925516,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777925517,20,,Aggregated,0.000000,0.000000,400,450,540,630,740,750,750,750,750,750,750,40,0,370,391.4677467895672,101.10591701231897,750.8442499674857,3339.55
1777925518,40,,Aggregated,0.000000,0.000000,400,520,540,630,710,740,750,750,750,750,750,78,0,400,401.95693209385263,95.59408389031887,750.8442499674857,3171.2179487179487
1777925519,60,,Aggregated,0.000000,0.000000,440,540,630,700,740,810,900,930,940,940,940,115,0,440,454.7024401856343,95.59408389031887,941.8132908176631,2951.5304347826086
1777925520,80,,Aggregated,20.000000,0.000000,520,630,710,740,900,1000,1200,1300,1600,1600,1600,153,0,520,532.4723302977147,95.59408389031887,1619.9383749626577,2681.6928104575163
1777925521,100,,Aggregated,28.666667,0.000000,590,730,830,1000,1400,1700,1900,1900,2000,2000,2000,183,0,590,687.2224195789078,95.59408389031887,1988.5636661201715,2769.218579234973
1777925522,120,,Aggregated,30.250000,0.000000,640,810,1100,1400,1900,2000,2500,2700,2800,2800,2800,205,0,640,842.95733716089,95.59408389031887,2788.677915930748,2698.317073170732
1777925523,140,,Aggregated,31.200000,0.000000,750,1500,1900,2000,2400,2600,2700,2800,2900,2900,2900,252,0,740,1111.1549740372639,95.59408389031887,2909.8662501201034,2595.440476190476
1777925524,160,,Aggregated,30.500000,0.000000,940,1900,2300,2400,2700,2800,2900,3000,3200,3200,3200,288,0,930,1309.8304153641543,95.59408389031887,3154.6277911402285,2703.0694444444443
1777925525,180,,Aggregated,29.285714,0.000000,1500,2300,2500,2500,2800,2900,3000,3100,3200,3200,3200,332,0,1400,1488.1784720171008,95.59408389031887,3154.6277911402285,2720.222891566265
1777925526,200,,Aggregated,32.250000,0.000000,1900,2400,2600,2600,2900,3000,3100,3200,3300,3300,3300,371,0,1900,1621.64457963034,95.59408389031887,3301.5902920160443,2662.3126684636118
1777925527,220,,Aggregated,33.222222,0.000000,2200,2500,2700,2800,3000,3100,3200,3300,3400,3400,3400,434,0,2200,1793.9030296756127,95.59408389031887,3389.5290410146117,2618.6105990783412
1777925528,221,,Aggregated,34.000000,0.000000,2300,2600,2800,2900,3100,3200,3500,3600,3700,3700,3700,477,0,2300,1914.8374978268414,95.59408389031887,3707.001541974023,2610.817610062893
1777925529,221,,Aggregated,37.900000,0.000000,2400,2700,2900,3000,3200,3500,3600,3700,4700,4700,4700,522,0,2400,2030.7992677243562,95.59408389031887,4745.3164998441935,2607.1570881226053
1777925530,221,,Aggregated,39.500000,0.000000,2500,2800,3000,3100,3500,3600,3800,4100,4900,4900,4900,574,0,2500,2162.6334909985703,95.59408389031887,4897.473666118458,2613.8554006968643
1777925531,221,,Aggregated,39.400000,0.000000,2600,2900,3100,3200,3500,3700,4200,4700,6700,6700,6700,630,0,2600,2280.698584452168,95.59408389031887,6704.911124892533,2548.4841269841268
1777925532,221,,Aggregated,40.300000,0.000000,2700,2900,3100,3200,3600,3800,4400,5400,7100,7100,7100,692,0,2700,2377.7663973947406,95.59408389031887,7064.506791997701,2435.6170520231212
1777925533,221,,Aggregated,41.900000,0.000000,2700,3000,3100,3300,3600,3800,4700,5900,7100,7100,7100,753,0,2700,2440.3330587081928,95.59408389031887,7064.506791997701,2328.74369189907
1777925534,221,,Aggregated,45.300000,0.000000,2600,3000,3100,3300,3600,4000,5800,6700,9900,9900,9900,819,0,2600,2507.2963420823057,95.59408389031887,9909.75512494333,2256.866910866911
1777925535,221,,Aggregated,49.100000,0.000000,2600,2900,3100,3300,3600,4000,5900,9400,10000,10000,10000,877,0,2600,2523.619737507703,95.59408389031887,10419.700167141855,2194.0524515393386
1777925536,221,,Aggregated,50.500000,0.000000,2600,2900,3100,3300,3600,4000,5900,9500,10000,10000,10000,929,0,2600,2548.598642269775,95.59408389031887,10419.700167141855,2122.016146393972
1777925537,221,,Aggregated,52.300000,0.000000,2600,2900,3100,3200,3600,3900,6000,9600,10000,10000,10000,992,0,2600,2567.66238243689,95.59408389031887,10419.700167141855,2067.0655241935483
1777925538,221,,Aggregated,54.800000,0.000000,2600,2900,3100,3300,3600,4000,5900,9500,10000,10000,10000,1048,0,2600,2591.9423076532557,95.59408389031887,10419.700167141855,2035.0190839694656
1777925539,221,,Aggregated,55.700000,0.000000,2500,2900,3100,3300,3600,4000,5900,9500,10000,10000,10000,1120,0,2500,2592.171420426374,95.59408389031887,10419.700167141855,1960.7142857142858
1777925540,221,,Aggregated,55.900000,0.000000,2500,2800,3100,3200,3600,4000,5900,9500,10000,10000,10000,1184,0,2500,2591.382521399921,95.59408389031887,10419.700167141855,1921.2280405405406
