Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785279775,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785279776,10,,Aggregated,0.000000,0.000000,670,740,760,800,900,1000,1000,1000,1000,1000,1000,14,0,660.0,501.5438184408205,67.91791692376137,995.2858327887952,8042.357142857143
1785279777,10,,Aggregated,0.000000,0.000000,660,740,800,900,1000,1100,1100,1100,1100,1100,1100,20,0,310.0,489.3705354537815,67.91791692376137,1097.0868333242834,8392.8
1785279778,10,,Aggregated,0.000000,0.000000,200,670,760,800,1000,1000,1100,1100,1100,1100,1100,24,0,180.0,422.94976212239516,67.91791692376137,1097.0868333242834,7421.458333333333
1785279779,10,,Aggregated,9.500000,0.000000,170,310,670,760,1000,1000,1100,1100,1100,1100,1100,30,0,130.0,357.29769996056956,66.6010002605617,1097.0868333242834,6482.0
1785279780,10,,Aggregated,6.666667,0.000000,130,310,670,740,900,1000,1100,1100,1100,1100,1100,32,0,130.0,339.5410260272911,66.6010002605617,1097.0868333242834,6095.3125
1785279781,10,,Aggregated,6.500000,0.000000,100,180,660,670,900,1000,1100,1100,1100,1100,1100,38,0,100.0,297.5114922676432,64.0118750743568,1097.0868333242834,5175.763157894737
1785279782,10,,Aggregated,6.200000,0.000000,91,170,310,670,800,1000,1100,1100,1100,1100,1100,43,0,91,271.7768575259766,64.0118750743568,1097.0868333242834,4602.627906976744
1785279783,10,,Aggregated,5.833333,0.000000,88,130,200,660,800,1000,1100,1100,1100,1100,1100,46,0,86,258.9283206034452,64.0118750743568,1097.0868333242834,4323.869565217391
1785279784,10,,Aggregated,5.571429,0.000000,88,130,180,310,760,1000,1000,1100,1100,1100,1100,52,0,86,240.75142706099612,64.0118750743568,1097.0868333242834,4489.846153846154
1785279785,10,,Aggregated,5.375000,0.000000,86,120,170,200,760,1000,1000,1100,1100,1100,1100,57,0,86,228.34268855257775,64.0118750743568,1097.0868333242834,4371.877192982456
1785279786,10,,Aggregated,5.333333,0.000000,84,120,170,180,740,900,1000,1100,1100,1100,1100,61,0,84,219.99962769876248,64.0118750743568,1097.0868333242834,4342.836065573771
1785279787,10,,Aggregated,5.300000,0.000000,82,100,170,170,740,900,1000,1100,1100,1100,1100,67,0,82,207.05494521630567,64.0118750743568,1097.0868333242834,3976.134328358209
1785279788,10,,Aggregated,5.700000,0.000000,82,98,160,170,670,900,1000,1100,1100,1100,1100,71,0,82,199.96640957157376,64.0118750743568,1097.0868333242834,3895.9859154929577
1785279789,10,,Aggregated,4.300000,0.000000,82,100,160,170,670,900,1000,1100,1100,1100,1100,77,0,82,194.81313361048504,64.0118750743568,1097.0868333242834,3996.6103896103896
1785279790,10,,Aggregated,4.800000,0.000000,82,100,150,170,670,800,1000,1100,1100,1100,1100,82,0,82,188.92344456484042,64.0118750743568,1097.0868333242834,4058.8414634146343
1785279791,10,,Aggregated,4.800000,0.000000,82,98,150,170,670,800,1000,1100,1100,1100,1100,86,0,82,184.75093310265694,64.0118750743568,1097.0868333242834,4056.767441860465
1785279792,10,,Aggregated,4.600000,0.000000,81,97,130,170,660,800,1000,1100,1100,1100,1100,93,0,81,176.66255958097918,64.0118750743568,1097.0868333242834,3772.1505376344085
1785279793,10,,Aggregated,5.000000,0.000000,82,97,130,170,660,800,1000,1100,1100,1100,1100,96,0,82,173.79224522058698,64.0118750743568,1097.0868333242834,3658.8958333333335
1785279794,10,,Aggregated,4.800000,0.000000,82,97,120,170,660,800,1000,1100,1100,1100,1100,100,0,81,170.35632039420307,64.0118750743568,1097.0868333242834,3614.88
1785279795,10,,Aggregated,5.100000,0.000000,82,95,120,160,310,760,1000,1000,1100,1100,1100,106,0,82,166.28670202181587,64.0118750743568,1097.0868333242834,3655.122641509434
1785279796,10,,Aggregated,4.800000,0.000000,82,95,120,170,310,760,1000,1000,1100,1100,1100,108,0,82,165.38040777150957,64.0118750743568,1097.0868333242834,3730.5925925925926
