Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),2,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
GET,/product/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /product/66VCHSJNUP'),1,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
POST,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),4,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
POST,/setCurrency,HTTPError('503 Server Error: Service Unavailable for url: /setCurrency'),1,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
GET,/product/9SIQT8TOJO,HTTPError('500 Server Error: Internal Server Error for url: /product/9SIQT8TOJO'),1,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
GET,/product/9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /product/9SIQT8TOJO'),1,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
POST,/cart/checkout,HTTPError('503 Server Error: Service Unavailable for url: /cart/checkout'),1,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
GET,/product/2ZYFJ3GM2N,HTTPError('503 Server Error: Service Unavailable for url: /product/2ZYFJ3GM2N'),1,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
GET,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),2,2026-08-26T03:32:13Z,2026-08-26T03:34:43Z
GET,/product/2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /product/2ZYFJ3GM2N'),1,2026-08-26T03:34:28Z,2026-08-26T03:34:28Z
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),3,2026-08-26T03:32:13Z,2026-08-26T03:32:13Z
