Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4670,0,150,225.28218631338473,88.19595794193447,1619.1054170485586,10276.399571734475,1.0808204034101419,0.0,150,180,220,260,430,630,970,1200,1600,1600,1600
GET,/cart,12130,3,190,216.0484627689644,66.84320792555809,2081.296417163685,13895.89694971146,2.807355780163816,0.0006943171756382068,190,200,220,230,290,480,810,980,1400,1900,2100
POST,/cart,12034,7,250,276.3459396020608,59.22687496058643,2392.69929099828,18114.68996177497,2.7851376305433937,0.0016200734098224827,250,270,290,300,340,430,830,1200,1700,2000,2400
POST,/cart/checkout,3954,4,170,203.6058896439801,61.50412489660084,2307.6712919864804,6555.966110268083,0.9151100374911566,0.0009257562341842757,170,190,200,220,260,320,730,1100,1600,2300,2300
GET,/product/0PUK6V6EV0,5684,1,130,170.03010297974868,65.08141593076289,1469.0391249023378,7735.903413089373,1.315499608775856,0.00023143905854606893,130,140,150,170,230,430,760,950,1300,1500,1500
GET,/product/1YMWWN1N4O,5970,0,130,173.86795109425714,84.58116697147489,2002.0637910347432,7760.099162479062,1.3816911795200315,0.0,130,140,150,170,240,440,840,1000,1400,2000,2000
GET,/product/2ZYFJ3GM2N,5854,2,130,169.8601903466808,61.74704199656844,1693.4381250757724,7752.501879057055,1.3548442487286876,0.00046287811709213786,130,140,150,170,230,420,770,940,1300,1700,1700
GET,/product/66VCHSJNUP,5836,1,130,171.02250071981157,67.19650002196431,1747.1016668714583,7719.6461617546265,1.3506783456748583,0.00023143905854606893,130,140,150,170,230,420,810,970,1300,1700,1700
GET,/product/6E92ZMYYFZ,5788,0,130,170.00749957909147,87.78783399611712,1670.1924579683691,7712.907740152039,1.339569270864647,0.0,130,140,150,160,220,410,830,1000,1300,1700,1700
GET,/product/9SIQT8TOJO,5765,0,130,172.6246878295145,85.7662910129875,1875.7436668965966,7763.840069384215,1.3342461725180874,0.0,130,140,150,170,230,440,810,1000,1300,1900,1900
GET,/product/L9ECAV7KIM,5776,1,130,170.70932740037952,88.03708315826952,1613.4533749427646,7727.913781163435,1.3367920021620943,0.00023143905854606893,130,140,150,160,220,410,820,1000,1300,1600,1600
GET,/product/LS4PSXUNUM,5666,0,130,172.73368711952,84.44391679950058,1645.0528330169618,7728.11101306036,1.3113337057220267,0.0,130,140,150,170,240,440,820,990,1300,1600,1600
GET,/product/OLJCESPC7Z,5738,1,130,169.3034283974253,69.68929199501872,1457.3389580473304,7760.239804810039,1.3279973179373437,0.00023143905854606893,130,140,150,170,230,420,780,940,1300,1500,1500
POST,/setCurrency,3989,1,200,258.33178437976824,64.24183282069862,2112.437334144488,10284.040862371521,0.923210404540269,0.00023143905854606893,200,220,240,260,360,630,930,1100,1400,2100,2100
,Aggregated,88854,21,150,199.72191988401508,59.22687496058643,2392.69929099828,10180.433103743218,20.56428610805241,0.004860220229467448,150,190,210,230,300,460,820,1000,1400,1900,2400
