Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4435,1,180,305.15347190139335,73.10154102742672,2496.025166939944,10273.846674182638,1.0264266966540951,0.0002314378120978794,180,240,330,400,680,1000,1300,1700,2100,2500,2500
GET,/cart,11745,4,190,244.8571240413845,62.17637495137751,2959.4997079111636,13850.471690080885,2.7182371030895935,0.0009257512483915176,190,220,250,280,400,610,890,1100,1600,2600,3000
POST,/cart,11808,7,260,318.16286361612003,58.02704091183841,3191.158541943878,17994.302083333332,2.73281768525176,0.0016200646846851558,260,290,320,350,500,690,1100,1300,2000,2900,3200
POST,/cart/checkout,3978,2,190,247.71918240196436,99.93875003419816,2890.035000164062,6560.794117647059,0.9206596165253642,0.0004628756241957588,190,220,250,270,360,550,1000,1300,2300,2900,2900
GET,/product/0PUK6V6EV0,5765,2,140,194.66158644468277,61.56420800834894,2260.9153748489916,7734.849783174328,1.3342389867442748,0.0004628756241957588,140,160,190,210,310,500,850,1000,1700,2300,2300
GET,/product/1YMWWN1N4O,5897,2,130,188.79325801090647,63.667249865829945,1920.1196250505745,7755.9818551806,1.3647887779411947,0.0004628756241957588,130,160,190,200,290,450,780,1000,1600,1900,1900
GET,/product/2ZYFJ3GM2N,5883,4,140,200.32305482149818,56.74466700293124,2853.1338749453425,7751.637429882713,1.3615486485718244,0.0009257512483915176,140,160,190,210,330,570,890,1100,1700,2900,2900
GET,/product/66VCHSJNUP,5712,3,140,195.37217870982545,60.84787496365607,1835.5780839920044,7718.377801120449,1.3219727827030872,0.0006943134362936382,140,160,190,210,320,540,840,1000,1600,1800,1800
GET,/product/6E92ZMYYFZ,5764,4,140,194.9154376725687,56.72512506134808,1935.9870001208037,7707.082581540597,1.3340075489321768,0.0009257512483915176,140,160,190,210,310,510,840,1100,1700,1900,1900
GET,/product/9SIQT8TOJO,5754,1,140,197.71127895036759,75.10687503963709,1918.1739159394056,7761.649461244352,1.331693170811198,0.0002314378120978794,140,160,190,210,320,500,880,1100,1700,1900,1900
GET,/product/L9ECAV7KIM,5656,0,140,197.2827247570037,89.08025012351573,2591.321709100157,7727.80887553041,1.3090122652256058,0.0,140,160,190,210,320,530,870,1100,1600,2600,2600
GET,/product/LS4PSXUNUM,5647,0,140,195.17712084856362,88.15170917659998,1887.2631671838462,7726.6470692403045,1.3069293249167249,0.0,140,160,190,210,310,500,810,1000,1700,1900,1900
GET,/product/OLJCESPC7Z,5698,2,130,192.43920384064478,65.31441607512534,2562.8802080173045,7757.846963846964,1.3187326533337167,0.0004628756241957588,130,160,190,210,310,480,820,1000,1500,2600,2600
POST,/setCurrency,3871,2,220,289.9667289238197,131.04954198934138,2041.539500001818,10281.759235339705,0.8958957706308911,0.0004628756241957588,220,260,290,330,470,680,990,1200,1900,2000,2000
,Aggregated,87613,34,170,230.55482909160608,56.72512506134808,3191.158541943878,10127.064122904136,20.276961031331506,0.007868885611327899,170,210,240,270,390,600,930,1200,1800,2600,3200
