Method,Name,Error,Occurrences
GET,/cart,"ConnectionRefusedError(61, 'Connection refused')",912
GET,/product/9SIQT8TOJO,"ConnectionRefusedError(61, 'Connection refused')",495
GET,/product/2ZYFJ3GM2N,"ConnectionRefusedError(61, 'Connection refused')",450
GET,/,"ConnectionRefusedError(61, 'Connection refused')",435
POST,/cart,"ConnectionRefusedError(61, 'Connection refused')",983
POST,/setCurrency,"ConnectionRefusedError(61, 'Connection refused')",325
GET,/product/OLJCESPC7Z,"ConnectionRefusedError(61, 'Connection refused')",432
GET,/product/66VCHSJNUP,"ConnectionRefusedError(61, 'Connection refused')",473
GET,/product/0PUK6V6EV0,"ConnectionRefusedError(61, 'Connection refused')",481
POST,/cart/checkout,"ConnectionRefusedError(61, 'Connection refused')",315
GET,/product/LS4PSXUNUM,"ConnectionRefusedError(61, 'Connection refused')",500
GET,/product/6E92ZMYYFZ,"ConnectionRefusedError(61, 'Connection refused')",485
GET,/product/1YMWWN1N4O,"ConnectionRefusedError(61, 'Connection refused')",460
GET,/product/L9ECAV7KIM,"ConnectionRefusedError(61, 'Connection refused')",452
