Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,433,433,76,77.57538335567757,60.208375100046396,184.82608394697309,0.0,2.394615027319835,2.394615027319835,76,79,81,82,86,95,97,100,180,180,180
GET,/cart,1006,1006,75,74.44879231107964,59.58354100584984,193.59812489710748,0.0,5.563470479177261,5.563470479177261,75,76,77,78,80,84,91,97,140,190,190
POST,/cart,991,991,75,74.74300245811747,59.4070830848068,163.9005420729518,0.0,5.480516147976805,5.480516147976805,75,76,77,78,80,84,88,91,160,160,160
POST,/cart/checkout,332,332,75,74.84590409096353,60.10758294723928,116.13641702570021,0.0,1.8360558639034301,1.8360558639034301,75,76,77,79,81,83,85,87,120,120,120
GET,/product/0PUK6V6EV0,479,479,75,74.50229756481603,58.13304102048278,101.96004202589393,0.0,2.6490083096679005,2.6490083096679005,75,76,77,78,81,84,88,96,100,100,100
GET,/product/1YMWWN1N4O,447,447,74,74.82450569602734,59.29945781826973,124.27204195410013,0.0,2.472039069773594,2.472039069773594,74,76,77,78,82,86,94,98,120,120,120
GET,/product/2ZYFJ3GM2N,437,437,75,74.66475686667917,60.41466700844467,101.27679188735783,0.0,2.4167361823066233,2.4167361823066233,75,76,77,78,81,85,93,95,100,100,100
GET,/product/66VCHSJNUP,438,438,75,74.88833256778159,59.79950004257262,118.32112492993474,0.0,2.4222664710533204,2.4222664710533204,75,76,77,78,81,85,90,94,120,120,120
GET,/product/6E92ZMYYFZ,498,498,74,74.39046826898064,59.845958137884736,102.46687498874962,0.0,2.754083795855145,2.754083795855145,74,76,77,78,81,84,92,98,100,100,100
GET,/product/9SIQT8TOJO,456,456,75,74.30840124786636,59.89625002257526,107.98758291639388,0.0,2.521811668493868,2.521811668493868,75,76,77,78,81,84,87,93,110,110,110
GET,/product/L9ECAV7KIM,447,447,74,74.13354240278703,60.220499988645315,105.59945786371827,0.0,2.472039069773594,2.472039069773594,74,76,77,78,81,84,89,92,110,110,110
GET,/product/LS4PSXUNUM,485,485,75,74.50717980637378,59.62495808489621,102.74966689758003,0.0,2.682190042148083,2.682190042148083,75,76,77,78,81,84,86,97,100,100,100
GET,/product/OLJCESPC7Z,512,512,75,74.52951544519237,59.93558303453028,126.26108294352889,0.0,2.8315078383089043,2.8315078383089043,75,76,77,78,80,84,90,100,130,130,130
POST,/setCurrency,305,305,75,74.90571732098451,60.691332910209894,116.06504209339619,0.0,1.686738067742609,1.686738067742609,75,76,77,78,81,83,87,96,120,120,120
,Aggregated,7266,7266,75,74.75607489199041,58.13304102048278,193.59812489710748,0.0,40.183078033500976,40.183078033500976,75,76,77,78,81,84,91,97,120,190,190
