Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,80,0,140,344.0706848690752,117.92979203164577,1116.0089171025902,10263.8125,0.4426495792532325,0.0,140,190,660,670,1000,1100,1100,1100,1100,1100,1100
GET,/cart,201,0,190,187.33736752550956,106.9325830321759,540.4809170868248,12899.940298507463,1.1121570678737467,0.0,190,200,210,220,260,320,350,400,540,540,540
POST,/cart,203,0,230,249.490687196955,184.30645810440183,576.9601250067353,17703.99014778325,1.1232233073550775,0.0,230,250,270,280,320,370,460,560,580,580,580
POST,/cart/checkout,69,0,180,202.6349003089295,144.7307919152081,429.80300006456673,6559.942028985507,0.38178526210591307,0.0,180,200,220,230,290,320,400,430,430,430,430
GET,/product/0PUK6V6EV0,98,0,130,154.63256207769928,105.78812495805323,607.6401669997722,7732.2959183673465,0.5422457345852099,0.0,130,140,150,160,210,240,600,610,610,610,610
GET,/product/1YMWWN1N4O,94,0,130,149.47416438433797,108.52762497961521,617.0617090538144,7753.255319148936,0.5201132556225482,0.0,130,140,150,150,180,210,610,620,620,620,620
GET,/product/2ZYFJ3GM2N,81,0,130,145.34945010184597,109.10829110071063,288.3228329010308,7753.086419753086,0.4481826989938979,0.0,130,140,160,160,190,250,260,290,290,290,290
GET,/product/66VCHSJNUP,81,0,130,152.7397988571061,110.54529203101993,494.79654198512435,7723.543209876543,0.4481826989938979,0.0,130,140,160,170,220,280,410,490,490,490,490
GET,/product/6E92ZMYYFZ,97,0,130,157.56489781509202,111.82266706600785,612.3456251807511,7711.381443298969,0.5367126148445445,0.0,130,150,170,170,210,270,380,610,610,610,610
GET,/product/9SIQT8TOJO,87,0,130,141.69148852695423,108.82808291353285,410.6770409271121,7768.068965517241,0.48138141743789037,0.0,130,140,140,160,180,200,410,410,410,410,410
GET,/product/L9ECAV7KIM,86,0,130,144.06095876163522,110.62337504699826,383.28479090705514,7721.709302325581,0.475848297697225,0.0,130,140,150,150,190,230,320,380,380,380,380
GET,/product/LS4PSXUNUM,94,0,130,144.87417199787623,113.37008303962648,405.80866718664765,7711.244680851064,0.5201132556225482,0.0,130,140,150,150,170,250,400,410,410,410,410
GET,/product/OLJCESPC7Z,86,0,130,141.41018220580855,102.0019999705255,315.51687489263713,7762.279069767442,0.475848297697225,0.0,130,130,140,150,190,210,270,320,320,320,320
POST,/setCurrency,56,0,210,224.9260960504346,180.0701250322163,348.60837482847273,10274.035714285714,0.30985470547726274,0.0,210,230,240,250,280,300,330,350,350,350,350
,Aggregated,1413,0,150,185.09142338683841,102.0019999705255,1116.0089171025902,10089.433121019109,7.818298193560219,0.0,150,190,210,220,270,330,560,670,1100,1100,1100
