Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1862,0,130,236.0111520542872,56.38316599652171,2970.1774998102337,10268.078947368422,6.177827000703689,0.0,130,180,280,330,510,620,1100,1500,2800,3000,3000
GET,/cart,4667,0,110,178.50706207110778,44.37195905484259,2738.983124960214,13654.159417184486,15.48438163925033,0.0,110,130,150,170,260,580,1100,1500,2600,2700,2700
POST,/cart,4632,0,150,221.29865136974297,75.2875420730561,3684.9338749889284,17985.45401554404,15.36825707156793,0.0,150,180,210,230,350,600,1100,1500,2800,3700,3700
POST,/cart/checkout,1588,0,130,176.79046544669225,62.20266595482826,2814.545708009973,6561.73362720403,5.268737527990042,0.0,130,160,180,190,270,380,750,970,2600,2800,2800
GET,/product/0PUK6V6EV0,2190,0,88,162.85118065427852,47.52129106782377,2838.342959061265,7733.8762557077625,7.266080092127325,0.0,88,110,130,140,240,590,1200,1600,2300,2800,2800
GET,/product/1YMWWN1N4O,2119,0,87,158.69885292159128,46.867707977071404,2761.3457918632776,7755.648419065597,7.030513111971598,0.0,87,110,120,140,240,550,1100,1400,2400,2800,2800
GET,/product/2ZYFJ3GM2N,2199,0,87,152.74996937770547,46.15079192444682,2799.7494579758495,7751.5998180991355,7.2959406952456565,0.0,87,110,120,140,230,500,1000,1400,2000,2800,2800
GET,/product/66VCHSJNUP,2217,0,87,156.51531108040876,47.644417034462094,2834.7684170585126,7717.76950834461,7.3556619014823195,0.0,87,110,120,140,230,520,1100,1500,2600,2800,2800
GET,/product/6E92ZMYYFZ,2206,0,88,160.84122506298752,46.99370893649757,2895.7660840824246,7706.847234814143,7.319165608782137,0.0,88,110,130,140,230,580,1100,1400,2600,2900,2900
GET,/product/9SIQT8TOJO,2256,0,86,155.98553787906167,45.45404203236103,2759.496625047177,7761.847074468085,7.485057848328422,0.0,86,100,120,140,240,560,1100,1500,2400,2800,2800
GET,/product/L9ECAV7KIM,2232,0,87,155.7364968174491,47.93687514029443,2450.3157089930028,7726.052867383512,7.405429573346205,0.0,87,110,120,140,240,560,1100,1400,2400,2500,2500
GET,/product/LS4PSXUNUM,2247,0,88,157.20491719891825,45.411250088363886,2732.078791828826,7725.37650200267,7.4551972452100905,0.0,88,110,130,140,230,500,1100,1600,2600,2700,2700
GET,/product/OLJCESPC7Z,2153,0,88,149.04007667931262,46.71708308160305,2371.6434999369085,7757.612169066419,7.143319834863073,0.0,88,110,120,140,210,440,1000,1400,2400,2400,2400
POST,/setCurrency,1513,0,130,199.9692489272716,74.45566589012742,2707.831583917141,10282.499008592202,5.019899168670613,0.0,130,150,170,190,280,520,1100,1600,2500,2700,2700
,Aggregated,34081,0,110,175.61578600656242,44.37195905484259,3684.9338749889284,10136.85968721575,113.07546831953943,0.0,110,130,150,170,290,560,1100,1500,2600,2900,3700
