Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782316908,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782316909,20,,Aggregated,0.000000,0.000000,500,530,540,540,540,540,540,540,540,540,540,40,0,340.0,420.58540717698634,205.82220796495676,540.14145815745,8998.5
1782316910,40,,Aggregated,0.000000,0.000000,330,470,530,540,540,550,550,550,550,550,550,93,0,330.0,362.7738144388923,126.095584128052,547.9968332219869,9502.602150537634
1782316911,60,,Aggregated,0.000000,0.000000,330,500,540,540,590,600,600,600,600,600,600,143,0,330.0,354.276543971594,95.63870797865093,603.6161249503493,9512.09090909091
1782316912,80,,Aggregated,23.000000,0.000000,310,430,480,530,550,600,600,600,600,600,600,204,0,300.0,324.92105554282557,84.7475421614945,603.6161249503493,9371.583333333334
1782316913,100,,Aggregated,31.333333,0.000000,290,380,450,480,540,590,600,600,600,600,600,263,0,290.0,308.95899476557827,65.6796251423657,603.6161249503493,9362.866920152092
1782316914,120,,Aggregated,36.000000,0.000000,220,360,430,450,540,590,600,600,600,600,600,345,0,220.0,284.24525267943955,65.6796251423657,603.6161249503493,9409.023188405798
1782316915,140,,Aggregated,41.200000,0.000000,210,360,430,450,530,550,600,600,600,600,600,422,0,210.0,276.8081362729989,65.65658398903906,603.6161249503493,9402.409952606635
1782316916,160,,Aggregated,44.166667,0.000000,190,300,380,430,520,540,600,600,600,600,600,521,0,190.0,256.42953872333874,65.65658398903906,603.6161249503493,9416.836852207294
1782316917,180,,Aggregated,49.571429,0.000000,190,290,380,430,500,540,590,600,600,600,600,612,0,190.0,249.65991559240578,64.93812496773899,603.6161249503493,9332.58660130719
1782316918,200,,Aggregated,53.000000,0.000000,200,290,360,410,470,540,590,600,600,600,600,717,0,200.0,249.26961740222987,64.93812496773899,603.6161249503493,9290.644351464434
1782316919,220,,Aggregated,58.777778,0.000000,200,280,360,390,470,530,590,600,600,600,600,847,0,200.0,250.04991923086126,64.93812496773899,603.6161249503493,9322.297520661157
1782316920,240,,Aggregated,61.800000,0.000000,220,280,350,410,480,540,600,620,620,620,620,967,0,220.0,257.9181363470005,64.93812496773899,623.0175830423832,9284.467425025854
1782316921,260,,Aggregated,72.400000,0.000000,220,290,360,420,510,570,620,780,870,990,990,1022,0,220.0,267.31713757341737,64.93812496773899,985.8981659635901,9335.33072407045
1782316922,280,,Aggregated,80.600000,0.000000,240,360,440,480,590,760,890,1000,1000,1100,1100,1159,0,240.0,314.5495514157192,64.93812496773899,1070.913749979809,9266.473684210527
1782316923,300,,Aggregated,88.800000,0.000000,270,390,470,510,620,780,890,1000,1100,1100,1100,1316,0,270.0,333.7770917843518,64.93812496773899,1070.913749979809,9332.022036474164
1782316924,300,,Aggregated,89.100000,0.000000,260,370,450,490,600,730,890,1000,1100,1100,1100,1445,0,260.0,322.834845265264,64.93812496773899,1070.913749979809,9298.359169550173
1782316925,300,,Aggregated,96.000000,0.000000,240,340,430,470,600,720,890,1000,1100,1100,1100,1552,0,230.0,307.5683353160935,63.585707917809486,1070.913749979809,9288.251288659794
1782316926,300,,Aggregated,108.000000,0.000000,220,330,430,470,590,710,890,1000,1100,1100,1100,1655,0,220.0,296.3566564672044,63.585707917809486,1070.913749979809,9295.992145015105
1782316927,300,,Aggregated,110.400000,0.000000,210,300,400,450,580,670,890,990,1100,1100,1100,1785,0,210.0,284.6864555516288,63.585707917809486,1070.913749979809,9277.253781512605
1782316928,300,,Aggregated,113.900000,0.000000,200,280,380,440,560,650,890,990,1100,1100,1100,1888,0,200.0,276.336691532949,63.585707917809486,1070.913749979809,9265.29872881356
1782316929,300,,Aggregated,113.200000,0.000000,200,270,360,430,550,650,880,920,1000,1100,1100,2011,0,200.0,270.11450569245875,63.585707917809486,1070.913749979809,9282.128791645948
1782316930,300,,Aggregated,117.400000,0.000000,190,260,340,420,540,640,870,920,1000,1100,1100,2133,0,190.0,263.9651927024875,63.585707917809486,1070.913749979809,9303.77684013127
1782316931,300,,Aggregated,117.000000,0.000000,190,250,330,410,540,640,870,900,1000,1100,1100,2241,0,190.0,260.1879971738346,63.585707917809486,1070.913749979809,9296.602855867915
1782316932,300,,Aggregated,116.700000,0.000000,190,250,330,380,530,630,860,900,1000,1100,1100,2366,0,190.0,256.55396597683097,63.585707917809486,1070.913749979809,9318.751056635672
1782316933,300,,Aggregated,115.900000,0.000000,180,240,310,370,520,630,830,890,1000,1100,1100,2475,0,180.0,250.3715778152562,63.585707917809486,1070.913749979809,9320.35797979798
1782316934,300,,Aggregated,120.700000,0.000000,180,230,300,370,510,620,820,890,1000,1100,1100,2576,0,180.0,245.65078109131855,63.585707917809486,1070.913749979809,9296.223214285714
1782316935,300,,Aggregated,120.800000,0.000000,170,230,290,350,510,620,810,890,1000,1100,1100,2692,0,170.0,240.29618925402872,63.585707917809486,1070.913749979809,9283.161218424962
1782316936,300,,Aggregated,113.400000,0.000000,170,220,280,340,500,620,810,890,1000,1100,1100,2801,0,170.0,235.7932886650559,63.585707917809486,1070.913749979809,9289.811138878971
1782316937,300,,Aggregated,113.000000,0.000000,160,210,270,330,480,600,800,890,1000,1100,1100,2931,0,160.0,230.74890032363913,61.67849991470575,1070.913749979809,9308.55339474582
1782316938,300,,Aggregated,113.400000,0.000000,160,210,260,320,480,600,800,890,1000,1100,1100,3036,0,160.0,226.7499830811076,61.67849991470575,1070.913749979809,9310.549407114624
1782316939,300,,Aggregated,114.900000,0.000000,160,210,250,310,470,600,800,890,1000,1100,1100,3154,0,160.0,223.888126125597,61.67849991470575,1070.913749979809,9340.987634749525
1782316940,300,,Aggregated,114.000000,0.000000,160,200,250,290,470,590,780,890,1000,1100,1100,3285,0,160.0,221.44470579767687,61.67849991470575,1070.913749979809,9353.855707762557
