Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,886,189,590,7614.891871896151,45.9057999541983,23717.78499998618,9031.142212189616,4.8846141439980455,1.0419775092727208,600,14000,19000,21000,22000,23000,23000,23000,24000,24000,24000
GET,/cart,1817,211,400,1115.1653625202778,46.14180000498891,8213.733200042043,12507.364336818931,10.017318171156264,1.1632658965954714,400,1200,1600,1900,2700,4500,6500,7000,8100,8200,8200
POST,/cart,1827,247,520,1208.8736017519705,102.45860001305118,11347.543300013058,16105.698960043788,10.072449256302967,1.3617378031236087,520,1300,1700,1900,2700,4000,7200,8000,11000,11000,11000
POST,/cart/checkout,588,93,300,800.6281904755659,57.30440001934767,4134.476899984293,6239.425170068027,3.2417078066262426,0.5127190918643547,300,940,1300,1500,2100,2600,3300,3900,4100,4100,4100
GET,/product/0PUK6V6EV0,930,110,300,973.1396267738228,49.62030000751838,7449.469199986197,7352.908602150537,5.127190918643547,0.6064419366137529,300,1100,1400,1700,2400,3500,5300,6400,7400,7400,7400
GET,/product/1YMWWN1N4O,912,103,280,1014.5805542746721,49.32349995942786,7544.455700030085,7388.222587719299,5.027954965379478,0.5678501770110594,280,1000,1500,1800,2400,4300,5600,6800,7500,7500,7500
GET,/product/2ZYFJ3GM2N,798,85,320,1050.081976566564,49.180999980308115,7611.499699996784,7404.725563909775,4.399460594707043,0.46861422374699085,320,1100,1600,1900,2500,4500,5500,7000,7600,7600,7600
GET,/product/66VCHSJNUP,867,93,290,1036.1135080736024,50.53429998224601,7307.578300009482,7373.904267589389,4.779865082219307,0.5127190918643547,290,1100,1500,1800,2600,4000,5900,6900,7300,7300,7300
GET,/product/6E92ZMYYFZ,858,105,290,1042.352702797731,50.05610000807792,7292.70930000348,7316.120046620046,4.730247105587273,0.5788763940404005,300,1100,1600,2000,2500,4300,5700,6700,7300,7300,7300
GET,/product/9SIQT8TOJO,827,109,280,1057.553391897445,49.37249998329207,7626.668200013228,7327.738814993954,4.559340741632488,0.6009288280990823,280,1000,1500,1900,2700,5000,6000,7000,7600,7600,7600
GET,/product/L9ECAV7KIM,831,105,310,1055.2854471715004,49.421100004110485,7877.151199965738,7315.8074608904935,4.581393175691169,0.5788763940404005,310,1100,1500,1800,2700,4400,6500,7000,7900,7900,7900
GET,/product/LS4PSXUNUM,873,95,350,1101.819648109027,48.66949998540804,7152.018499968108,7370.564719358534,4.812943733307329,0.5237453088936956,350,1200,1500,1900,2700,5000,6300,6800,7200,7200,7200
GET,/product/OLJCESPC7Z,839,89,280,1043.3059741362165,50.27090001385659,7682.442200020887,7408.637663885578,4.625498043808533,0.49066665780567276,280,1000,1500,1800,2500,4500,6500,7000,7700,7700,7700
POST,/setCurrency,581,93,320,1245.73809414769,91.90110000781715,17222.935499972664,9355.192771084337,3.203116047023549,0.5127190918643547,320,450,710,1100,3300,5700,14000,15000,17000,17000,17000
,Aggregated,13434,1727,360,1505.5752444764253,45.9057999541983,23717.78499998618,9394.23857376805,74.06309978608323,9.52113840483592,360,1100,1600,1900,2900,5400,17000,22000,23000,24000,24000
