Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1904,0,130,220.29570964367537,58.332999935373664,3190.3571251314133,10269.292542016807,6.319217962394337,0.0,130,170,230,320,450,570,890,1300,2500,3200,3200
GET,/cart,4609,0,120,183.26902271681428,43.11804100871086,3130.6639581453055,13594.867216315904,15.296888439430408,0.0,120,150,170,190,260,520,1000,1500,2600,3100,3100
POST,/cart,4649,0,170,229.50183260652213,77.17529102228582,3311.034917132929,17952.963432996345,15.429645119312642,0.0,170,200,230,260,350,560,960,1100,2800,3300,3300
POST,/cart/checkout,1569,0,160,212.3973713154917,67.13250000029802,3316.163541050628,6561.761631612492,5.207380768380627,0.0,160,180,200,220,300,460,990,1400,3200,3300,3300
GET,/product/0PUK6V6EV0,2211,0,100,174.02719832168685,45.34149984829128,3192.55887507461,7734.511985526911,7.338125480490482,0.0,100,130,150,160,240,620,1100,1600,2500,3200,3200
GET,/product/1YMWWN1N4O,2193,0,100,159.344824952975,46.44741700030863,3153.0608751345426,7756.449156406748,7.278384974543477,0.0,100,120,140,160,220,410,1000,1500,2400,3200,3200
GET,/product/2ZYFJ3GM2N,2201,0,100,150.02842026757165,48.30079199746251,2912.6141669694334,7754.038618809632,7.304936310519923,0.0,100,120,140,150,210,330,830,1100,2200,2900,2900
GET,/product/66VCHSJNUP,2191,0,100,159.88905547092793,46.72883288003504,2798.5152499750257,7718.66818804199,7.271747140549365,0.0,100,120,140,160,220,390,990,1500,2400,2800,2800
GET,/product/6E92ZMYYFZ,2224,0,100,161.23422579377095,43.22104109451175,2362.869666190818,7706.003597122302,7.381271401452208,0.0,100,120,140,160,220,450,950,1500,2200,2400,2400
GET,/product/9SIQT8TOJO,2202,0,100,167.29680750752502,46.36333300732076,3041.891082888469,7761.707084468665,7.308255227516979,0.0,100,120,140,160,230,500,1100,1600,2800,3000,3000
GET,/product/L9ECAV7KIM,2206,0,100,165.99496046209106,47.244417015463114,2962.3897920828313,7725.044424297371,7.3215308955052025,0.0,100,120,140,150,220,490,1000,1700,2300,3000,3000
GET,/product/LS4PSXUNUM,2223,0,100,161.22880216258076,45.92795786447823,3092.622790951282,7724.707602339181,7.377952484455152,0.0,100,130,140,160,230,480,940,1500,2100,3100,3100
GET,/product/OLJCESPC7Z,2180,0,100,156.91965763433623,45.453500002622604,3113.948125159368,7758.096788990826,7.235239053581751,0.0,100,120,140,150,220,390,920,1300,2400,3100,3100
POST,/setCurrency,1534,0,140,200.78767747059706,74.20237502083182,3202.473415993154,10281.599739243808,5.091218673483672,0.0,140,160,180,200,300,520,1100,1500,2500,3200,3200
,Aggregated,34096,0,120,181.27476570766044,43.11804100871086,3316.163541050628,10123.969849835757,113.16179393161623,0.0,120,150,170,190,280,510,980,1500,2600,3200,3300
