Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778255467,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778255468,20,,Aggregated,0.000000,0.000000,190,350,490,490,500,500,500,500,500,500,500,48,0,180,272.51631241718616,97.43100008927286,503.6762501113117,9719.041666666666
1778255469,40,,Aggregated,0.000000,0.000000,250,360,370,370,490,500,500,500,500,500,500,94,0,250,270.9154538423853,50.93116709031165,503.6762501113117,9502.712765957447
1778255470,60,,Aggregated,0.000000,0.000000,240,370,370,490,570,580,580,580,580,580,580,147,0,240,278.99985059741,49.91945903748274,577.185875037685,9469.448979591836
1778255471,80,,Aggregated,24.000000,0.000000,200,370,430,440,500,570,580,580,580,580,580,203,0,200,264.81538707289496,49.91945903748274,577.185875037685,9432.541871921183
1778255472,100,,Aggregated,31.666667,0.000000,180,360,390,430,490,570,580,580,580,580,580,265,0,180,255.376190697458,47.22720803692937,577.185875037685,9363.48679245283
1778255473,120,,Aggregated,37.000000,0.000000,200,350,390,430,490,540,580,580,580,580,580,357,0,200,255.26043520301204,47.22720803692937,577.185875037685,9232.086834733893
1778255474,140,,Aggregated,40.800000,0.000000,210,300,370,400,440,540,580,580,580,580,580,438,0,210,248.23856752495533,47.22720803692937,577.185875037685,9317.625570776256
1778255475,160,,Aggregated,44.333333,0.000000,200,290,370,400,490,560,570,580,580,580,580,519,0,200,247.5470822799757,47.22720803692937,577.185875037685,9294.42774566474
1778255476,180,,Aggregated,51.285714,0.000000,190,280,350,370,440,540,570,580,580,580,580,611,0,190,239.00906137173993,47.22720803692937,577.185875037685,9289.15711947627
1778255477,200,,Aggregated,54.875000,0.000000,180,250,330,360,440,540,570,580,580,580,580,717,0,180,223.90180223587657,47.22720803692937,577.185875037685,9297.803347280334
1778255478,220,,Aggregated,58.000000,0.000000,170,240,320,360,440,530,570,580,580,580,580,830,0,170,222.2453561647941,47.22720803692937,577.185875037685,9289.216867469879
