Method,Name,Error,Occurrences
GET,/product/1YMWWN1N4O,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f08650>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/L9ECAV7KIM,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111919550>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/1YMWWN1N4O,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f09850>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/cart,"ConnectionRefusedError(61, 'Connection refused')",10
GET,/cart,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f09150>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
POST,/cart/checkout,"OSError(51, 'Network is unreachable')",471
GET,/product/L9ECAV7KIM,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f09050>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/9SIQT8TOJO,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x1116d3050>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/L9ECAV7KIM,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f0a650>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/66VCHSJNUP,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f09750>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/2ZYFJ3GM2N,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f0a550>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/6E92ZMYYFZ,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111f0aa50>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/cart,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111ae5550>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/66VCHSJNUP,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x11191b150>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/1YMWWN1N4O,"ConnectTimeoutError(<HTTPConnection(host='18.132.246.61', port=30977) at 0x111918b50>, 'Connection to 18.132.246.61 timed out. (connect timeout=None)')",1
GET,/product/2ZYFJ3GM2N,"OSError(51, 'Network is unreachable')",641
POST,/setCurrency,"OSError(51, 'Network is unreachable')",429
