Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1038,0,79,137.7964221703262,63.32629197277129,1849.3274578358978,10275.736994219653,1.7259935894336644,0.0,79,89,100,120,290,480,780,1000,1000,1800,1800
GET,/cart,2773,0,86,106.52429755730773,48.764541978016496,1642.6917500793934,14049.501262170934,4.6109636064542885,0.0,86,96,100,110,140,210,400,680,1500,1600,1600
POST,/cart,2793,0,110.0,137.20864203741533,81.64437511004508,1986.2374169752002,18237.511994271394,4.644219744979022,0.0,110,120,130,140,170,250,430,680,1500,2000,2000
POST,/cart/checkout,908,0,95,120.4032136580193,71.47304201498628,1596.8752501066774,6562.175110132159,1.5098286890228974,0.0,95,100,110,120,150,210,400,840,1600,1600,1600
GET,/product/0PUK6V6EV0,1375,0,66,92.42187326909466,52.521875128149986,1275.5698340479285,7739.724363636364,2.2863595235754226,0.0,66,72,79,85,120,200,480,700,1000,1300,1300
GET,/product/1YMWWN1N4O,1335,1,65,84.51661285578032,29.345166869461536,1332.128542009741,7758.893632958801,2.2198472465259558,0.001662806926236671,65,70,75,79,110,150,300,470,960,1300,1300
GET,/product/2ZYFJ3GM2N,1339,0,65,89.39365110821922,51.754374988377094,1453.457958996296,7755.156833457804,2.2264984742309024,0.0,65,71,76,81,120,170,380,590,1400,1500,1500
GET,/product/66VCHSJNUP,1314,0,66,88.24648852729419,52.84533300437033,1049.7859579045326,7721.603500761035,2.1849283010749856,0.0,66,72,78,84,120,200,340,540,930,1000,1000
GET,/product/6E92ZMYYFZ,1321,1,66,89.28306244703589,34.09158391878009,1275.6552079226822,7709.297501892505,2.1965679495586423,0.001662806926236671,66,72,78,83,110,190,380,600,1300,1300,1300
GET,/product/9SIQT8TOJO,1374,0,65,92.05815243738768,53.122707875445485,1103.1077920924872,7763.794032023289,2.284696716649186,0.0,65,71,76,82,120,190,490,770,1100,1100,1100
GET,/product/L9ECAV7KIM,1305,0,66,93.05607573792938,51.37641588225961,1786.9071660097688,7729.653639846743,2.1699630387388558,0.0,66,72,78,83,120,210,420,690,1200,1800,1800
GET,/product/LS4PSXUNUM,1273,0,65,93.17479946669586,53.11995791271329,1865.5605411622673,7726.058915946583,2.116753217099282,0.0,65,71,76,83,120,230,450,650,1100,1900,1900
GET,/product/OLJCESPC7Z,1402,0,66,88.49487899764097,52.38725012168288,2095.7886250689626,7762.582025677603,2.331255310583813,0.0,66,72,77,82,110,170,340,580,1300,2100,2100
POST,/setCurrency,894,0,98,126.24248528360312,78.29387509264052,1059.583165915683,10282.94071588367,1.486549392055584,0.0,98,110,120,130,170,260,450,650,1100,1100,1100
,Aggregated,20444,2,76,104.08673864783202,29.345166869461536,2095.7886250689626,10218.249315202504,33.994424799982504,0.003325613852473342,76,92,100,110,140,220,440,670,1300,1900,2100
