Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786041783,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786041784,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786041785,40,,Aggregated,0.000000,0.000000,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,36,0,1100,850.0308947501859,291.71070898883045,1339.2592500022147,8946.833333333334
1786041786,60,,Aggregated,0.000000,0.000000,1000,1100,1200,1200,1300,1300,1300,1300,1300,1300,1300,81,0,1000,800.7457078269964,231.0882909805514,1339.2592500022147,9378.913580246914
1786041787,80,,Aggregated,16.000000,0.000000,1000,1100,1200,1200,1300,1300,1400,1400,1400,1400,1400,129,0,1000,812.5286001162495,231.0882909805514,1385.7950840028934,9169.162790697674
1786041788,100,,Aggregated,25.333333,0.000000,1100,1200,1200,1300,1600,1700,1700,1800,1800,1800,1800,169,0,1100,885.9271854077832,231.0882909805514,1764.6621249732561,9328.603550295858
1786041789,110,,Aggregated,29.250000,0.000000,1000,1200,1300,1400,1500,1700,1700,1800,1800,1800,1800,219,0,1000,895.9989060088833,231.0882909805514,1764.6621249732561,9286.826484018266
1786041790,110,,Aggregated,27.400000,0.000000,880,1200,1300,1400,1500,1700,1700,1800,1800,1800,1800,291,0,880,869.0620851852008,128.38983398978598,1764.6621249732561,9155.879725085912
1786041791,110,,Aggregated,36.000000,0.000000,580,1100,1200,1300,1500,1600,1700,1700,1800,1800,1800,335,0,580,790.1299635610376,100.18741700332612,1764.6621249732561,9245.092537313432
1786041792,110,,Aggregated,38.000000,0.000000,540,1100,1200,1300,1500,1600,1700,1700,1800,1800,1800,363,0,540,742.2699442201617,100.18741700332612,1764.6621249732561,9231.67217630854
1786041793,110,,Aggregated,39.375000,0.000000,450,910,1100,1200,1500,1500,1700,1700,1800,1800,1800,410,0,450,679.9305813024304,100.18741700332612,1764.6621249732561,9262.331707317073
1786041794,110,,Aggregated,39.333333,0.000000,410,820,1100,1200,1500,1500,1700,1700,1800,1800,1800,448,0,410,632.9653940739003,92.12854198995046,1764.6621249732561,9188.828125
1786041795,110,,Aggregated,39.200000,0.000000,380,580,1100,1200,1400,1500,1700,1700,1800,1800,1800,496,0,380,585.0425661151202,88.63708301214501,1764.6621249732561,9178.362903225807
1786041796,110,,Aggregated,43.100000,0.000000,350,540,1000,1100,1400,1500,1700,1700,1800,1800,1800,531,0,350,555.9726293244695,88.63708301214501,1764.6621249732561,9082.529190207157
1786041797,110,,Aggregated,45.000000,0.000000,330,500,900,1100,1400,1500,1700,1700,1800,1800,1800,563,0,330,535.3452952296,88.63708301214501,1764.6621249732561,9116.381882770871
1786041798,110,,Aggregated,44.000000,0.000000,310,450,850,1100,1400,1500,1700,1700,1800,1800,1800,599,0,310,516.9955127318048,88.63708301214501,1764.6621249732561,9129.093489148581
1786041799,110,,Aggregated,42.800000,0.000000,280,410,590,1000,1300,1500,1700,1700,1800,1800,1800,659,0,280,488.47671111892663,88.63708301214501,1764.6621249732561,9169.018209408194
1786041800,110,,Aggregated,44.000000,0.000000,260,400,560,910,1300,1500,1700,1700,1800,1800,1800,699,0,260,468.38573408493795,88.63708301214501,1764.6621249732561,9183.287553648068
1786041801,110,,Aggregated,41.700000,0.000000,240,380,520,860,1200,1500,1700,1700,1800,1800,1800,741,0,240,451.4206397885946,88.63708301214501,1764.6621249732561,9197.283400809716
1786041802,110,,Aggregated,41.900000,0.000000,230,360,490,720,1200,1500,1700,1700,1800,1800,1800,781,0,230,436.67423266111206,88.63708301214501,1764.6621249732561,9204.633802816901
1786041803,110,,Aggregated,41.000000,0.000000,220,340,450,590,1200,1500,1600,1700,1800,1800,1800,818,0,220,425.54828223642414,88.63708301214501,1764.6621249732561,9205.474327628363
1786041804,110,,Aggregated,41.300000,0.000000,210,330,440,560,1200,1500,1600,1700,1800,1800,1800,866,0,210,413.692071780988,88.63708301214501,1764.6621249732561,9177.183602771363
1786041805,110,,Aggregated,41.400000,0.000000,210,320,410,540,1200,1500,1600,1700,1800,1800,1800,903,0,210,403.00758166587656,88.63708301214501,1764.6621249732561,9188.196013289036
1786041806,110,,Aggregated,42.100000,0.000000,210,300,400,500,1200,1500,1600,1700,1800,1800,1800,953,0,210,391.8162645092725,88.63708301214501,1764.6621249732561,9209.21720881427
1786041807,110,,Aggregated,40.800000,0.000000,200,290,390,480,1200,1400,1600,1700,1800,1800,1800,994,0,200,383.1078351714629,88.63708301214501,1764.6621249732561,9225.927565392354
1786041808,110,,Aggregated,41.300000,0.000000,200,290,380,450,1100,1400,1500,1700,1800,1800,1800,1033,0,200,375.0390756624471,88.63708301214501,1764.6621249732561,9235.17812197483
1786041809,110,,Aggregated,42.900000,0.000000,200,280,370,440,1100,1400,1500,1700,1800,1800,1800,1069,0,200,367.6074058254915,88.63708301214501,1764.6621249732561,9254.014031805425
1786041810,110,,Aggregated,43.300000,0.000000,190,270,360,430,1100,1400,1500,1700,1800,1800,1800,1101,0,190,360.89326346995284,88.63708301214501,1764.6621249732561,9274.082652134422
1786041811,110,,Aggregated,42.500000,0.000000,200,270,350,410,1100,1400,1500,1700,1800,1800,1800,1151,0,200,354.7670490888342,88.63708301214501,1764.6621249732561,9287.055603822762
1786041812,110,,Aggregated,40.400000,0.000000,190,260,340,410,1100,1400,1500,1700,1800,1800,1800,1193,0,190,348.77041673951504,88.63708301214501,1764.6621249732561,9310.05616093881
1786041813,110,,Aggregated,40.000000,0.000000,190,260,330,400,1100,1300,1500,1700,1800,1800,1800,1233,0,190,342.89275689554927,88.63708301214501,1764.6621249732561,9341.357664233577
1786041814,110,,Aggregated,40.300000,0.000000,190,250,330,390,1100,1300,1500,1700,1800,1800,1800,1273,0,190,337.37250101654365,88.63708301214501,1764.6621249732561,9356.567949725058
1786041815,110,,Aggregated,40.400000,0.000000,190,250,320,380,1000,1300,1500,1700,1800,1800,1800,1324,0,190,329.9355183475161,88.63708301214501,1764.6621249732561,9378.497734138973
1786041816,110,,Aggregated,41.300000,0.000000,190,250,310,370,970,1300,1500,1700,1800,1800,1800,1366,0,190,325.78618188657015,88.63708301214501,1764.6621249732561,9392.685944363104
1786041817,110,,Aggregated,40.800000,0.000000,190,250,310,370,900,1300,1500,1700,1800,1800,1800,1404,0,190,323.9688363603551,88.63708301214501,1764.6621249732561,9397.28205128205
1786041818,110,,Aggregated,41.800000,0.000000,190,250,310,370,890,1300,1500,1700,1800,1800,1800,1448,0,190,320.9615238839378,88.63708301214501,1764.6621249732561,9421.053867403314
1786041819,110,,Aggregated,40.700000,0.000000,190,250,300,360,850,1200,1500,1700,1800,1800,1800,1499,0,190,316.1959532187634,88.63708301214501,1764.6621249732561,9424.082054703136
1786041820,110,,Aggregated,41.500000,0.000000,190,250,300,360,830,1200,1500,1700,1800,1800,1800,1529,0,190,317.09728378942174,88.63708301214501,1764.6621249732561,9429.138652714193
1786041821,110,,Aggregated,41.700000,0.000000,190,250,310,370,790,1200,1500,1700,1800,1800,1800,1556,0,190,318.91022016971243,88.63708301214501,1764.6621249732561,9424.812982005142
1786041822,110,,Aggregated,41.900000,0.000000,190,260,330,400,790,1200,1500,1700,1800,1800,1800,1600,0,190,327.3943602369218,88.63708301214501,1764.6621249732561,9412.81375
1786041823,110,,Aggregated,41.400000,0.000000,200,260,340,410,870,1200,1500,1600,1800,1800,1800,1624,0,190,334.7772579058826,88.63708301214501,1764.6621249732561,9420.650246305418
1786041824,110,,Aggregated,40.300000,0.000000,200,270,350,430,870,1200,1500,1600,1800,1800,1800,1680,0,200,337.58488919231155,88.63708301214501,1764.6621249732561,9433.094642857142
1786041825,110,,Aggregated,39.400000,0.000000,190,270,350,420,830,1200,1500,1600,1800,1800,1800,1714,0,190,333.3887092404686,88.63708301214501,1764.6621249732561,9420.831971995332
1786041826,110,,Aggregated,39.000000,0.000000,200,270,340,410,820,1200,1500,1600,1800,1800,1800,1758,0,200,330.7313593658084,88.63708301214501,1764.6621249732561,9449.584186575654
1786041827,110,,Aggregated,40.300000,0.000000,200,270,340,410,800,1200,1500,1600,1800,1800,1800,1796,0,200,329.4302046988722,88.63708301214501,1764.6621249732561,9435.829064587973
1786041828,110,,Aggregated,38.800000,0.000000,200,270,340,410,760,1200,1500,1600,1800,1800,1800,1844,0,200,327.13077852397413,88.63708301214501,1764.6621249732561,9482.315618221259
1786041829,110,,Aggregated,40.000000,0.000000,190,260,330,400,730,1200,1500,1600,1800,1800,1800,1883,0,190,323.4182390547994,88.63708301214501,1764.6621249732561,9475.08868826341
1786041830,110,,Aggregated,39.500000,0.000000,190,260,330,400,710,1200,1500,1600,1800,1800,1800,1921,0,190,320.04126725152787,88.63708301214501,1764.6621249732561,9468.160333159813
1786041831,110,,Aggregated,38.800000,0.000000,190,260,320,390,710,1200,1500,1600,1800,1800,1800,1964,0,190,317.29008058416076,88.63708301214501,1764.6621249732561,9463.682281059064
