Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1306,0,130.0,251.51024526519956,68.43320792540908,2902.4461251683533,10263.253445635528,4.338838490802241,0.0,130,200,320,380,550,710,1100,1700,2800,2900,2900
GET,/cart,3046,0,130.0,213.57199980663924,58.4822092205286,3059.0121247805655,13347.037426132632,10.119526832299867,0.0,130,150,170,190,350,790,1300,1900,2800,3100,3100
POST,/cart,2868,0,180.0,262.93795293854936,99.86070822924376,3164.75783335045,17828.21269177127,9.528169059434017,0.0,180,210,230,250,360,750,1300,2000,3000,3200,3200
POST,/cart/checkout,970,0,140.0,218.19724134918417,79.28987499326468,3609.070499893278,6562.077319587629,3.2225676386509754,0.0,140,160,180,200,260,680,1300,2000,3600,3600,3600
GET,/product/0PUK6V6EV0,1408,0,93,181.96876874373464,60.95420941710472,2365.9339156001806,7731.428977272727,4.6777064280624465,0.0,93,110,130,140,300,820,1200,1700,2300,2400,2400
GET,/product/1YMWWN1N4O,1427,0,93,179.59413546370504,62.663959339261055,2956.0324591584504,7753.988086895585,4.7408288869638575,0.0,93,110,120,140,300,700,1300,1700,2700,3000,3000
GET,/product/2ZYFJ3GM2N,1461,0,95,174.75800432741622,60.82012504339218,2708.7787496857345,7749.286789869952,4.853784866050592,0.0,95,110,120,140,240,630,1300,1700,2700,2700,2700
GET,/product/66VCHSJNUP,1454,0,95,185.95565236212002,61.827416997402906,3156.6608753055334,7717.969738651995,4.830529223297441,0.0,95,110,130,140,250,770,1500,1800,2900,3200,3200
GET,/product/6E92ZMYYFZ,1391,0,95,182.9003430728879,60.37362478673458,3079.3522498570383,7707.243709561467,4.621228438519079,0.0,95,110,130,140,270,710,1400,1900,2700,3100,3100
GET,/product/9SIQT8TOJO,1473,0,96,188.0934021125237,60.22504111751914,2985.5269170366228,7759.221317040055,4.893651682198852,0.0,96,110,130,140,310,820,1400,1900,2500,3000,3000
GET,/product/L9ECAV7KIM,1465,0,95,196.12587968033736,59.449625201523304,2952.96070817858,7724.203412969283,4.8670738047666795,0.0,95,110,130,150,350,870,1600,2000,2800,3000,3000
GET,/product/LS4PSXUNUM,1429,0,93,183.32786029732628,60.868707951158285,3086.204791907221,7723.4856543037085,4.7474733563219,0.0,93,110,130,150,300,790,1300,1900,3000,3100,3100
GET,/product/OLJCESPC7Z,1419,0,98,197.31278677777485,61.85395922511816,2901.720582973212,7755.221987315011,4.714251009531685,0.0,98,120,140,160,350,760,1600,1900,2600,2900,2900
POST,/setCurrency,1028,0,150.0,241.66386950659611,95.38320824503899,2984.9540423601866,10279.834630350195,3.4152572500342293,0.0,150,170,200,210,410,800,1400,1700,2700,3000,3000
,Aggregated,22145,0,110.0,207.36767091134595,58.4822092205286,3609.070499893278,10030.485482050124,73.57088696693387,0.0,110,150,170,190,360,760,1400,1900,2900,3200,3600
