Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1314,0,120.0,233.91200182534175,70.62987517565489,2510.828916914761,10264.210045662101,4.371984823742744,0.0,120,180,300,380,530,690,1100,1200,1700,2500,2500
GET,/cart,3012,0,120.0,175.66440074493093,57.05204093828797,3379.288457799703,13520.76593625498,10.021627312871495,0.0,120,150,170,180,240,460,900,1200,2500,3400,3400
POST,/cart,2929,0,170.0,238.70479360066378,97.23145794123411,4543.180583044887,17783.913963810173,9.745466932071915,0.0,170,200,230,250,330,510,1200,1500,4100,4500,4500
POST,/cart/checkout,950,0,140.0,196.38301447573068,80.5194997228682,4390.516290906817,6561.0442105263155,3.1608718284289243,0.0,140,170,190,210,280,390,950,1300,4400,4400,4400
GET,/product/0PUK6V6EV0,1455,0,98,155.80505890854957,62.07175040617585,3826.2089579366148,7734.53676975945,4.841124747751668,0.0,98,110,130,140,200,380,820,1400,3600,3800,3800
GET,/product/1YMWWN1N4O,1508,0,100.0,157.27289817456543,60.35254197195172,3496.822708286345,7755.959549071618,5.017468123442966,0.0,100,120,140,150,210,380,910,1200,2500,3500,3500
GET,/product/2ZYFJ3GM2N,1439,0,98,156.54557039106913,58.92612459138036,4422.566207591444,7751.595552466991,4.787889011693918,0.0,98,120,130,150,210,510,930,1300,3300,4400,4400
GET,/product/66VCHSJNUP,1449,0,100.0,160.5994007894043,60.34183315932751,4131.51775021106,7718.792960662526,4.821161346730012,0.0,100,120,140,150,220,440,920,1300,3400,4100,4100
GET,/product/6E92ZMYYFZ,1441,0,95,151.59157769157346,61.43812509253621,3495.4165420494974,7707.049965301873,4.7945434787011365,0.0,95,110,130,140,210,460,880,1000,2900,3500,3500
GET,/product/9SIQT8TOJO,1456,0,95,150.48516782321764,60.800082981586456,3750.1606247387826,7756.910027472528,4.844451981255277,0.0,95,110,130,140,210,420,820,1100,3200,3800,3800
GET,/product/L9ECAV7KIM,1393,0,99,161.9099966027725,59.69937518239021,3865.1962080039084,7725.119885139986,4.634836270527886,0.0,99,120,140,150,220,490,940,1200,3800,3900,3900
GET,/product/LS4PSXUNUM,1469,0,98,147.34151295764744,61.82862492278218,2733.8791666552424,7722.521443158611,4.8877060168022,0.0,98,120,130,140,200,320,850,1200,2700,2700,2700
GET,/product/OLJCESPC7Z,1455,0,99,146.5921819168447,59.86779183149338,3307.4312079697847,7758.1773195876285,4.841124747751668,0.0,99,120,130,150,200,410,750,1000,2700,3300,3300
POST,/setCurrency,1025,0,140.0,196.74799963968192,98.90020824968815,3786.1358332447708,10283.988292682927,3.410414341199629,0.0,140,160,190,200,270,520,800,970,3700,3800,3800
,Aggregated,22295,0,120.0,176.65515802971925,57.05204093828797,4543.180583044887,10054.148553487328,74.18067096297143,0.0,120,140,170,180,270,500,910,1300,3400,4400,4500
