Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780329642,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780329643,20,,Aggregated,0.000000,0.000000,170,330,330,330,340,340,340,340,340,340,340,45,0,170.0,230.15186480349965,114.84987521544099,338.6660418473184,9345.755555555555
1780329644,30,,Aggregated,0.000000,0.000000,160,200,330,330,330,340,340,340,340,340,340,69,0,160.0,199.13565394455108,47.69758274778724,338.6660418473184,9307.449275362318
1780329645,30,,Aggregated,43.000000,0.000000,150,200,330,330,330,340,340,340,340,340,340,76,0,150.0,186.5803404208763,47.69758274778724,338.6660418473184,9337.855263157895
1780329646,30,,Aggregated,33.500000,0.000000,140,200,200,330,330,340,340,340,340,340,340,89,0,140.0,168.83175841040827,47.69758274778724,338.6660418473184,9380.292134831461
1780329647,30,,Aggregated,25.000000,0.000000,140,180,200,210,330,340,340,340,340,340,340,102,0,140.0,161.46034436921278,47.69758274778724,338.6660418473184,9313.20588235294
1780329648,30,,Aggregated,21.500000,0.000000,130,150,200,200,330,340,340,340,340,340,340,112,0,130.0,153.42619421841977,47.69758274778724,338.6660418473184,9215.857142857143
1780329649,30,,Aggregated,19.600000,0.000000,110,150,200,200,330,330,340,340,340,340,340,125,0,110.0,144.45810670405626,47.69758274778724,338.6660418473184,9277.864
1780329650,30,,Aggregated,18.500000,0.000000,100,140,180,200,330,330,340,340,340,340,340,139,0,100.0,137.91712173495253,47.69758274778724,338.6660418473184,9177.741007194245
1780329651,30,,Aggregated,17.285714,0.000000,98,140,160,200,330,330,340,340,340,340,340,147,0,98,133.9139045108439,47.69758274778724,338.6660418473184,9126.666666666666
1780329652,30,,Aggregated,16.750000,0.000000,94,130,150,190,330,330,340,340,340,340,340,162,0,92,127.68970734876707,47.69758274778724,338.6660418473184,9223.074074074075
1780329653,30,,Aggregated,16.222222,0.000000,86,120,150,180,330,330,340,340,340,340,340,171,0,86,123.8775477875351,46.7693330720067,338.6660418473184,9195.555555555555
1780329654,30,,Aggregated,15.700000,0.000000,83,110,150,160,330,330,340,340,340,340,340,187,0,83,118.78369611384157,46.7693330720067,338.6660418473184,9267.192513368984
1780329655,30,,Aggregated,12.600000,0.000000,81,100,140,150,210,330,340,340,340,340,340,202,0,81,114.27988926188486,44.28849974647164,338.6660418473184,9184.564356435643
1780329656,30,,Aggregated,11.800000,0.000000,80,99,140,150,210,330,340,340,340,340,340,212,0,80,112.37661381041245,44.28849974647164,338.6660418473184,9187.731132075472
1780329657,30,,Aggregated,12.100000,0.000000,80,99,130,150,210,330,340,340,340,340,340,218,0,80,111.37285016246413,44.28849974647164,338.6660418473184,9165.62385321101
1780329658,30,,Aggregated,12.400000,0.000000,79,98,130,150,200,330,340,340,340,340,340,228,0,78,109.22856781664386,44.28849974647164,338.6660418473184,9190.11403508772
1780329659,30,,Aggregated,11.800000,0.000000,77,95,120,140,200,330,340,340,340,340,340,243,0,77,106.49042781787338,44.28849974647164,338.6660418473184,9176.181069958848
1780329660,30,,Aggregated,11.300000,0.000000,77,92,110,140,200,330,340,340,340,340,340,258,0,77,104.47476130852462,44.28849974647164,338.6660418473184,9172.89534883721
1780329661,30,,Aggregated,11.900000,0.000000,77,92,120,140,200,330,340,340,340,340,340,271,0,77,104.5645775008823,44.28849974647164,338.6660418473184,9272.261992619926
1780329662,30,,Aggregated,11.900000,0.000000,78,97,130,150,200,330,340,350,530,530,530,278,0,78,109.69483469974705,44.28849974647164,526.0788332670927,9265.118705035971
1780329663,30,,Aggregated,12.000000,0.000000,79,100,140,150,240,330,340,420,530,530,530,288,0,79,114.65537212077632,44.28849974647164,526.0788332670927,9317.729166666666
1780329664,30,,Aggregated,11.900000,0.000000,81,100,140,150,230,330,340,420,530,530,530,300,0,80,115.19233835550646,44.28849974647164,526.0788332670927,9268.25
1780329665,30,,Aggregated,11.800000,0.000000,80,100,140,150,210,330,340,370,530,530,530,314,0,79,113.05074047172667,44.28849974647164,526.0788332670927,9252.773885350318
1780329666,30,,Aggregated,11.400000,0.000000,79,98,130,150,210,330,340,370,530,530,530,321,0,79,112.09224613464649,44.28849974647164,526.0788332670927,9276.657320872275
1780329667,30,,Aggregated,11.700000,0.000000,78,96,130,150,200,330,340,370,530,530,530,340,0,78,109.64545259827419,44.28849974647164,526.0788332670927,9288.779411764706
1780329668,30,,Aggregated,10.900000,0.000000,78,94,130,150,200,330,340,370,530,530,530,350,0,78,108.39280204847455,44.28849974647164,526.0788332670927,9298.882857142857
1780329669,30,,Aggregated,11.300000,0.000000,77,92,120,140,200,330,340,370,530,530,530,362,0,77,107.00890046122448,44.28849974647164,526.0788332670927,9291.759668508288
1780329670,30,,Aggregated,12.300000,0.000000,77,91,120,140,200,330,340,370,530,530,530,376,0,77,105.4607571159648,44.28849974647164,526.0788332670927,9306.22340425532
1780329671,30,,Aggregated,12.100000,0.000000,76,90,110,140,200,330,340,370,530,530,530,389,0,76,104.04529929122765,44.28849974647164,526.0788332670927,9304.647814910026
1780329672,30,,Aggregated,11.400000,0.000000,76,89,110,140,200,330,340,370,530,530,530,398,0,76,103.18796998053676,44.28849974647164,526.0788332670927,9290.248743718594
1780329673,30,,Aggregated,12.000000,0.000000,74,87,100,130,200,330,340,350,530,530,530,407,0,74,102.1676174495415,44.28849974647164,526.0788332670927,9298.454545454546
1780329674,30,,Aggregated,12.100000,0.000000,74,86,100,130,200,330,340,350,530,530,530,423,0,74,100.6181238430506,44.28849974647164,526.0788332670927,9297.068557919622
1780329675,30,,Aggregated,11.400000,0.000000,74,85,100,130,190,330,340,350,530,530,530,442,0,73,99.33433628312366,44.28849974647164,526.0788332670927,9345.346153846154
1780329676,30,,Aggregated,11.800000,0.000000,73,85,99,120,190,330,340,350,530,530,530,454,0,73,98.3614627721141,44.28849974647164,526.0788332670927,9386.068281938326
1780329677,30,,Aggregated,12.100000,0.000000,72,84,98,120,190,330,340,350,530,530,530,464,0,72,97.63790314298541,44.28849974647164,526.0788332670927,9412.198275862069
