Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,138,0,540.0,517.745415477649,54.34612510725856,1279.7388341277838,10232.91304347826,1.5793615448966247,0.0,540,610,850,850,1300,1300,1300,1300,1300,1300,1300
GET,/cart,196,0,80,126.44822235760869,46.15458333864808,1015.5094577930868,10837.377551020409,2.2431511797082497,0.0,80,89,99,110,200,520,880,890,1000,1000,1000
POST,/cart,174,0,110.0,141.85286904738723,81.35016681626439,1203.3162917941809,17185.30459770115,1.9913689044348746,0.0,110,130,140,150,180,260,690,890,1200,1200,1200
POST,/cart/checkout,57,0,84,129.22273841768242,67.00533302500844,1107.1640844456851,6560.350877192983,0.6523449859355623,0.0,84,95,100,110,160,390,810,1100,1100,1100,1100
GET,/product/0PUK6V6EV0,109,0,62,112.51529627864103,48.83295809850097,915.80312512815,7715.623853211009,1.2474667274908122,0.0,62,68,75,83,180,340,820,830,920,920,920
GET,/product/1YMWWN1N4O,106,0,60,102.36999762841975,50.36945873871446,1185.6657499447465,7738.2169811320755,1.2131327808626247,0.0,61,65,76,78,130,300,600,820,1200,1200,1200
GET,/product/2ZYFJ3GM2N,77,0,62,127.63299736762782,50.70487502962351,918.1988751515746,7737.584415584415,0.8812379634568123,0.0,62,68,78,100,270,810,840,920,920,920,920
GET,/product/66VCHSJNUP,86,0,62,133.4075358598818,50.10279128327966,1264.5098748616874,7709.988372093023,0.9842398033413747,0.0,62,68,79,86,270,540,930,1300,1300,1300,1300
GET,/product/6E92ZMYYFZ,96,0,62,116.02132598636672,50.65379198640585,928.0898328870535,7688.0,1.0986862921019998,0.0,63,68,85,91,270,360,910,930,930,930,930
GET,/product/9SIQT8TOJO,81,0,64,116.52879579636601,50.02462491393089,923.2232500799,7739.62962962963,0.9270165589610623,0.0,64,71,82,100,270,290,840,920,920,920,920
GET,/product/L9ECAV7KIM,96,0,61,116.41376293846406,51.37949995696545,931.6100836731493,7707.510416666667,1.0986862921019998,0.0,61,67,77,83,140,560,920,930,930,930,930
GET,/product/LS4PSXUNUM,98,0,65,136.2251169903546,49.38220838084817,923.2102911919355,7711.428571428572,1.1215755898541249,0.0,65,78,100,120,280,710,920,920,920,920,920
GET,/product/OLJCESPC7Z,95,0,62,89.88950082934217,49.90724986419082,809.5453749410808,7745.6,1.0872416432259373,0.0,62,71,76,82,130,250,480,810,810,810,810
POST,/setCurrency,63,0,97,168.16429959403143,76.9916670396924,1190.5428329482675,10261.888888888889,0.7210128791919374,0.0,97,100,120,140,260,620,990,1200,1200,1200,1200
,Aggregated,1472,0,76,160.96026226960416,46.15458333864808,1279.7388341277838,9554.0,16.846523145563996,0.0,76,95,110,140,420,820,930,1300,1300,1300,1300
