Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1645,0,100.0,146.89950842076294,72.29674980044365,1904.8701249994338,10278.116109422492,1.3701376389856623,0.0,100,110,120,130,220,400,790,1200,1800,1900,1900
GET,/cart,4672,0,110.0,129.33847580558768,57.57416598498821,2083.225625101477,14085.358732876712,3.8913574768030483,0.0,110,120,130,140,160,210,390,670,1600,2100,2100
POST,/cart,4751,0,150.0,179.43278005061634,100.88254185393453,2008.5746250115335,18157.961902757314,3.9571573998911136,0.0,150,170,180,190,220,330,540,870,1800,2000,2000
POST,/cart/checkout,1625,0,110.0,135.84784076162256,78.45145789906383,1935.7002498582006,6561.139076923077,1.353479430608937,0.0,110,120,130,140,160,220,390,690,1800,1900,1900
GET,/product/0PUK6V6EV0,2218,0,82,103.16712230005587,58.732917066663504,1813.1015417166054,7736.591073038774,1.8473953089788444,0.0,82,89,95,100,120,170,350,610,1500,1800,1800
GET,/product/1YMWWN1N4O,2328,0,82,103.96593899579712,59.79045946151018,1553.6735001951456,7758.7697594501715,1.939015455050834,0.0,82,89,96,100,120,180,380,620,1200,1600,1600
GET,/product/2ZYFJ3GM2N,2358,0,83,105.64731022949702,59.1190829873085,1669.4642077200115,7755.449957591179,1.9640027676159222,0.0,83,90,96,100,130,190,410,620,1300,1700,1700
GET,/product/66VCHSJNUP,2241,0,81,101.57642385451516,60.69391593337059,1079.5610421337187,7720.168674698795,1.8665522486120787,0.0,81,88,94,99,120,170,390,650,990,1100,1100
GET,/product/6E92ZMYYFZ,2334,1,82,103.47850878077344,30.050000175833702,2183.7157919071615,7704.92116538132,1.9440129175638516,0.0008329104188362689,82,89,95,100,120,180,400,610,1500,2200,2200
GET,/product/9SIQT8TOJO,2224,0,82,104.66265098653271,59.43612474948168,2097.9715827852488,7763.823741007194,1.8523927714918622,0.0,82,89,95,100,120,170,390,670,1700,2100,2100
GET,/product/L9ECAV7KIM,2251,0,82,103.81105156021249,60.9227498061955,1703.3725827932358,7728.545091070635,1.8748813528004413,0.0,82,89,95,100,120,170,360,600,1400,1700,1700
GET,/product/LS4PSXUNUM,2239,0,82,107.07150319322457,56.50583328679204,2106.01087519899,7729.019651630192,1.8648864277744062,0.0,82,89,95,100,120,190,420,620,1800,2100,2100
GET,/product/OLJCESPC7Z,2183,0,82,104.62470609712638,59.65233268216252,1815.0480422191322,7760.827301878149,1.8182434443195752,0.0,82,89,95,100,120,180,390,620,1600,1800,1800
POST,/setCurrency,1541,0,130.0,158.6674314314387,96.16637509316206,1573.349874932319,10284.861129136923,1.2835149554266905,0.0,130,140,150,160,190,300,510,730,1500,1600,1600
,Aggregated,34610,1,95,123.87651052998422,30.050000175833702,2183.7157919071615,10205.090031782722,28.827029595923268,0.0008329104188362689,95,110,130,140,170,240,440,700,1600,2100,2200
