Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15154,1,140,184.32456804033194,80.68904234096408,2424.789291806519,10284.648145704105,3.5069465116004137,0.00023142051680087196,140,150,170,180,250,450,850,1100,1800,2400,2400
GET,/cart,44688,0,180,212.75707285238028,76.29279186949134,3205.728709232062,14263.492525957752,10.341720054797367,0.0,180,200,210,220,270,430,860,1100,1900,2800,3200
POST,/cart,44597,0,250,276.3972779235397,145.50745766609907,3273.454083595425,18232.320739063165,10.320660787768487,0.0,250,270,290,300,340,410,670,1100,2100,3000,3300
POST,/cart/checkout,14941,0,160,189.0085118101058,96.67208278551698,3346.997749991715,6562.5406599290545,3.457653941521828,0.0,160,180,190,200,240,270,460,1000,1700,2800,3300
GET,/product/0PUK6V6EV0,21496,0,120,166.7307269989794,79.65204119682312,2739.3146250396967,7739.453805359137,4.974615429151544,0.0,120,140,150,150,200,410,850,1100,2000,2500,2700
GET,/product/1YMWWN1N4O,21584,0,120,167.73648343280786,78.7765420973301,3207.7385829761624,7761.752826167532,4.994980434630021,0.0,120,140,150,150,200,410,860,1100,1900,2900,3200
GET,/product/2ZYFJ3GM2N,21654,0,120,164.79441181976676,79.9169996753335,3162.578667048365,7757.306409901173,5.011179870806082,0.0,120,130,140,150,190,370,830,1100,1900,2600,3200
GET,/product/66VCHSJNUP,21819,0,120,167.1678440240394,79.31495923548937,2766.168207861483,7724.408268023282,5.049364256078226,0.0,120,140,150,150,200,430,840,1000,1600,2300,2800
GET,/product/6E92ZMYYFZ,21666,0,120,165.71857930235166,79.61370795965195,2751.7533749341965,7714.75394627527,5.013956917007692,0.0,120,140,150,150,200,380,830,1000,1800,2500,2800
GET,/product/9SIQT8TOJO,21128,1,120,164.58871971778973,72.30416592210531,2544.4914996623993,7765.959390382431,4.889452678968823,0.00023142051680087196,120,130,150,150,200,380,830,1000,1700,2200,2500
GET,/product/L9ECAV7KIM,21567,0,120,167.34343737346282,79.83008399605751,3139.47695819661,7732.070060740947,4.991046285844406,0.0,120,140,150,150,200,400,850,1100,2000,2900,3100
GET,/product/LS4PSXUNUM,21569,0,120,166.06693120318025,79.29012505337596,2977.543457876891,7730.715934906579,4.991509126878007,0.0,120,140,150,150,200,380,830,1100,1900,2600,3000
GET,/product/OLJCESPC7Z,21453,0,120,165.50533834640183,78.49154202267528,2460.3524999693036,7763.438866359017,4.964664346929107,0.0,120,140,150,150,200,390,830,1100,1800,2300,2500
POST,/setCurrency,14821,1,200,237.55532111634503,129.97912522405386,2615.107708144933,10286.731664530058,3.4298834795057234,0.00023142051680087196,200,210,220,230,280,450,850,1100,1800,2400,2600
,Aggregated,328137,3,140,192.60871435601513,72.30416592210531,3346.997749991715,10235.261214066077,75.93763412148772,0.0006942615504026159,140,180,200,220,280,400,830,1100,1900,2700,3300
