Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14970,6,150,311.3141186417154,74.38545906916261,141491.68183282018,10281.567735470942,3.4643978641018833,0.0013885362180769071,150,180,200,230,360,600,1000,1400,39000,111000,141000
POST,/,4,4,48000,50354.15886435658,30674.107749946415,70400.83600021899,0.0,0.0009256908120512713,0.0009256908120512713,53000,53000,70000,70000,70000,70000,70000,70000,70000,70000,70000
GET,/cart,43243,16,190,331.3581558384137,65.77629176899791,154679.1440830566,14308.776356867007,10.007411946383282,0.0037027632482050854,190,220,240,260,330,510,910,1200,32000,111000,155000
POST,/cart,43106,22,260,360.9284590447406,68.66637477651238,113475.70020798594,18242.521041154363,9.975707036070526,0.005091299466281993,260,290,310,330,420,580,1000,1300,13000,90000,113000
POST,/cart/checkout,14347,4,180,242.34725256294874,63.67566715925932,85017.31120795012,6561.496689203318,3.3202215201248975,0.0009256908120512713,180,210,230,240,310,440,890,1100,2300,63000,85000
GET,/product/0PUK6V6EV0,20994,15,130,262.2077906738457,72.22958281636238,151697.62441702187,7735.0528722492145,4.858488227051097,0.0034713405451922675,130,150,170,180,240,410,860,1100,33000,105000,152000
GET,/product/1YMWWN1N4O,20781,6,130,263.68659743140165,65.95779210329056,144002.3719999008,7759.32967614648,4.809195191309367,0.0013885362180769071,130,150,170,180,240,430,870,1100,31000,120000,144000
GET,/product/2ZYFJ3GM2N,20720,7,130,254.1988916415991,82.23987510427833,121137.14712485671,7755.268967181467,4.795078406425586,0.001619958921089725,130,150,170,180,240,410,850,1100,28000,103000,121000
GET,/product/66VCHSJNUP,20515,9,130,274.1643689592559,64.56366693601012,140989.68645837158,7721.129125030466,4.747636752307958,0.0020828043271153606,130,150,170,180,240,440,870,1100,38000,102000,141000
GET,/product/6E92ZMYYFZ,20844,9,130,253.8595510934176,66.10929127782583,102817.16329185292,7710.885338706582,4.823774821599176,0.0020828043271153606,130,150,170,180,240,420,840,1100,24000,98000,103000
GET,/product/9SIQT8TOJO,20571,10,130,290.48712290095915,62.7867910079658,110660.4191660881,7762.950755918526,4.760596423676676,0.0023142270301281785,130,150,170,180,240,430,900,1200,47000,100000,111000
GET,/product/L9ECAV7KIM,20723,12,130,247.15513336744874,62.59495811536908,81384.87562490627,7728.055300873426,4.795772674534624,0.0027770724361538142,130,150,170,180,250,430,840,1100,29000,69000,81000
GET,/product/LS4PSXUNUM,20851,17,130,284.8950850450242,58.0743751488626,102777.705041226,7724.295477435135,4.825394780520265,0.003934185951217904,130,150,170,180,240,430,890,1200,47000,86000,103000
GET,/product/OLJCESPC7Z,20516,17,130,257.13129050132767,59.14241634309292,88093.66016602144,7757.2058393449015,4.747868175010971,0.003934185951217904,130,150,170,180,240,430,870,1100,31000,71000,88000
POST,/setCurrency,14213,6,210,368.19644943036286,66.39966694638133,140241.632708814,10283.113628368395,3.28921087792118,0.0013885362180769071,210,240,260,280,380,590,960,1300,38000,119000,140000
,Aggregated,316398,160,160,293.74230096934815,58.0743751488626,154679.1440830566,10249.178929702462,73.22168038784955,0.037027632482050855,160,200,220,250,320,490,910,1200,32000,101000,155000
