Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,19003,0,140.0,192.7542635200668,79.69420799054205,3641.173708019778,10285.640056833132,4.3371705178221935,0.0,140,160,180,190,270,460,960,1300,2200,3600,3600
GET,/cart,55995,3,160.0,213.80371564812745,38.58683299040422,4030.863624997437,14298.1801768015,12.780080152894476,0.0006847082857162859,160,190,210,230,290,470,980,1400,2600,3600,4000
POST,/cart,55693,2,240.0,298.22347703475634,52.253416972234845,5535.501291975379,18227.94245237283,12.71115285213237,0.0004564721904775239,240,280,300,320,400,600,1000,1300,2600,4000,5500
POST,/cart/checkout,18613,0,180.0,218.51125513505474,88.50541600259021,3421.972582989838,6562.416053296083,4.248158440679076,0.0,180,210,230,250,300,410,830,1100,2200,3200,3400
GET,/product/0PUK6V6EV0,26867,0,120.0,170.39796826151706,68.2709589600563,3496.0117919836193,7738.166710090445,6.1320191707798175,0.0,120,140,160,170,220,400,900,1200,2300,3400,3500
GET,/product/1YMWWN1N4O,26790,0,120.0,171.68431396188453,66.47350004641339,4085.2072089910507,7760.382082866741,6.114444991446433,0.0,120,140,160,170,230,410,890,1200,2500,3700,4100
GET,/product/2ZYFJ3GM2N,26934,0,120.0,172.4867628736752,67.4360420089215,4823.124833055772,7756.248496324349,6.147310989160815,0.0,120,140,160,170,220,410,900,1300,2300,3300,4800
GET,/product/66VCHSJNUP,26884,1,120.0,169.75469945746423,48.72795898700133,3760.4223749949597,7723.348534444279,6.135899184398877,0.00022823609523876196,120,140,160,170,220,390,880,1200,2200,3600,3800
GET,/product/6E92ZMYYFZ,27280,4,120.0,167.14280812106614,37.34008298488334,3383.5233749705367,7712.328299120235,6.226280678113426,0.0009129443809550478,120,140,160,170,220,380,850,1100,2300,3300,3400
GET,/product/9SIQT8TOJO,26712,1,120.0,168.4219206919433,54.72929100506008,3726.391583972145,7764.8298143156635,6.09664257601781,0.00022823609523876196,120,140,160,170,220,390,870,1200,2100,3100,3700
GET,/product/L9ECAV7KIM,26772,2,120.0,170.8651431676679,46.166167012415826,3689.0087089850567,7730.370424323921,6.1103367417321355,0.0004564721904775239,120,140,160,170,220,410,890,1200,2300,3100,3700
GET,/product/LS4PSXUNUM,26537,0,120.0,167.73232129629682,67.94454099144787,3884.0648750192486,7729.645061612089,6.056701259351026,0.0,120,140,160,170,220,380,850,1200,2200,3700,3900
GET,/product/OLJCESPC7Z,26840,2,120.0,172.59835405041827,50.04633299540728,3308.07766597718,7762.344523099851,6.125856796208371,0.0004564721904775239,120,140,160,170,230,410,910,1200,2300,3200,3300
POST,/setCurrency,18628,0,190.0,237.98450923345,117.8000409854576,3946.8522500246763,10288.364612411424,4.251581982107658,0.0,190,210,220,240,300,510,1000,1300,2600,3600,3900
,Aggregated,409548,15,150.0,199.84880613845746,37.34008298488334,5535.501291975379,10244.516947952377,93.47363633284448,0.0034235414285814295,150,180,210,230,300,460,930,1200,2400,3600,5500
