Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,23,0,130.0,1266.7309383016443,75.40562498616055,3065.8247499959543,10242.08695652174,0.19744346417901268,0.0,130,2800,2800,2800,2800,2800,3100,3100,3100,3100,3100
GET,/cart,42,0,97,103.16818858458039,62.9650839837268,395.5477090203203,11238.190476190477,0.36054893458776227,0.0,99,110,110,120,130,140,400,400,400,400,400
POST,/cart,49,0,140.0,157.53589874984013,114.07804099144414,517.8346669999883,17290.20408163265,0.42064042368572263,0.0,140,150,160,160,200,280,520,520,520,520,520
POST,/cart/checkout,18,0,110.0,119.12611789820302,88.73508300166577,275.3254580311477,6563.555555555556,0.15452097196618383,0.0,110,120,120,130,140,280,280,280,280,280,280
GET,/product/0PUK6V6EV0,26,0,82,107.37584606753305,68.68570897495374,367.87362495670095,7721.5,0.22319695950670998,0.0,84,95,96,100,150,290,370,370,370,370,370
GET,/product/1YMWWN1N4O,24,0,77,85.07242012516751,67.71508295787498,155.01170902280137,7734.166666666667,0.20602796262157844,0.0,78,81,87,96,110,120,160,160,160,160,160
GET,/product/2ZYFJ3GM2N,20,1,77,1492.0382272044662,68.25870799366385,27973.48291700473,7330.65,0.17168996885131535,0.008584498442565768,77,94,110,150,240,28000,28000,28000,28000,28000,28000
GET,/product/66VCHSJNUP,23,1,83,1642.4246829094204,71.09095802297816,35507.883207988925,7366.95652173913,0.19744346417901268,0.008584498442565768,83,98,100,110,140,430,36000,36000,36000,36000,36000
GET,/product/6E92ZMYYFZ,19,1,87,1608.087673317641,73.08337499853224,28900.722707971,7281.210526315789,0.1631054704087496,0.008584498442565768,87,90,92,100,180,29000,29000,29000,29000,29000,29000
GET,/product/9SIQT8TOJO,18,0,84,102.79278478184197,73.22975003626198,212.2873329790309,7755.888888888889,0.15452097196618383,0.0,85,110,110,120,170,210,210,210,210,210,210
GET,/product/L9ECAV7KIM,21,0,79,85.01452385791622,68.94975004252046,140.02270897617564,7723.809523809524,0.18027446729388114,0.0,79,80,90,91,100,100,140,140,140,140,140
GET,/product/LS4PSXUNUM,20,0,80,89.22964590019546,68.65516700781882,196.09741697786376,7691.45,0.17168996885131535,0.0,83,89,96,98,110,200,200,200,200,200,200
GET,/product/OLJCESPC7Z,16,0,79,92.02684369302006,71.3281249627471,157.8356659738347,7751.5,0.1373519750810523,0.0,82,87,120,120,130,160,160,160,160,160,160
POST,/setCurrency,11,1,130.0,2772.4158899932677,104.19016698142514,28865.720040979795,9337.545454545454,0.09442948286822345,0.008584498442565768,130,130,170,170,510,29000,29000,29000,29000,29000,29000
,Aggregated,330,4,95,556.7402579433596,62.9650839837268,35507.883207988925,9685.1,2.8328844860467033,0.03433799377026307,95,110,130,140,180,480,2800,28000,36000,36000,36000
