Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781108429,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781108430,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781108431,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781108432,10,,Aggregated,0.000000,0.000000,2100,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,18,0,280.0,1445.7933286159662,97.65804099151865,2814.012208022177,9284.333333333334
1781108433,10,,Aggregated,0.000000,0.000000,280,2800,2800,2800,2800,2800,3100,3100,3100,3100,3100,21,0,280.0,1399.273984003923,82.36166602000594,3065.8247499959543,9178.333333333334
1781108434,10,,Aggregated,0.000000,0.000000,240,2800,2800,2800,2800,2800,3100,3100,3100,3100,3100,24,0,210.0,1238.2838592966436,82.36166602000594,3065.8247499959543,9705.25
1781108435,10,,Aggregated,5.000000,0.000000,200,2100,2800,2800,2800,2800,3100,3100,3100,3100,3100,28,0,180.0,1074.7056174669913,81.33687503868714,3065.8247499959543,9722.67857142857
1781108436,10,,Aggregated,4.400000,0.000000,150,280,2800,2800,2800,2800,3100,3100,3100,3100,3100,31,0,150.0,978.0290321645988,64.04491700232029,3065.8247499959543,9492.451612903225
1781108437,10,,Aggregated,4.000000,0.000000,130,200,2100,2800,2800,2800,3100,3100,3100,3100,3100,39,0,130.0,799.3119272839231,64.04491700232029,3065.8247499959543,9549.153846153846
1781108438,10,,Aggregated,4.000000,0.000000,130,180,280,2800,2800,2800,3100,3100,3100,3100,3100,42,0,130.0,748.2493550730093,64.04491700232029,3065.8247499959543,9620.02380952381
1781108439,10,,Aggregated,4.000000,0.000000,130,180,280,2800,2800,2800,3100,3100,3100,3100,3100,43,0,130.0,732.5088254901646,64.04491700232029,3065.8247499959543,9550.558139534884
1781108440,10,,Aggregated,4.333333,0.000000,110,150,240,2100,2800,2800,3100,3100,3100,3100,3100,48,0,110.0,665.3361336272307,64.04491700232029,3065.8247499959543,9536.604166666666
1781108441,10,,Aggregated,4.300000,0.000000,110,150,210,280,2800,2800,2800,3100,3100,3100,3100,53,0,110.0,616.306716134719,64.04491700232029,3065.8247499959543,9502.301886792453
1781108442,10,,Aggregated,4.400000,0.000000,110,140,200,280,2800,2800,2800,3100,3100,3100,3100,59,0,110.0,563.483046564092,64.04491700232029,3065.8247499959543,9615.135593220339
1781108443,10,,Aggregated,4.800000,0.000000,110,140,200,240,2800,2800,2800,3100,3100,3100,3100,62,0,100,540.2573265845047,64.04491700232029,3065.8247499959543,9522.564516129032
1781108444,10,,Aggregated,5.500000,0.000000,100,130,180,240,2800,2800,2800,3100,3100,3100,3100,65,0,100,518.6547268817847,64.04491700232029,3065.8247499959543,9423.984615384616
1781108445,10,,Aggregated,3.900000,0.000000,98,130,150,210,2800,2800,2800,3100,3100,3100,3100,69,0,98,493.90288342492306,64.04491700232029,3065.8247499959543,9325.463768115942
1781108446,10,,Aggregated,4.000000,0.000000,98,130,150,200,2800,2800,2800,3100,3100,3100,3100,73,0,98,471.82766090813794,64.04491700232029,3065.8247499959543,9357.90410958904
1781108447,10,,Aggregated,4.200000,0.000000,93,130,150,200,2800,2800,2800,3100,3100,3100,3100,75,0,93,461.2610127109413,64.04491700232029,3065.8247499959543,9301.16
1781108448,10,,Aggregated,4.100000,0.000000,98,110,140,180,2800,2800,2800,3100,3100,3100,3100,83,0,98,425.9997177995315,64.04491700232029,3065.8247499959543,9375.5421686747
1781108449,10,,Aggregated,4.200000,0.000000,93,110,140,150,2800,2800,2800,3100,3100,3100,3100,86,0,92,413.84097716641116,64.04491700232029,3065.8247499959543,9318.116279069767
1781108450,10,,Aggregated,3.600000,0.000000,92,110,140,160,2800,2800,2800,3100,3100,3100,3100,89,0,92,403.31197279084245,64.04491700232029,3065.8247499959543,9374.955056179775
1781108451,10,,Aggregated,4.000000,0.000000,91,110,140,150,2100,2800,2800,3100,3100,3100,3100,94,0,90,386.36531200299555,64.04491700232029,3065.8247499959543,9377.329787234043
1781108452,10,,Aggregated,4.200000,0.000000,91,110,130,150,2100,2800,2800,3100,3100,3100,3100,99,0,91,371.8978703160761,64.04491700232029,3065.8247499959543,9467.949494949495
1781108453,10,,Aggregated,4.100000,0.000000,90,110,130,140,280,2800,2800,2800,3100,3100,3100,108,0,90,348.3330898350148,64.04491700232029,3065.8247499959543,9528.212962962964
1781108454,10,,Aggregated,3.900000,0.000000,91,110,130,140,280,2800,2800,2800,3100,3100,3100,112,0,90,339.4634560551952,64.04491700232029,3065.8247499959543,9529.589285714286
1781108455,10,,Aggregated,3.900000,0.000000,91,110,130,140,280,2800,2800,2800,3100,3100,3100,112,0,90,339.4634560551952,64.04491700232029,3065.8247499959543,9529.589285714286
1781108457,10,,Aggregated,4.600000,0.000000,91,110,130,140,280,2800,2800,2800,3100,3100,3100,116,0,90,330.8691497428487,64.04491700232029,3065.8247499959543,9540.543103448275
1781108458,10,,Aggregated,4.300000,0.000000,93,110,130,140,240,2800,2800,2800,3100,3100,3100,125,0,93,315.77085394458845,64.04491700232029,3065.8247499959543,9704.928
1781108459,10,,Aggregated,4.300000,0.000000,93,110,130,140,240,2800,2800,2800,3100,3100,3100,126,0,92,313.8410154926879,64.04491700232029,3065.8247499959543,9688.801587301587
1781108460,10,,Aggregated,4.900000,0.000000,93,110,130,140,240,2800,2800,2800,3100,3100,3100,129,0,93,308.62436752789836,64.04491700232029,3065.8247499959543,9635.68992248062
1781108461,10,,Aggregated,4.900000,0.000000,94,110,130,140,210,2800,2800,2800,3100,3100,3100,131,0,94,306.37837432143596,64.04491700232029,3065.8247499959543,9606.847328244276
1781108462,10,,Aggregated,4.300000,0.000000,95,110,130,150,280,2800,2800,2800,3100,3100,3100,134,0,95,307.3673258364416,64.04491700232029,3065.8247499959543,9557.029850746268
