Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782142879,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782142880,10,,Aggregated,0.000000,0.000000,130,170,170,170,180,190,190,190,190,190,190,23,0,130.0,135.61242912976962,96.58224997110665,192.2889167908579,9550.304347826086
1782142881,10,,Aggregated,0.000000,0.000000,130,150,170,170,180,190,190,190,190,190,190,25,0,130.0,130.19605816341937,65.25012501515448,192.2889167908579,9399.52
1782142882,10,,Aggregated,20.000000,0.000000,100,130,170,170,180,190,190,190,190,190,190,29,0,100.0,122.19573546939625,61.302416026592255,192.2889167908579,9545.551724137931
1782142883,10,,Aggregated,11.500000,0.000000,100,130,170,170,170,190,190,190,190,190,190,31,0,100.0,118.33456033960947,61.17624999023974,192.2889167908579,9426.58064516129
1782142884,10,,Aggregated,8.666667,0.000000,99,130,130,170,170,190,190,190,190,190,190,38,0,99,108.9165316723091,54.558875039219856,192.2889167908579,9557.921052631578
1782142885,10,,Aggregated,7.250000,0.000000,99,100,130,150,170,180,190,190,190,190,190,41,0,99,106.12292671803294,54.558875039219856,192.2889167908579,9837.926829268292
1782142886,10,,Aggregated,7.400000,0.000000,97,100,130,150,170,180,190,190,190,190,190,45,0,97,102.46950733578868,54.558875039219856,192.2889167908579,9892.977777777778
1782142887,10,,Aggregated,6.500000,0.000000,92,100,130,130,170,180,190,190,190,190,190,50,0,91,99.17458326555789,54.558875039219856,192.2889167908579,9800.14
1782142888,10,,Aggregated,6.285714,0.000000,88,99,100,130,170,180,190,190,190,190,190,53,0,88,97.03329631197705,54.558875039219856,192.2889167908579,9682.169811320755
1782142889,10,,Aggregated,5.750000,0.000000,86,99,100,130,170,180,190,190,190,190,190,56,0,79,95.4599686914922,54.558875039219856,192.2889167908579,9728.982142857143
1782142890,10,,Aggregated,5.666667,0.000000,78,99,100,130,170,170,190,190,190,190,190,61,0,78,92.98239611318243,54.558875039219856,192.2889167908579,9744.032786885246
1782142891,10,,Aggregated,5.300000,0.000000,76,98,100,130,170,170,190,190,190,190,190,63,0,76,92.02548209208227,54.558875039219856,192.2889167908579,9680.79365079365
1782142892,10,,Aggregated,3.900000,0.000000,73,97,100,100,170,170,190,190,190,190,190,66,0,73,90.47903404147787,54.558875039219856,192.2889167908579,9629.227272727272
1782142893,10,,Aggregated,3.900000,0.000000,73,97,100,100,170,170,190,190,190,190,190,67,0,73,90.35149621846737,54.558875039219856,192.2889167908579,9727.537313432837
1782142894,10,,Aggregated,3.700000,0.000000,73,93,100,100,170,170,190,190,190,190,190,70,0,71,89.10640352738223,54.558875039219856,192.2889167908579,9643.585714285715
1782142895,10,,Aggregated,3.800000,0.000000,73,92,99,100,170,170,190,190,190,190,190,73,0,73,88.4403652441369,54.54662488773465,192.2889167908579,9680.369863013699
1782142896,10,,Aggregated,3.000000,0.000000,78,92,100,100,170,180,190,200,200,200,200,78,0,76,89.89364790837638,54.54662488773465,202.53708283416927,9824.97435897436
1782142897,10,,Aggregated,3.200000,0.000000,76,91,100,100,170,180,190,200,200,200,200,80,0,73,89.31974578590598,54.54662488773465,202.53708283416927,9879.625
1782142898,10,,Aggregated,3.000000,0.000000,73,89,99,100,170,170,190,200,200,200,200,84,0,73,88.46476036844598,54.54662488773465,202.53708283416927,9862.916666666666
1782142899,10,,Aggregated,3.300000,0.000000,73,88,99,100,170,170,190,200,200,200,200,88,0,71,87.25854445682754,54.54662488773465,202.53708283416927,9891.136363636364
1782142900,10,,Aggregated,2.900000,0.000000,71,85,99,100,150,170,190,200,200,200,200,92,0,71,86.18055067895709,54.473417112603784,202.53708283416927,9825.369565217392
1782142901,10,,Aggregated,3.300000,0.000000,71,84,98,100,150,170,190,200,200,200,200,96,0,71,85.0164296401393,53.755166940391064,202.53708283416927,9727.0
1782142902,10,,Aggregated,2.900000,0.000000,71,84,98,100,150,170,190,200,200,200,200,100,0,71,84.68523328658193,53.755166940391064,202.53708283416927,9821.71
1782142903,10,,Aggregated,3.200000,0.000000,71,84,98,100,130,170,190,190,200,200,200,104,0,71,84.330692264932,53.755166940391064,202.53708283416927,9790.451923076924
1782142904,10,,Aggregated,3.300000,0.000000,71,84,97,100,130,170,190,190,200,200,200,106,0,71,84.1382212611794,53.755166940391064,202.53708283416927,9775.330188679245
1782142905,10,,Aggregated,3.400000,0.000000,71,85,97,100,130,170,190,190,200,200,200,113,0,71,84.06716587425795,53.755166940391064,202.53708283416927,9814.150442477876
1782142906,10,,Aggregated,3.700000,0.000000,71,84,93,99,130,170,190,190,200,200,200,119,0,71,83.21627517653425,53.755166940391064,202.53708283416927,9770.16806722689
