Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5386,0,360.0,497.46524200149986,53.32670803181827,6417.500749928877,10277.90549572967,4.483007483730411,0.0,360,510,650,750,1100,1500,2000,2400,2800,6400,6400
GET,/cart,14680,0,300.0,436.22430909148414,47.34624992124736,4619.403542019427,13994.340871934604,12.218817278344305,0.0,300,480,600,690,940,1200,1600,1900,3800,4500,4600
POST,/cart,14902,0,400.0,535.4202212916117,85.5373339727521,5018.42899993062,18111.77217823111,12.40359775762172,0.0,400,600,730,820,1100,1400,1800,2200,3700,5000,5000
POST,/cart/checkout,4936,0,290.0,434.7701448054925,75.63858292996883,4765.839374857023,6562.353727714749,4.1084524581680855,0.0,290,460,570,660,890,1200,1700,2000,4600,4800,4800
GET,/product/0PUK6V6EV0,7135,0,260.0,374.0716447255534,51.820042077451944,3563.241667114198,7737.862368605466,5.9387780164159825,0.0,260,400,500,570,790,1100,1400,1800,3400,3600,3600
GET,/product/1YMWWN1N4O,7043,0,240.0,360.12669833285497,50.92700012028217,3550.483833067119,7760.095981825926,5.862202322301018,0.0,240,380,480,550,780,1100,1400,1700,3200,3600,3600
GET,/product/2ZYFJ3GM2N,7161,0,250.0,372.091623819413,50.88983313180506,3890.251792035997,7756.744030163385,5.960418973448472,0.0,250,390,490,560,800,1100,1400,1900,3500,3900,3900
GET,/product/66VCHSJNUP,7130,0,240.0,364.0947682856808,51.02108302526176,3529.322666116059,7723.894670406732,5.934616293909734,0.0,240,390,480,550,780,1100,1400,1900,3200,3500,3500
GET,/product/6E92ZMYYFZ,7133,0,250.0,371.39072706902,50.23833294399083,3546.35399999097,7713.4069816346555,5.937113327413483,0.0,250,400,500,570,800,1100,1400,1800,3100,3500,3500
GET,/product/9SIQT8TOJO,6975,0,250.0,361.19439953347285,49.16220810264349,3514.6372499875724,7764.990394265233,5.805602896216044,0.0,250,390,480,550,760,1000,1300,1600,3000,3500,3500
GET,/product/L9ECAV7KIM,7143,0,250.0,366.4681614394793,51.19862500578165,3893.2492500171065,7730.993980120397,5.945436772425979,0.0,250,390,480,550,780,1100,1400,2000,3500,3900,3900
GET,/product/LS4PSXUNUM,7238,0,250.0,372.9615238017865,50.379958003759384,3537.381042027846,7729.47582205029,6.024509500044692,0.0,250,400,500,570,810,1100,1400,1900,3300,3500,3500
GET,/product/OLJCESPC7Z,7123,0,250.0,363.7828294787071,50.105375004932284,3603.855999885127,7763.302260283588,5.928789882400987,0.0,250,400,500,560,760,1100,1300,1700,3100,3600,3600
POST,/setCurrency,4832,0,380.0,501.15890747332475,81.17029117420316,3803.861540975049,10285.125620860927,4.021888630038125,0.0,380,530,670,770,1100,1400,1800,2000,3500,3800,3800
,Aggregated,108817,0,290.0,415.12226100251195,47.34624992124736,6417.500749928877,10190.6251045333,90.57323159247903,0.0,290,440,560,640,900,1200,1600,2000,3400,4300,6400
