Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782291676,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782291677,10,,Aggregated,0.000000,0.000000,180,190,190,190,190,190,190,190,190,190,190,20,0,130.0,150.89951668633148,99.39945791848004,192.14499997906387,9099.4
1782291678,10,,Aggregated,0.000000,0.000000,180,190,190,190,190,190,190,190,190,190,190,20,0,130.0,150.89951668633148,99.39945791848004,192.14499997906387,9099.4
1782291679,10,,Aggregated,20.000000,0.000000,120,180,190,190,190,190,190,190,190,190,190,29,0,120.0,135.57052868418396,70.64291602000594,192.14499997906387,9469.931034482759
1782291680,10,,Aggregated,20.000000,0.000000,120,180,190,190,190,190,190,190,190,190,190,32,0,120.0,129.65658196480945,70.64291602000594,192.14499997906387,9302.09375
1782291681,10,,Aggregated,10.000000,0.000000,120,130,180,190,190,190,190,190,190,190,190,33,0,120.0,128.2476022077555,70.64291602000594,192.14499997906387,9221.757575757576
1782291682,10,,Aggregated,8.000000,0.000000,110,130,180,190,190,190,190,190,190,190,190,39,0,110.0,121.16794012343654,70.64291602000594,192.14499997906387,9181.128205128205
1782291683,10,,Aggregated,8.000000,0.000000,110,130,180,180,190,190,190,190,190,190,190,41,0,110.0,118.64963412375712,69.4868341088295,192.14499997906387,9111.073170731708
1782291684,10,,Aggregated,6.600000,0.000000,110,130,180,180,190,190,190,190,190,190,190,43,0,110.0,116.48569570117911,69.4868341088295,192.14499997906387,9102.744186046511
1782291685,10,,Aggregated,5.857143,0.000000,100,120,130,180,190,190,190,190,190,190,190,46,0,100.0,113.70848729173936,69.4868341088295,192.14499997906387,9010.217391304348
1782291686,10,,Aggregated,5.375000,0.000000,99,120,130,180,190,190,190,190,190,190,190,52,0,83,110.34418344766331,69.4868341088295,192.14499997906387,9005.653846153846
1782291687,10,,Aggregated,5.375000,0.000000,99,120,130,180,190,190,190,190,190,190,190,53,0,99,110.18583408275724,69.4868341088295,192.14499997906387,9141.88679245283
1782291688,10,,Aggregated,5.000000,0.000000,83,120,130,140,190,190,190,190,190,190,190,58,0,78,107.86082902682367,69.4868341088295,192.14499997906387,9189.913793103447
1782291689,10,,Aggregated,3.300000,0.000000,78,120,130,140,190,190,190,190,190,190,190,59,0,78,107.33728673924708,69.4868341088295,192.14499997906387,9164.271186440677
1782291690,10,,Aggregated,3.700000,0.000000,85,110,120,130,190,190,190,190,190,190,190,69,0,85,105.42865943136638,69.4868341088295,192.14499997906387,9190.971014492754
1782291691,10,,Aggregated,3.700000,0.000000,88,110,120,130,190,190,190,190,190,190,190,70,0,85,105.17388274227935,69.4868341088295,192.14499997906387,9154.342857142858
1782291692,10,,Aggregated,3.000000,0.000000,88,110,120,130,190,190,190,190,190,190,190,72,0,85,104.62563947334678,69.4868341088295,192.14499997906387,9148.722222222223
1782291693,10,,Aggregated,3.400000,0.000000,85,110,120,130,190,190,190,190,190,190,190,78,0,83,103.08626976807435,68.50804202258587,192.14499997906387,9256.666666666666
1782291694,10,,Aggregated,3.700000,0.000000,83,110,120,130,180,190,190,190,190,190,190,84,0,82,102.52321824719687,68.50804202258587,192.14499997906387,9312.630952380952
1782291695,10,,Aggregated,3.700000,0.000000,82,110,120,120,180,190,190,190,190,190,190,88,0,78,101.63460842820562,67.66970898024738,192.14499997906387,9324.011363636364
1782291696,10,,Aggregated,4.100000,0.000000,78,100,120,120,180,190,190,190,190,190,190,91,0,78,100.64434569973785,67.66970898024738,192.14499997906387,9270.824175824177
1782291697,10,,Aggregated,4.100000,0.000000,78,100,120,120,180,190,190,190,190,190,190,92,0,77,100.32370517222697,67.66970898024738,192.14499997906387,9254.728260869566
1782291698,10,,Aggregated,4.100000,0.000000,78,100,120,120,180,190,190,190,190,190,190,96,0,78,100.1916810006757,67.66970898024738,192.14499997906387,9332.614583333334
1782291699,10,,Aggregated,3.900000,0.000000,78,100,120,120,180,190,190,190,190,190,190,99,0,78,99.76645034145226,67.66970898024738,192.14499997906387,9308.858585858587
1782291700,10,,Aggregated,3.900000,0.000000,78,100,120,120,180,190,190,190,190,190,190,106,0,77,98.32608097733684,67.66970898024738,192.14499997906387,9232.5
1782291701,10,,Aggregated,4.100000,0.000000,78,100,120,120,180,190,190,190,190,190,190,110,0,77,98.1450503797863,67.66970898024738,192.14499997906387,9278.318181818182
1782291702,10,,Aggregated,3.700000,0.000000,78,100,120,120,150,190,190,190,190,190,190,115,0,78,97.6747452767323,67.66970898024738,192.14499997906387,9310.130434782608
1782291703,10,,Aggregated,3.700000,0.000000,78,100,120,120,150,190,190,190,190,190,190,120,0,77,97.37028054272135,67.66970898024738,192.14499997906387,9317.508333333333
1782291704,10,,Aggregated,4.100000,0.000000,77,100,120,120,140,190,190,190,190,190,190,122,0,77,96.98707307498047,67.66970898024738,192.14499997906387,9290.696721311475
1782291705,10,,Aggregated,4.200000,0.000000,77,100,110,120,140,190,190,190,190,190,190,129,0,77,96.41286369066599,67.66970898024738,192.14499997906387,9275.131782945737
1782291706,10,,Aggregated,3.600000,0.000000,77,100,110,120,140,190,190,190,190,190,190,131,0,77,96.08500317549546,67.66970898024738,192.14499997906387,9251.198473282442
1782291707,10,,Aggregated,4.100000,0.000000,76,100,110,120,140,190,190,190,190,190,190,137,0,76,95.77873722398586,67.66970898024738,192.14499997906387,9251.350364963504
1782291708,10,,Aggregated,4.100000,0.000000,77,100,110,120,140,190,190,190,190,190,190,143,0,77,95.66357573070987,67.66970898024738,192.14499997906387,9297.937062937062
1782291709,10,,Aggregated,4.200000,0.000000,76,100,110,120,140,190,190,190,190,190,190,147,0,76,95.59790785329379,67.66970898024738,192.14499997906387,9305.591836734693
1782291710,10,,Aggregated,4.200000,0.000000,77,100,110,120,140,190,190,190,190,190,190,148,0,76,95.46978263077452,67.66970898024738,192.14499997906387,9295.202702702703
1782291711,10,,Aggregated,4.500000,0.000000,76,100,110,120,140,190,190,190,190,190,190,150,0,76,95.14354997624953,67.66970898024738,192.14499997906387,9266.753333333334
1782291712,10,,Aggregated,4.500000,0.000000,76,99,110,120,140,190,190,190,190,190,190,157,0,76,94.65779881823546,67.66970898024738,192.14499997906387,9268.713375796178
1782291713,10,,Aggregated,4.300000,0.000000,76,99,110,120,140,190,190,190,190,190,190,160,0,76,94.42614530125866,67.66970898024738,192.14499997906387,9240.225
1782291714,10,,Aggregated,4.100000,0.000000,76,99,110,120,130,180,190,190,190,190,190,162,0,76,94.11782225921613,67.16437498107553,192.14499997906387,9237.166666666666
1782291715,10,,Aggregated,3.700000,0.000000,76,99,110,120,130,180,190,190,190,190,190,165,0,76,93.89898584252505,67.16437498107553,192.14499997906387,9269.81212121212
1782291716,10,,Aggregated,4.100000,0.000000,76,99,110,120,130,180,190,190,190,190,190,170,0,76,93.4466110131539,67.16437498107553,192.14499997906387,9274.211764705882
1782291717,10,,Aggregated,3.500000,0.000000,76,97,110,120,130,180,190,190,190,190,190,174,0,76,93.50406679581722,67.16437498107553,192.14499997906387,9325.022988505747
1782291718,10,,Aggregated,3.800000,0.000000,76,97,110,120,130,180,190,190,190,190,190,176,0,76,93.26441972966263,67.16437498107553,192.14499997906387,9307.607954545454
1782291719,10,,Aggregated,3.800000,0.000000,76,97,100,120,130,180,190,190,190,190,190,179,0,76,93.02850324899875,65.50412508659065,192.14499997906387,9337.039106145252
1782291720,10,,Aggregated,3.300000,0.000000,76,96,100,120,130,180,190,190,200,200,200,183,0,76,93.28968100290481,65.50412508659065,198.31050001084805,9301.437158469946
1782291721,10,,Aggregated,3.400000,0.000000,76,96,100,120,130,180,190,190,200,200,200,184,0,76,93.18399636717716,65.50412508659065,198.31050001084805,9292.91847826087
