Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,18845,5,140.0,185.6416663256796,39.444042020477355,6304.80099999113,10283.858211727249,4.3014178916760875,0.0011412623750798852,140,160,180,200,290,410,790,1100,2700,6200,6300
GET,/cart,55616,7,170.0,223.05771705312864,48.76491700997576,5809.3408339773305,14305.154631760644,12.69448965048858,0.0015977673251118393,170,200,220,240,340,510,940,1400,3000,4800,5800
POST,/cart,55452,20,250.0,323.0525372786205,40.97641701810062,52038.391041976865,18257.44487123999,12.65705624458596,0.004565049500319541,250,290,320,350,480,700,1100,1500,3300,7700,52000
POST,/cart/checkout,18384,3,180.0,234.89659438199433,46.36141599621624,6388.563207990956,6561.629514795474,4.196193500693722,0.0006847574250479311,180,220,240,260,350,490,860,1100,3200,5600,6400
GET,/product/0PUK6V6EV0,26590,1,120.0,182.6628522108881,63.209291954990476,5302.237541996874,7739.603083866115,6.0692333106748295,0.00022825247501597704,120,140,160,180,280,440,900,1400,2800,4200,5300
GET,/product/1YMWWN1N4O,26638,9,120.0,182.86375366756326,40.658416983205825,6361.99324997142,7759.392446880396,6.080189429475596,0.0020542722751437934,120,140,160,180,270,440,940,1400,2900,4900,6400
GET,/product/2ZYFJ3GM2N,26759,3,120.0,180.973858790246,52.51237499760464,7183.083124982659,7757.495160506745,6.10780797895253,0.0006847574250479311,120,140,160,180,270,430,880,1400,2800,5400,7200
GET,/product/66VCHSJNUP,26694,3,120.0,180.30983360461718,39.37175002647564,5449.803374998737,7724.4408855922675,6.092971568076491,0.0006847574250479311,120,140,160,180,270,440,900,1300,2800,4600,5400
GET,/product/6E92ZMYYFZ,26834,5,120.0,179.95162852220795,46.53766599949449,8441.714208980557,7713.590705820973,6.124926914578728,0.0011412623750798852,120,140,160,180,270,430,870,1300,2800,4900,8400
GET,/product/9SIQT8TOJO,26624,4,120.0,180.3665414954555,48.5398750170134,8440.089958021417,7765.2918043870195,6.076993894825373,0.0009130099000639082,120,140,160,180,270,430,880,1300,2900,5000,8400
GET,/product/L9ECAV7KIM,26861,3,120.0,179.38857266137495,46.405833039898425,8113.187250040937,7731.506459178735,6.131089731404159,0.0006847574250479311,120,140,160,180,270,430,870,1300,2700,4600,8100
GET,/product/LS4PSXUNUM,26878,0,120.0,178.20506768431594,63.54987499071285,5046.932541998103,7730.97830939802,6.134970023479431,0.0,120,140,160,180,260,410,840,1300,2700,4400,5000
GET,/product/OLJCESPC7Z,26825,7,120.0,178.306647063364,42.62383299646899,6364.446791994851,7762.427735321528,6.122872642303584,0.0015977673251118393,120,140,160,180,260,420,870,1300,2700,5000,6400
POST,/setCurrency,18748,4,190.0,247.2903078250925,101.13770799944177,6816.167666984256,10286.649455941968,4.279277401599537,0.0009130099000639082,190,210,240,260,380,540,910,1300,2800,5900,6800
,Aggregated,407748,74,150.0,211.35301984686254,39.37175002647564,52038.391041976865,10248.941694379862,93.0694901828146,0.0168906831511823,150,180,220,240,340,510,930,1400,2900,5300,52000
