Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3159,1,150.0,205.7005548023481,56.74091703258455,3100.271458970383,10269.964862298195,5.2519400787702955,0.001662532471912091,150,190,230,260,360,560,830,1100,2200,3100,3100
GET,/cart,7918,2,140.0,188.62191580711618,32.020959071815014,3129.100250080228,13831.339353372063,13.163932112599937,0.003325064943824182,140,170,200,220,290,480,870,1000,2400,3100,3100
POST,/cart,7896,8,190.0,243.1357117427448,16.97074994444847,3227.9627919197083,17986.660334346503,13.12735639821787,0.013300259775296728,190,220,250,280,360,580,990,1300,2600,3200,3200
POST,/cart/checkout,2585,1,160.0,206.4987539916301,36.731624975800514,3111.055542016402,6562.58994197292,4.297646439892755,0.001662532471912091,160,190,200,210,300,510,920,1100,3000,3100,3100
GET,/product/0PUK6V6EV0,3870,1,120.0,169.64987979188697,47.116708010435104,2880.9929999988526,7735.270542635659,6.434000666299792,0.001662532471912091,120,150,170,180,270,560,820,970,2300,2900,2900
GET,/product/1YMWWN1N4O,3858,2,120.0,165.88527748793095,35.93404102139175,3132.006124826148,7756.057024364956,6.414050276636847,0.003325064943824182,120,150,160,180,260,490,830,1000,2400,3100,3100
GET,/product/2ZYFJ3GM2N,3982,1,120.0,167.11791700678623,42.42612491361797,3034.556749975309,7753.411099949774,6.620204303153947,0.001662532471912091,120,140,170,180,260,490,860,1000,2600,3000,3000
GET,/product/66VCHSJNUP,3944,2,120.0,160.01663038300012,18.017875030636787,3218.680915888399,7719.722109533469,6.557028069221287,0.003325064943824182,120,140,160,180,250,460,770,950,2000,3200,3200
GET,/product/6E92ZMYYFZ,3943,2,120.0,164.46602293949186,27.940958039835095,3159.019124926999,7709.604615774791,6.555365536749375,0.003325064943824182,120,140,160,180,260,500,810,1000,2000,3200,3200
GET,/product/9SIQT8TOJO,3799,0,120.0,163.25065907267165,45.3338751103729,2424.231250071898,7762.1189786786,6.315960860794034,0.0,120,140,160,180,250,460,810,1000,2200,2400,2400
GET,/product/L9ECAV7KIM,3666,3,120.0,163.22228536691895,32.69741591066122,2690.633916994557,7726.310420076377,6.094844042029726,0.004987597415736273,120,140,160,180,250,480,800,990,2300,2700,2700
GET,/product/LS4PSXUNUM,3824,0,120.0,165.8139288151821,48.48483297973871,2607.930124970153,7728.629184100419,6.3575241725918366,0.0,120,150,170,180,250,460,840,1000,2100,2600,2600
GET,/product/OLJCESPC7Z,3857,1,120.0,170.66619674826563,48.39454195462167,2841.013291850686,7759.072336012445,6.412387744164935,0.001662532471912091,120,150,170,180,270,520,840,1000,2300,2800,2800
POST,/setCurrency,2702,2,160.0,211.59079069751476,16.204792074859142,2902.422707993537,10278.819763138416,4.49216273910647,0.003325064943824182,160,200,230,250,310,480,840,1000,2400,2900,2900
,Aggregated,59003,26,130.0,185.09426289510156,16.204792074859142,3227.9627919197083,10128.157330983171,98.0944034402291,0.04322584426971437,130,170,190,210,300,510,860,1100,2300,3100,3200
