Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782141164,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782141165,10,,Aggregated,0.000000,0.000000,110,580,580,580,580,580,580,580,580,580,580,22,0,95,307.7295493038202,69.02437517419457,582.3185408953577,9119.5
1782141166,10,,Aggregated,0.000000,0.000000,95,580,580,580,580,580,580,580,580,580,580,23,0,95,297.0148678160394,61.29187508486211,582.3185408953577,9055.826086956522
1782141167,10,,Aggregated,0.000000,0.000000,95,570,580,580,580,580,580,580,580,580,580,25,0,95,281.01216671057045,61.29187508486211,582.3185408953577,9288.72
1782141168,10,,Aggregated,11.000000,0.000000,95,560,580,580,580,580,580,580,580,580,580,29,0,95,253.98311640360745,60.90908404439688,582.3185408953577,9208.137931034482
1782141169,10,,Aggregated,7.666667,0.000000,92,110,570,580,580,580,580,580,580,580,580,35,0,92,223.73815482881452,59.731250163167715,582.3185408953577,9160.857142857143
1782141170,10,,Aggregated,6.500000,0.000000,91,100,560,580,580,580,580,580,580,580,580,40,0,88,205.19831673591398,57.94033408164978,582.3185408953577,9191.225
1782141171,10,,Aggregated,5.800000,0.000000,88,100,140,570,580,580,580,580,580,580,580,43,0,88,197.23554561997568,57.94033408164978,582.3185408953577,9317.837209302326
1782141172,10,,Aggregated,6.000000,0.000000,83,100,110,560,580,580,580,580,580,580,580,47,0,83,185.5781374776617,55.736874928697944,582.3185408953577,9156.95744680851
1782141173,10,,Aggregated,5.857143,0.000000,83,98,110,560,580,580,580,580,580,580,580,49,0,83,180.91568882501096,55.736874928697944,582.3185408953577,9098.204081632653
1782141174,10,,Aggregated,5.375000,0.000000,81,95,110,140,580,580,580,580,580,580,580,52,0,78,174.0996819526817,55.736874928697944,582.3185408953577,9017.211538461539
1782141175,10,,Aggregated,5.222222,0.000000,78,94,110,120,580,580,580,580,580,580,580,57,0,78,166.10862650058903,55.736874928697944,582.3185408953577,9120.473684210527
1782141176,10,,Aggregated,5.000000,0.000000,78,94,110,140,580,580,580,580,580,580,580,60,0,78,162.8082687733695,55.736874928697944,582.3185408953577,9190.683333333332
1782141177,10,,Aggregated,5.200000,0.000000,78,94,110,120,580,580,580,580,580,580,580,63,0,78,158.6690634962112,55.736874928697944,582.3185408953577,9280.555555555555
1782141178,10,,Aggregated,3.500000,0.000000,78,94,110,110,580,580,580,580,580,580,580,66,0,76,154.94092992704475,55.736874928697944,582.3185408953577,9245.969696969696
1782141179,10,,Aggregated,3.900000,0.000000,76,94,110,110,580,580,580,580,580,580,580,70,0,75,150.47021012620203,55.736874928697944,582.3185408953577,9300.485714285714
1782141180,10,,Aggregated,3.700000,0.000000,78,94,110,110,580,580,580,580,580,580,580,74,0,76,147.4738643013847,55.736874928697944,582.3185408953577,9335.243243243243
1782141181,10,,Aggregated,4.000000,0.000000,81,98,120,150,580,580,580,580,580,580,580,80,0,78,149.06511768931523,55.736874928697944,582.3185408953577,9412.55
1782141182,10,,Aggregated,3.500000,0.000000,83,100,140,150,570,580,580,580,580,580,580,85,0,83,148.1062112513053,55.736874928697944,582.3185408953577,9516.070588235294
1782141183,10,,Aggregated,3.300000,0.000000,83,100,140,150,570,580,580,580,580,580,580,86,0,83,147.49092585407197,55.736874928697944,582.3185408953577,9494.988372093023
1782141184,10,,Aggregated,3.800000,0.000000,88,110,150,180,560,580,580,580,580,580,580,91,0,88,151.97786810592964,55.736874928697944,582.3185408953577,9426.285714285714
1782141185,10,,Aggregated,3.800000,0.000000,92,110,150,180,560,580,580,580,580,580,580,98,0,91,149.94833966698118,55.736874928697944,582.3185408953577,9568.765306122448
1782141186,10,,Aggregated,3.700000,0.000000,93,110,150,180,260,580,580,580,580,580,580,102,0,92,148.25210821193954,55.736874928697944,582.3185408953577,9606.892156862745
1782141187,10,,Aggregated,3.700000,0.000000,92,110,150,180,260,580,580,580,580,580,580,104,0,91,146.6395183905171,55.736874928697944,582.3185408953577,9570.913461538461
