Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14864,0,110.0,187.13830678917608,54.68575000122655,4940.813292007078,10282.777516146394,4.95375316976905,0.0,110,150,180,220,320,520,960,1400,3000,4400,4900
GET,/cart,42956,0,130.0,201.5487356163218,50.973541001440026,8369.889499997953,14195.029239221529,14.316026719631278,0.0,130,160,190,220,330,520,1000,1600,3500,5200,8400
POST,/cart,43458,0,180.0,276.2809967661601,87.04554100404494,8577.40266599285,18206.175410741405,14.483329201548937,0.0,180,230,280,320,460,690,1200,1800,4300,6400,8600
POST,/cart/checkout,14608,0,130.0,184.2973873026419,69.5016669924371,4852.854458004003,6561.373562431544,4.868435569428572,0.0,130,160,190,220,310,420,760,1100,2000,3600,4900
GET,/product/0PUK6V6EV0,20723,0,95,157.8494259804157,53.40679099026602,5008.581874993979,7738.049268928244,6.906393093186493,0.0,95,120,150,170,270,420,840,1200,2300,4300,5000
GET,/product/1YMWWN1N4O,20897,0,95,158.4444744569965,53.96158300573006,5080.865457988693,7760.218452409436,6.964382399667912,0.0,95,120,150,170,270,430,850,1200,2900,4600,5100
GET,/product/2ZYFJ3GM2N,21092,0,95,160.18578704213212,52.68308299127966,4436.310291988775,7756.302199886213,7.029370415552261,0.0,95,120,150,170,270,430,880,1200,2600,3600,4400
GET,/product/66VCHSJNUP,20954,0,94,156.97110817681516,52.83749999944121,4323.677041000337,7723.5627565142695,6.983378896618722,0.0,94,120,150,170,270,420,850,1200,2400,3500,4300
GET,/product/6E92ZMYYFZ,20987,0,95,158.30055988373718,51.97433300781995,5484.472665993962,7712.473817124886,6.9943768685376115,0.0,95,120,150,170,260,430,860,1200,2500,4300,5500
GET,/product/9SIQT8TOJO,21057,0,94,157.2835358886873,53.68208300205879,5223.536334000528,7763.7001472194515,7.017705899880712,0.0,94,120,150,170,260,420,870,1200,2300,3500,5200
GET,/product/L9ECAV7KIM,20979,0,95,156.96201528426002,53.30783300451003,5303.775125008542,7730.253157919825,6.991710693526971,0.0,95,120,150,170,260,410,850,1200,2600,4200,5300
GET,/product/LS4PSXUNUM,20786,0,95,157.9144418858645,52.41866699361708,4865.228499998921,7729.301116135861,6.927389221395282,0.0,95,120,150,170,270,410,830,1200,2800,4400,4900
GET,/product/OLJCESPC7Z,21124,0,95,156.67817656460838,51.55037500662729,5006.981375001487,7762.642681310358,7.040035115594821,0.0,95,120,150,170,270,400,840,1200,2600,4000,5000
POST,/setCurrency,14546,0,150.0,234.3767473968,79.57899999746587,9685.734875005437,10284.857417846832,4.847772713096112,0.0,150,180,220,260,380,610,1100,1800,3700,4700,9700
,Aggregated,319031,0,120.0,185.9271640415492,50.973541001440026,9685.734875005437,10216.472671934702,106.32405997743473,0.0,120,150,180,210,320,500,930,1300,3300,4900,9700
