Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1863,0,240.0,370.352676520045,65.66058300086297,7616.68366700178,10259.992485238861,6.190277710095995,0.0,240,350,440,490,770,1000,1600,1900,4100,7600,7600
GET,/cart,4234,0,210.0,277.78655797531337,61.54166700434871,4132.825291992049,13098.939537080774,14.068510909579413,0.0,210,270,320,360,500,710,1000,1200,2300,4100,4100
POST,/cart,4144,0,310.0,400.49540722362696,103.78812499402557,3962.995291003608,17734.0263030888,13.769463677207625,0.0,310,390,460,520,720,980,1400,1800,2600,4000,4000
POST,/cart/checkout,1397,0,230.0,292.3734909592124,79.0957499993965,2110.550833007437,6560.889763779527,4.641877595815409,0.0,230,290,330,370,470,710,990,1200,1900,2100,2100
GET,/product/0PUK6V6EV0,1995,0,170.0,236.4609530103687,60.891542001627386,4051.1343750113156,7730.178947368421,6.628880317574617,0.0,170,210,250,280,400,590,970,1200,4000,4100,4100
GET,/product/1YMWWN1N4O,2067,0,170.0,241.7512471534483,60.96354099281598,4000.629000001936,7751.608127721335,6.868118103472047,0.0,170,220,260,280,430,660,980,1200,3800,4000,4000
GET,/product/2ZYFJ3GM2N,1951,0,170.0,235.10984737228358,62.00270800036378,4052.7566249947995,7750.154279856484,6.482679448415077,0.0,170,210,250,280,420,620,980,1200,4000,4100,4100
GET,/product/66VCHSJNUP,2028,0,170.0,244.15619662947267,63.38212499395013,7581.981833005557,7716.843688362919,6.738530969444272,0.0,170,220,260,290,420,650,980,1200,3800,7600,7600
GET,/product/6E92ZMYYFZ,1997,0,170.0,252.0680694787902,58.96266701165587,4240.718291999656,7706.611417125689,6.635525811627323,0.0,170,220,270,300,430,660,1000,1400,4000,4200,4200
GET,/product/9SIQT8TOJO,2043,0,170.0,240.68924726271047,58.82500000006985,4009.492750003119,7757.175232501224,6.78837217483957,0.0,170,220,260,290,420,650,940,1300,2700,4000,4000
GET,/product/L9ECAV7KIM,2017,0,170.0,245.97858153798433,62.67783300427254,4024.5672919991193,7721.966782350025,6.7019807521543875,0.0,170,220,260,290,450,730,980,1200,2100,4000,4000
GET,/product/LS4PSXUNUM,2035,0,170.0,237.19598253981093,58.66020800021943,4026.3767080032267,7720.49484029484,6.761790198628745,0.0,170,220,260,280,410,590,950,1300,4000,4000,4000
GET,/product/OLJCESPC7Z,2027,0,170.0,243.83730193652093,59.691916991141625,7938.427792003495,7754.829304390725,6.735208222417919,0.0,170,220,260,290,420,620,960,1200,4200,7900,7900
POST,/setCurrency,1319,0,240.0,321.65529820091007,95.83158300665673,2609.593000001041,10278.551175132676,4.3827033277598595,0.0,240,310,380,430,590,770,1100,1200,2300,2600,2600
,Aggregated,31117,0,200.0,281.25988382647887,58.66020800021943,7938.427792003495,10002.445897740785,103.39391921903226,0.0,200,260,310,360,520,760,1100,1400,3800,7500,7900
