Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1596,0,370.0,563.4333999443884,67.05491700267885,4131.553166007507,10257.799498746866,6.105771890503,0.0,370,530,670,790,1300,1700,2600,3000,3700,4100,4100
GET,/cart,3197,0,230.0,316.47863639936287,57.18291700759437,3219.9853339989204,13308.844228964654,12.230672139058955,0.0,230,310,390,450,620,810,1300,1600,2600,3200,3200
POST,/cart,3161,0,310.0,394.5225564987304,98.68991700932384,2426.8531660054578,17804.65643783613,12.092947961077684,0.0,310,420,510,570,750,940,1200,1500,2400,2400,2400
POST,/cart/checkout,972,0,220.0,289.5828495782126,76.35954199940898,1980.1985829981277,6560.649176954733,3.7185528054943084,0.0,220,300,360,390,570,700,960,1100,2000,2000,2000
GET,/product/0PUK6V6EV0,1529,0,170.0,251.62300526602002,59.871499994187616,2564.2499169916846,7735.24395029431,5.849451892593413,0.0,170,250,310,340,500,630,960,1300,2500,2600,2600
GET,/product/1YMWWN1N4O,1511,0,170.0,258.82152702530243,59.43908399785869,2736.3157920044614,7754.686962276638,5.780589803602777,0.0,170,250,310,350,510,680,1100,1500,2700,2700,2700
GET,/product/2ZYFJ3GM2N,1502,0,170.0,251.10309920425829,59.21074999787379,4224.318874999881,7751.984687083888,5.74615875910746,0.0,170,240,300,340,490,650,1100,1400,3300,4200,4200
GET,/product/66VCHSJNUP,1551,0,170.0,246.5842232910451,59.70895900100004,2079.6588330122177,7717.985170857512,5.933616668026412,0.0,170,240,290,330,480,680,1000,1500,1900,2100,2100
GET,/product/6E92ZMYYFZ,1554,0,170.0,243.175794687206,60.32854200748261,2620.6251249968773,7707.4851994852,5.945093682858184,0.0,170,250,300,330,480,600,820,1400,2500,2600,2600
GET,/product/9SIQT8TOJO,1525,0,170.0,249.08583388061714,60.68041600519791,2861.4185829937924,7760.027540983607,5.834149206151049,0.0,170,250,290,340,490,640,970,1300,2800,2900,2900
GET,/product/L9ECAV7KIM,1551,0,170.0,249.73843991111877,59.853541009943,2785.128834002535,7726.495164410058,5.933616668026412,0.0,170,240,300,340,480,680,1000,1200,2700,2800,2800
GET,/product/LS4PSXUNUM,1517,0,170.0,248.17559080017568,59.50149999989662,2665.65554200497,7722.950560316414,5.803543833266323,0.0,170,250,290,340,480,660,1000,1400,2400,2700,2700
GET,/product/OLJCESPC7Z,1538,0,180.0,261.9068290075388,60.07362500531599,2762.3279169929447,7755.603381014304,5.883882937088731,0.0,180,250,310,360,540,720,1100,1400,2200,2800,2800
POST,/setCurrency,1071,0,310.0,440.09998141002933,96.29316700738855,3543.319167001755,10281.084033613446,4.097294294942802,0.0,310,430,510,580,900,1400,1900,2300,3100,3500,3500
,Aggregated,23775,0,210.0,310.02059649801504,57.18291700759437,4224.318874999881,10060.400925341746,90.9553425417975,0.0,210,300,370,430,610,840,1300,1700,3000,3700,4200
