Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1865,0,370.0,473.07222440361136,70.84158300131094,2874.136416998226,10258.973726541555,6.202322560497242,0.0,370,530,650,720,900,1100,1500,1800,2800,2900,2900
GET,/cart,4137,0,260.0,340.37273668205097,60.8086669963086,4016.6386250057258,12949.067923616147,13.758181465296028,0.0,260,340,410,460,650,900,1200,1400,3100,4000,4000
POST,/cart,3997,0,400.0,493.4402652301562,103.23775000870228,4663.242541995714,17708.401300975733,13.292591567993286,0.0,400,500,570,640,890,1300,1700,2100,4300,4700,4700
POST,/cart/checkout,1360,0,270.0,339.6938007559049,82.1640420035692,3243.791542001418,6561.618382352941,4.52287328808378,0.0,270,320,370,410,660,930,1200,1400,3200,3200,3200
GET,/product/0PUK6V6EV0,2017,0,220.0,285.83016555223054,59.044458001153544,2640.508708995185,7732.36737729301,6.707820163283077,0.0,220,280,330,370,550,780,1100,1200,2100,2600,2600
GET,/product/1YMWWN1N4O,1965,0,220.0,284.22815013363925,62.01291699835565,2934.041624990641,7754.291094147583,6.534886772856344,0.0,220,280,340,380,540,760,980,1100,2400,2900,2900
GET,/product/2ZYFJ3GM2N,1877,0,220.0,280.9247148359468,60.87691700668074,3044.4125829963014,7746.744272775706,6.242230265980335,0.0,220,280,330,370,530,760,1000,1200,2800,3000,3000
GET,/product/66VCHSJNUP,1866,0,230.0,292.6944418953363,61.86812500527594,3289.6077080076793,7717.023043944266,6.205648202620833,0.0,230,280,340,380,560,800,1000,1200,3100,3300,3300
GET,/product/6E92ZMYYFZ,1942,0,220.0,294.58664730342593,61.19741599832196,2903.370833999361,7705.661174047374,6.45839700401375,0.0,220,290,340,390,600,800,1000,1200,2800,2900,2900
GET,/product/9SIQT8TOJO,1881,0,220.0,283.94398026748166,62.768582996795885,3411.7804580018856,7758.193514088251,6.255532834474699,0.0,220,280,330,380,540,730,990,1100,3200,3400,3400
GET,/product/L9ECAV7KIM,1932,0,220.0,283.24156116137624,63.71400000352878,3005.177166996873,7725.5678053830225,6.42514058277784,0.0,220,280,330,380,550,780,970,1100,2600,3000,3000
GET,/product/LS4PSXUNUM,1978,0,230.0,291.39959942081714,61.61033299576957,2885.886624993873,7720.570273003033,6.578120120463027,0.0,230,290,340,380,570,800,1100,1200,2900,2900,2900
GET,/product/OLJCESPC7Z,1998,0,220.0,278.671105007205,62.31987499631941,2654.8407090012915,7757.574574574574,6.644632962934847,0.0,220,290,330,360,530,720,980,1100,2700,2700,2700
POST,/setCurrency,1433,0,330.0,453.9020052275759,94.87283299677074,3342.154833007953,10277.413817166784,4.765645163105924,0.0,330,460,580,670,900,1200,1500,1600,3100,3300,3300
,Aggregated,30248,0,250.0,342.83855916538613,59.044458001153544,4663.242541995714,9989.53124173499,100.594022954381,0.0,250,340,410,470,690,900,1200,1500,3100,4300,4700
