Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15326,0,120.0,162.89613651916054,57.6097079901956,6177.767249988392,10282.460002609943,5.107489489062465,0.0,120,150,180,200,270,350,560,840,1900,2600,6200
GET,/cart,43459,3,140.0,189.3895078839579,38.16441699746065,3596.9682919967454,14237.022135806163,14.482995282863477,0.0009997695724381702,140,180,210,230,310,410,700,1000,2100,3100,3600
POST,/cart,43416,5,210.0,260.1127347964854,55.74095799238421,3908.492500006105,18217.707642343838,14.468665252325197,0.0016662826207302834,210,250,290,320,420,550,860,1100,2300,3700,3900
POST,/cart/checkout,14702,0,140.0,182.40678112286392,67.8774170082761,3036.6725830099313,6561.427696911985,4.899537417995326,0.0,140,170,200,220,290,370,600,910,2000,3000,3000
GET,/product/0PUK6V6EV0,20962,1,110.0,156.63419281957715,53.382957994472235,3073.544083003071,7738.13419521038,6.9857232591496405,0.00033325652414605667,110,140,170,190,260,360,670,960,1900,2900,3100
GET,/product/1YMWWN1N4O,20893,1,110.0,156.0562106418671,53.44291700748727,3250.34520799818,7760.253099124108,6.962728558983563,0.00033325652414605667,110,140,170,190,260,350,650,950,1900,2600,3300
GET,/product/2ZYFJ3GM2N,21222,0,110.0,155.7864323945458,52.583541997591965,3628.586875012843,7756.746960701159,7.072369955427615,0.0,110,140,170,180,250,350,680,920,2000,3400,3600
GET,/product/66VCHSJNUP,20982,0,110.0,155.10543067008342,53.64554199331906,3529.5418750029057,7723.297350109618,6.992388389632562,0.0,110,140,170,180,250,350,650,960,2000,2600,3500
GET,/product/6E92ZMYYFZ,20881,0,110.0,153.228177495376,52.518250013235956,3481.532292003976,7712.591398879364,6.95872948069381,0.0,110,140,160,180,250,340,640,900,1800,2800,3500
GET,/product/9SIQT8TOJO,21000,0,110.0,154.66542489329774,53.20191699138377,2924.4043749931734,7764.559904761904,6.9983870070671905,0.0,110,140,170,180,250,340,670,940,1900,2600,2900
GET,/product/L9ECAV7KIM,20764,2,110.0,155.07546920029864,53.29937499482185,3574.8794579994865,7730.758765170487,6.919738467368721,0.0006665130482921133,110,140,170,180,260,350,650,930,1800,3400,3600
GET,/product/LS4PSXUNUM,20867,0,110.0,155.91672945927647,53.57200000435114,3539.4825830007903,7729.541285282983,6.954063889355765,0.0,110,140,170,180,260,350,660,910,2000,2800,3500
GET,/product/OLJCESPC7Z,20940,0,110.0,157.71482556763019,53.659208002500236,3227.0552089903504,7762.435864374403,6.978391615618428,0.0,110,140,170,190,260,360,690,960,2100,3200,3200
POST,/setCurrency,14592,1,160.0,203.11525881643408,82.47641701018438,2911.9442920055008,10285.364788925439,4.862879200339259,0.00033325652414605667,160,190,220,240,340,440,670,860,1700,2900,2900
,Aggregated,320006,13,130.0,178.10238936773786,38.16441699746065,6177.767249988392,10228.786710249184,106.64408726588302,0.004332334813898737,130,170,200,220,300,410,700,970,2000,3100,6200
