Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/product/1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /product/1YMWWN1N4O'),1,2026-09-01T02:16:24Z,2026-09-01T02:16:24Z
GET,/product/L9ECAV7KIM,HTTPError('503 Server Error: Service Unavailable for url: /product/L9ECAV7KIM'),5,2026-09-01T01:48:49Z,2026-09-01T02:25:24Z
POST,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),3,2026-09-01T01:59:36Z,2026-09-01T02:23:40Z
GET,/product/66VCHSJNUP,HTTPError('500 Server Error: Internal Server Error for url: /product/66VCHSJNUP'),1,2026-09-01T02:08:23Z,2026-09-01T02:08:23Z
GET,/product/1YMWWN1N4O,HTTPError('503 Server Error: Service Unavailable for url: /product/1YMWWN1N4O'),3,2026-09-01T01:49:34Z,2026-09-01T02:07:22Z
GET,/product/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /product/66VCHSJNUP'),3,2026-09-01T01:59:21Z,2026-09-01T02:07:22Z
POST,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),11,2026-09-01T01:57:35Z,2026-09-01T02:32:39Z
GET,/product/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /product/LS4PSXUNUM'),6,2026-09-01T01:49:34Z,2026-09-01T02:25:24Z
POST,/setCurrency,HTTPError('503 Server Error: Service Unavailable for url: /setCurrency'),5,2026-09-01T01:50:49Z,2026-09-01T02:25:24Z
GET,/product/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /product/OLJCESPC7Z'),3,2026-09-01T02:07:22Z,2026-09-01T02:32:39Z
GET,/product/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /product/0PUK6V6EV0'),2,2026-09-01T01:58:35Z,2026-09-01T02:25:24Z
POST,/cart/checkout,HTTPError('503 Server Error: Service Unavailable for url: /cart/checkout'),3,2026-09-01T02:07:22Z,2026-09-01T02:16:08Z
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),2,2026-09-01T02:24:39Z,2026-09-01T02:25:24Z
POST,/setCurrency,HTTPError('500 Server Error: Internal Server Error for url: /setCurrency'),1,2026-09-01T01:42:33Z,2026-09-01T01:42:33Z
GET,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),8,2026-09-01T01:59:21Z,2026-09-01T02:32:24Z
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),3,2026-09-01T01:49:35Z,2026-09-01T02:16:24Z
GET,/product/2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /product/2ZYFJ3GM2N'),2,2026-09-01T01:49:35Z,2026-09-01T02:23:39Z
POST,/cart,ChunkedEncodingError(ProtocolError('Response ended prematurely')),1,2026-09-01T02:14:38Z,2026-09-01T02:14:38Z
GET,/product/6E92ZMYYFZ,HTTPError('503 Server Error: Service Unavailable for url: /product/6E92ZMYYFZ'),1,2026-09-01T02:07:22Z,2026-09-01T02:07:22Z
