Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1099,0,220.0,1412.0242472701377,62.08816700382158,7368.650040996727,10256.171974522293,6.0674672054111225,0.0,220,480,950,4200,5600,6300,6700,6800,7400,7400,7400
GET,/cart,2198,0,130.0,246.68024330337644,49.47004100540653,2945.589958981145,12739.001819836214,12.134934410822245,0.0,130,170,190,220,480,1000,1800,2200,2800,2900,2900
POST,/cart,2300,0,190.0,297.8497382131678,83.1531670410186,3128.4975000307895,17626.71695652174,12.69806603498233,0.0,190,240,280,320,490,910,1700,2200,3000,3100,3100
POST,/cart/checkout,793,0,180.0,249.7303937002488,80.75091702630743,3096.5440830332227,6562.733921815889,4.378072332930865,0.0,180,210,240,260,340,590,1300,2200,3100,3100,3100
GET,/product/0PUK6V6EV0,1112,0,140.0,269.9225938876022,50.745915970765054,2881.4443329465576,7706.711330935252,6.139238883000153,0.0,140,180,210,250,480,1200,1900,2500,2700,2900,2900
GET,/product/1YMWWN1N4O,1111,0,140.0,264.3574455386329,50.956209015566856,3001.790374983102,7729.099909991,6.133717984724074,0.0,140,180,220,250,480,1000,1900,2500,2800,3000,3000
GET,/product/2ZYFJ3GM2N,1087,0,140.0,278.74042243117776,52.93408303987235,2841.0744160064496,7724.2345906163755,6.001216426098171,0.0,140,180,210,250,550,1200,2100,2600,2800,2800,2800
GET,/product/66VCHSJNUP,1025,0,140.0,259.64616634695585,50.43504200875759,3045.0632499996573,7694.169756097561,5.658920732981256,0.0,140,180,220,250,470,900,1900,2600,3000,3000,3000
GET,/product/6E92ZMYYFZ,1067,0,150.0,275.15661612860276,51.560666994191706,2903.4396670176648,7680.8650421743205,5.890798460576585,0.0,150,190,220,250,510,1100,1900,2500,2800,2900,2900
GET,/product/9SIQT8TOJO,1082,0,140.0,263.4307941454252,51.50250002043322,2936.279125045985,7734.691312384473,5.973611934717774,0.0,140,180,210,240,490,1000,1800,2600,2800,2900,2900
GET,/product/L9ECAV7KIM,1121,0,140.0,267.3581748861545,49.47712499415502,2924.0403750445694,7697.7832292595895,6.188926967484866,0.0,140,170,210,240,510,1100,1900,2300,2900,2900,2900
GET,/product/LS4PSXUNUM,1173,0,140.0,259.4153248187502,50.61087501235306,2843.350541952532,7698.325660699063,6.476013677840989,0.0,140,180,210,240,440,1100,2000,2500,2700,2800,2800
GET,/product/OLJCESPC7Z,1134,0,140.0,253.09067936615182,50.79104198375717,2954.084624943789,7731.611992945326,6.260698645073897,0.0,140,180,220,250,490,970,1700,2100,2900,3000,3000
POST,/setCurrency,723,0,180.0,308.9072947338208,77.90458301315084,6065.002291987184,10281.461964038728,3.991609453605315,0.0,180,220,250,300,610,890,2000,2500,6100,6100,6100
,Aggregated,17025,0,150.0,342.6175243429173,49.47004100540653,7368.650040996727,9919.655271659325,93.99329315024964,0.0,150,200,240,280,580,1300,2600,4900,6800,7400,7400
