Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,156,0,470.0,642.5504690052595,67.28550000116229,1935.7472920091823,10219.044871794871,11.104044591625385,0.0,480,730,840,920,1400,1700,1800,1900,1900,1900,1900
GET,/cart,91,0,110.0,137.92845012126287,53.41983295511454,956.1860419926234,8334.054945054944,6.477359345114808,0.0,110,140,160,180,210,280,370,960,960,960,960
POST,/cart,77,0,160.0,184.53918554814072,93.1248749839142,701.1603330029175,16385.68831168831,5.480842522789453,0.0,160,180,200,210,280,390,460,700,700,700,700
POST,/cart/checkout,23,5,120.0,304.93736965328696,23.9837080007419,1326.550750003662,6117.260869565217,1.637134779534512,0.3558988651161982,120,220,270,290,1000,1200,1300,1300,1300,1300,1300
GET,/product/0PUK6V6EV0,39,0,100.0,135.76980874700567,56.19804101297632,628.8034159806557,7697.846153846154,2.7760111479063463,0.0,100,120,170,180,230,270,630,630,630,630,630
GET,/product/1YMWWN1N4O,37,0,110.0,164.75520947966976,54.92816696641967,821.7418340500444,7714.4324324324325,2.633651601859867,0.0,110,150,190,210,240,800,820,820,820,820,820
GET,/product/2ZYFJ3GM2N,38,0,120.0,145.68818968530795,57.38337500952184,379.9265419947915,7706.289473684211,2.7048313748831068,0.0,120,160,180,210,290,340,380,380,380,380,380
GET,/product/66VCHSJNUP,39,0,110.0,138.21307471983184,53.58645902015269,394.6850830106996,7664.51282051282,2.7760111479063463,0.0,110,150,160,200,270,300,390,390,390,390,390
GET,/product/6E92ZMYYFZ,41,0,110.0,144.39626829414743,54.78416703408584,961.1443750327453,7662.829268292683,2.918370693952826,0.0,110,130,150,170,190,260,960,960,960,960,960
GET,/product/9SIQT8TOJO,39,0,110.0,132.84748617876082,55.41666701901704,368.14495897851884,7715.384615384615,2.7760111479063463,0.0,110,130,170,200,260,310,370,370,370,370,370
GET,/product/L9ECAV7KIM,46,0,100.0,129.70799726115175,55.90979102998972,423.96037495927885,7678.804347826087,3.274269559069024,0.0,100,130,160,180,240,260,420,420,420,420,420
GET,/product/LS4PSXUNUM,41,0,120.0,149.9671666831823,55.62800000188872,466.8715419829823,7681.512195121952,2.918370693952826,0.0,120,150,200,210,270,290,470,470,470,470,470
GET,/product/OLJCESPC7Z,42,0,110.0,127.39444643375464,56.7251670290716,424.0648749982938,7731.738095238095,2.9895504669760653,0.0,110,140,160,160,210,240,420,420,420,420,420
POST,/setCurrency,25,0,150.0,260.09697663830593,92.35895797610283,1729.9981670221314,10240.6,1.7794943255809912,0.0,150,200,260,340,390,800,1700,1700,1700,1700,1700
,Aggregated,734,5,150.0,260.7620942293113,23.9837080007419,1935.7472920091823,9259.347411444141,52.2459533990579,0.3558988651161982,150,200,270,320,630,930,1400,1700,1900,1900,1900
