Method,Name,Error,Occurrences
GET,/product/1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /product/1YMWWN1N4O'),1
GET,/product/L9ECAV7KIM,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",3
GET,/product/OLJCESPC7Z,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",1
POST,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),2
GET,/product/66VCHSJNUP,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",1
GET,/product/1YMWWN1N4O,HTTPError('503 Server Error: Service Unavailable for url: /product/1YMWWN1N4O'),2
POST,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),4
GET,/product/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /product/LS4PSXUNUM'),2
GET,/product/9SIQT8TOJO,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",3
POST,/setCurrency,HTTPError('503 Server Error: Service Unavailable for url: /setCurrency'),3
GET,/product/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /product/OLJCESPC7Z'),2
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),1
GET,/product/0PUK6V6EV0,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",2
GET,/product/2ZYFJ3GM2N,HTTPError('503 Server Error: Service Unavailable for url: /product/2ZYFJ3GM2N'),4
GET,/product/LS4PSXUNUM,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",4
GET,/cart,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",3
GET,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),3
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),2
POST,/cart,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",1
GET,/product/6E92ZMYYFZ,HTTPError('503 Server Error: Service Unavailable for url: /product/6E92ZMYYFZ'),2
GET,/product/2ZYFJ3GM2N,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",1
GET,/,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='3.10.173.127', port=30341): Read timed out. (read timeout=None)""))",1
