Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1563,0,160,255.18973253000593,92.59920916520059,3381.9834999740124,10272.247600767754,2.2198419682449044,0.0,160,190,250,330,530,790,1100,1200,3000,3400,3400
GET,/cart,3962,0,190,215.2282093635256,86.12462505698204,3031.4534169156104,13890.728167592126,5.627008239402631,0.0,190,210,220,240,300,450,710,840,1500,3000,3000
POST,/cart,3922,0,230,287.0415897290391,150.85662505589426,4169.083832995966,18106.009688934217,5.570198464143644,0.0,230,260,280,300,380,530,980,1300,3700,4200,4200
POST,/cart/checkout,1278,0,170,206.61677837212233,106.1145409476012,4399.519291939214,6562.833333333333,1.8150723195246246,0.0,170,190,210,220,270,370,580,920,3100,4400,4400
GET,/product/0PUK6V6EV0,1893,0,130,164.4766504533896,85.92254179529846,1362.5562919769436,7736.753301637612,2.6885226141315446,0.0,130,140,160,170,220,340,660,900,1300,1400,1400
GET,/product/1YMWWN1N4O,1973,0,130,170.41156227094794,85.87320800870657,2523.287249961868,7758.938672072985,2.802142164649518,0.0,130,150,160,180,240,360,600,900,2500,2500,2500
GET,/product/2ZYFJ3GM2N,1919,0,130,169.17643004117429,88.36850011721253,3525.653458898887,7753.4069828035435,2.725448968049886,0.0,130,140,160,170,210,330,650,910,3200,3500,3500
GET,/product/66VCHSJNUP,1872,0,130,166.663762482115,87.94504194520414,2742.068582912907,7721.957264957265,2.658697482120577,0.0,130,140,160,170,220,350,630,880,2500,2700,2700
GET,/product/6E92ZMYYFZ,1826,0,130,175.72019915433086,85.03891620784998,3836.89295896329,7710.606243154436,2.593366240572742,0.0,130,140,160,170,230,360,730,980,3700,3800,3800
GET,/product/9SIQT8TOJO,1961,0,130,168.5878476942474,87.44870801456273,3283.0725419335067,7763.474247832738,2.785099232071822,0.0,130,140,160,170,220,330,690,1000,2500,3300,3300
GET,/product/L9ECAV7KIM,1850,0,130,168.95934489719266,85.73912503197789,1845.9792921785265,7731.031891891892,2.627452105728134,0.0,130,140,160,170,220,350,720,1000,1800,1800,1800
GET,/product/LS4PSXUNUM,1863,0,130,168.03543145257942,88.90408393926919,3942.17170891352,7728.850241545893,2.6459152826873047,0.0,130,140,160,170,230,330,620,970,3300,3900,3900
GET,/product/OLJCESPC7Z,1862,0,130,169.70300637000508,88.83829205296934,2479.0634580422193,7760.448979591837,2.64449503830583,0.0,130,150,160,180,230,340,680,910,1800,2500,2500
POST,/setCurrency,1332,0,200,245.82407352662793,152.5840419344604,3768.5822499915957,10284.695945945947,1.8917655161242566,0.0,200,220,240,260,310,410,700,980,3600,3800,3800
,Aggregated,29076,0,150,201.06496192882577,85.03891620784998,4399.519291939214,10177.884819094787,41.29502563575742,0.0,150,190,210,230,290,440,750,1000,2600,4100,4400
