Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20780,2,120.0,168.2362505618251,41.81554200476967,5303.245916002197,10277.439412897016,4.946972024073182,0.00047612820250944967,120,150,170,190,290,400,660,930,2000,3400,5300
GET,/cart,57845,4,130.0,173.06090318821944,37.68333401239943,3899.2416669934755,14114.47556400726,13.770817937079558,0.0009522564050188993,130,160,170,190,260,370,740,1000,2100,3000,3900
POST,/cart,57413,8,190.0,236.07631282005823,30.771958990953863,4456.958292008494,18137.965077595665,13.667974245337517,0.0019045128100377987,190,210,240,260,350,500,870,1100,2300,3300,4500
POST,/cart/checkout,19240,0,140.0,184.4702348246259,76.9616670004325,3198.0642910057213,6561.549168399169,4.580353308140906,0.0,140,170,190,200,260,350,730,1000,2200,3100,3200
GET,/product/0PUK6V6EV0,27489,0,100.0,140.4815764770145,55.2702079876326,3985.768917002133,7737.364109280075,6.544144079391131,0.0,100,120,130,140,200,310,690,950,2000,2900,4000
GET,/product/1YMWWN1N4O,27718,2,100.0,142.2333256854299,52.601457995478995,3972.568166995188,7758.877444260048,6.598660758578463,0.00047612820250944967,100,120,130,150,200,320,680,980,2200,2800,4000
GET,/product/2ZYFJ3GM2N,27734,3,100.0,138.7060079148652,42.36254199349787,3968.9399170019897,7755.133410254562,6.602469784198539,0.0007141923037641745,100,120,130,140,200,310,630,900,2000,3300,4000
GET,/product/66VCHSJNUP,28078,2,100.0,140.6129700621808,43.39729200000875,3848.987124991254,7722.105420614004,6.684363835030164,0.00047612820250944967,100,120,130,150,200,310,680,940,1900,2700,3800
GET,/product/6E92ZMYYFZ,27590,3,100.0,138.76910575540384,34.4009160035057,3945.402124998509,7711.653026458862,6.568188553617858,0.0007141923037641745,100,120,130,150,200,300,650,940,2000,2900,3900
GET,/product/9SIQT8TOJO,27850,1,100.0,140.23047509126621,55.08195800939575,2963.734791002935,7763.621831238779,6.630085219944087,0.00023806410125472484,100,120,130,150,200,320,670,930,2000,2900,3000
GET,/product/L9ECAV7KIM,27874,0,100.0,139.89814618565902,53.918166988296434,3924.7410829993896,7729.79249479802,6.6357987583742,0.0,100,120,130,140,200,310,670,970,2100,3100,3900
GET,/product/LS4PSXUNUM,27919,1,100.0,139.0620624668315,53.2402499957243,2730.9813339961693,7727.83265876285,6.646511642930663,0.00023806410125472484,100,120,130,140,200,310,630,890,2000,2500,2700
GET,/product/OLJCESPC7Z,27461,0,100.0,138.85265482765007,54.8830839979928,3367.5715409917757,7761.261461709333,6.537478284555998,0.0,100,120,130,150,200,300,630,920,2000,3000,3400
POST,/setCurrency,19303,0,150.0,194.36159120212503,87.49099999840837,5131.219458999112,10284.169144692534,4.595351346519954,0.0,150,170,190,210,280,420,760,990,1900,3000,5100
,Aggregated,424294,26,120.0,163.3058356438479,30.771958990953863,5303.245916002197,10203.098858338793,101.00916977777223,0.0061896666326228455,120,150,170,190,250,370,710,980,2100,3000,5300
