Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,781,14,2900,4620.969386042869,146.03880001232028,77026.42050001305,10060.153649167734,2.0169962612506827,0.03615614296736179,2900,3600,4200,4700,10000,16000,24000,44000,77000,77000,77000
POST,/,4,4,37000,57867.674299996,33469.10079999361,92421.64759995649,0.0,0.010330326562103368,0.010330326562103368,68000,68000,92000,92000,92000,92000,92000,92000,92000,92000,92000
GET,/cart,1311,25,1600,5213.647172082519,110.48849998041987,97031.06910001952,11687.491990846682,3.385764530729379,0.06456454101314606,1600,3700,4700,6100,16000,22000,37000,42000,79000,97000,97000
POST,/cart,1205,26,2100,7197.001560082222,197.81790004344657,129857.51820000587,16900.020746887967,3.1120108768336396,0.0671471226536719,2100,4300,6700,10000,23000,30000,46000,54000,129000,130000,130000
POST,/cart/checkout,381,4,1100,2965.2350997403164,146.0596999968402,49431.74560001353,6494.09186351706,0.9839636050403459,0.010330326562103368,1100,1700,2200,3200,5700,13000,30000,41000,49000,49000,49000
GET,/product/0PUK6V6EV0,649,14,1400,5105.773162249388,114.10499998601153,62075.712999969255,7557.624036979969,1.6760954847012715,0.03615614296736179,1400,3700,5100,6200,16000,21000,37000,42000,62000,62000,62000
GET,/product/1YMWWN1N4O,655,19,1500,5390.562598472497,116.44700000761077,113394.72689997638,7519.68854961832,1.6915909745444266,0.049069051169990996,1500,4000,5300,6900,16000,22000,36000,43000,113000,113000,113000
GET,/product/2ZYFJ3GM2N,602,12,1400,4467.48369235839,114.86709996825084,49127.73170002038,7585.840531561462,1.554714147596557,0.030990979686310104,1400,3500,4600,5500,15000,20000,23000,36000,49000,49000,49000
GET,/product/66VCHSJNUP,644,14,1300,4641.0646459624795,114.22699998365715,67966.68860001955,7539.060559006211,1.6631825764986423,0.03615614296736179,1300,3200,4400,5300,14000,20000,35000,44000,68000,68000,68000
GET,/product/6E92ZMYYFZ,613,13,1400,4649.29262675536,118.01110004307702,65079.610500019044,7534.231647634584,1.5831225456423412,0.03357356132683595,1400,3400,4300,5300,14000,21000,32000,41000,65000,65000,65000
GET,/product/9SIQT8TOJO,652,13,1300,4670.684108282871,118.69009997462854,109664.82109995559,7596.4033742331285,1.683843229622849,0.03357356132683595,1300,3500,4500,5500,14000,20000,32000,44000,110000,110000,110000
GET,/product/L9ECAV7KIM,602,11,1500,4855.391904817986,114.823299983982,65641.82189997518,7577.21926910299,1.554714147596557,0.028408398045784263,1500,3700,5000,5900,16000,20000,29000,39000,66000,66000,66000
GET,/product/LS4PSXUNUM,659,19,1500,5091.846700909841,102.36580000491813,59378.17860004725,7493.280728376328,1.70192130110653,0.049069051169990996,1500,3500,4700,6200,16000,22000,36000,44000,59000,59000,59000
GET,/product/OLJCESPC7Z,667,14,1300,4336.4629631189555,116.05430004419759,63534.710599982645,7581.499250374813,1.7225819542307366,0.03615614296736179,1300,2600,4300,5300,15000,19000,30000,34000,64000,64000,64000
POST,/setCurrency,468,5,2300,6692.149969016955,177.66769998706877,126282.54550002748,10161.232905982906,1.208648207766094,0.012912908202629211,2300,4200,6900,8200,23000,27000,43000,49000,126000,126000,126000
,Aggregated,9893,207,1700,5175.228857333511,102.36580000491813,129857.51820000587,9517.173253815829,25.549480169722155,0.5345943995888494,1700,3500,4700,6100,16000,22000,36000,44000,79000,130000,13000
