Method,Name,Error,Occurrences
GET,/product/L9ECAV7KIM,HTTPError('503 Server Error: Service Unavailable for url: /product/L9ECAV7KIM'),4
POST,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),4
GET,/product/66VCHSJNUP,HTTPError('500 Server Error: Internal Server Error for url: /product/66VCHSJNUP'),1
GET,/product/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /product/66VCHSJNUP'),2
POST,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),3
GET,/product/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /product/LS4PSXUNUM'),1
POST,/setCurrency,HTTPError('503 Server Error: Service Unavailable for url: /setCurrency'),1
GET,/product/9SIQT8TOJO,HTTPError('500 Server Error: Internal Server Error for url: /product/9SIQT8TOJO'),1
GET,/product/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /product/OLJCESPC7Z'),1
GET,/product/LS4PSXUNUM,HTTPError('500 Server Error: Internal Server Error for url: /product/LS4PSXUNUM'),1
GET,/product/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /product/0PUK6V6EV0'),2
POST,/cart/checkout,HTTPError('503 Server Error: Service Unavailable for url: /cart/checkout'),2
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),1
POST,/setCurrency,HTTPError('500 Server Error: Internal Server Error for url: /setCurrency'),2
GET,/product/2ZYFJ3GM2N,HTTPError('503 Server Error: Service Unavailable for url: /product/2ZYFJ3GM2N'),1
GET,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),3
GET,/product/0PUK6V6EV0,HTTPError('500 Server Error: Internal Server Error for url: /product/0PUK6V6EV0'),1
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),17
GET,/product/6E92ZMYYFZ,HTTPError('500 Server Error: Internal Server Error for url: /product/6E92ZMYYFZ'),2
