Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20402,18,110.0,188.9451535437471,50.71575002511963,52593.31412502797,10271.16748358004,4.856850149227703,0.004285035912464399,110,140,160,180,260,390,740,1100,6100,42000,53000
GET,/cart,56649,43,120.0,192.99274647906637,28.06804096326232,51999.87779202638,14082.628395911666,13.485722189177539,0.010236474679776062,120,150,170,190,250,380,840,1200,4900,41000,52000
POST,/cart,56633,8,180.0,231.02431214640237,21.747999999206513,22089.226916024927,18145.65145763071,13.48191326836646,0.0019044604055397326,180,210,240,260,340,510,920,1200,2400,4900,22000
POST,/cart/checkout,18858,1,160.0,201.47405620960737,61.60112499492243,2947.777458000928,6562.111888853537,4.489289290958535,0.00023805755069246658,160,190,210,230,300,440,810,1100,2100,2700,2900
GET,/product/0PUK6V6EV0,27014,19,100.0,166.10286673166965,22.95766700990498,52475.93633399811,7731.5200636706895,6.430886674406292,0.004523093463156865,100,130,140,160,210,330,760,1100,4100,37000,52000
GET,/product/1YMWWN1N4O,27362,22,100.0,168.20539347926987,22.622874996159226,40585.06187499734,7752.0628243549445,6.513730702047271,0.005237266115234265,100,130,140,160,210,320,770,1100,5300,38000,41000
GET,/product/2ZYFJ3GM2N,26985,21,100.0,167.0487749925442,21.68266603257507,42149.62070801994,7748.680563275894,6.42398300543621,0.0049992085645417985,100,130,140,160,210,330,740,1000,4800,35000,42000
GET,/product/66VCHSJNUP,27124,21,100.0,163.41257109770774,20.48195799579844,40077.10933400085,7716.612446541808,6.457073004982464,0.0049992085645417985,100,130,140,160,210,320,750,1100,4900,35000,40000
GET,/product/6E92ZMYYFZ,27413,13,100.0,158.52352476756272,38.507290999405086,45249.60108398227,7708.039835114727,6.525871637132586,0.0030947481590020655,100,130,140,160,210,320,740,1100,3900,37000,45000
GET,/product/9SIQT8TOJO,26989,22,100.0,166.76974548243143,39.95537495939061,42664.551082998514,7756.441994886805,6.424935235638981,0.005237266115234265,100,130,140,160,210,320,730,1100,4900,35000,43000
GET,/product/L9ECAV7KIM,27119,14,100,163.0716451189367,28.857958037406206,54584.29612504551,7725.2881743427115,6.455882717229001,0.003332805709694532,100,130,140,160,210,320,740,1100,3900,38000,55000
GET,/product/LS4PSXUNUM,27154,21,100.0,167.73529682682494,20.047875004820526,45761.845832981635,7721.809088900346,6.464214731503238,0.0049992085645417985,100,130,140,160,210,330,730,1000,5300,41000,46000
GET,/product/OLJCESPC7Z,27215,22,100.0,169.41398009826582,43.62641699844971,47807.345791952685,7754.801984199889,6.4787362420954775,0.005237266115234265,100,130,140,160,210,330,740,1100,5500,43000,48000
POST,/setCurrency,18606,14,130.0,197.61473305870865,69.67741705011576,43684.68029203359,10280.058905729335,4.429298788184033,0.003332805709694532,130,150,170,190,250,370,750,1000,5600,38000,44000
,Aggregated,415523,259,120.0,182.4482754517476,20.047875004820526,54584.29612504551,10204.541847262366,98.91838763638579,0.06165690562934884,120,150,170,190,250,380,790,1100,4300,36000,55000
