Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20917,2,120.0,189.78869646115143,35.352792125195265,4540.9836252219975,10277.037768322418,4.97892212714401,0.0004760646485771391,120,150,180,210,310,470,870,1300,3200,4400,4500
GET,/cart,57342,13,140.0,191.5153857636981,30.856083147227764,6092.96041727066,14126.330211712184,13.649249539355155,0.0030944202157514042,140,160,180,200,280,420,880,1300,3300,5100,6100
POST,/cart,57342,35,190.0,254.02307009108353,27.38725021481514,5812.558165751398,18153.121847860206,13.649249539355155,0.008331131350099934,190,230,260,280,380,560,980,1300,3000,5000,5800
POST,/cart/checkout,19019,14,150.0,194.82240907217565,28.779915999621153,4813.263415824622,6558.935222672065,4.527136775644305,0.0033324525400399737,150,170,200,220,280,400,800,1100,2600,4800,4800
GET,/product/0PUK6V6EV0,27450,11,100.0,153.9306546824701,26.374374981969595,4446.055416017771,7735.444189435337,6.533987301721234,0.002618355567174265,100,120,140,150,210,340,800,1200,2600,3900,4400
GET,/product/1YMWWN1N4O,27316,5,100,155.59805182459905,29.28891684859991,4627.754542045295,7758.687069849173,6.502090970266566,0.0011901616214428478,100,120,140,160,220,350,800,1200,3000,4400,4600
GET,/product/2ZYFJ3GM2N,27794,8,100.0,159.360642863771,37.53850003704429,4606.685583014041,7754.096927394402,6.615870421276503,0.0019042585943085564,100,120,140,160,220,380,850,1300,3000,4400,4600
GET,/product/66VCHSJNUP,27237,11,100.0,157.2906168746666,29.96270777657628,4604.455875232816,7719.917024635606,6.483286416647769,0.002618355567174265,100,120,140,150,210,350,860,1300,3200,4300,4600
GET,/product/6E92ZMYYFZ,27773,6,100.0,154.863872395231,29.635291546583176,4613.113458268344,7711.051812911821,6.6108717424664425,0.0014281939457314174,100,120,140,150,210,350,800,1200,2900,4500,4600
GET,/product/9SIQT8TOJO,27694,14,100.0,155.34936479816952,30.298084020614624,4565.981833264232,7761.307358994728,6.592067188847645,0.0033324525400399737,100,120,140,160,210,350,810,1100,2900,4400,4600
GET,/product/L9ECAV7KIM,27522,7,100.0,159.1820688788798,41.33791662752628,82241.42325017601,7728.658273381295,6.551125629070011,0.0016662262700199869,100,120,140,160,210,350,810,1300,2800,4300,82000
GET,/product/LS4PSXUNUM,27525,6,100.0,154.7047721222889,36.45200002938509,4583.2183747552335,7728.137511353315,6.551839726042877,0.0014281939457314174,100,120,140,150,210,350,790,1200,2900,4400,4600
GET,/product/OLJCESPC7Z,27735,6,100.0,156.02798850391594,39.00895779952407,4599.587082862854,7760.195817559041,6.601826514143477,0.0014281939457314174,100,120,140,160,220,350,830,1200,3000,4300,4600
POST,/setCurrency,19153,3,160.0,213.33035939545064,79.57791676744819,4925.2974996343255,10283.438051480185,4.559033107098973,0.0007140969728657087,160,180,210,230,310,450,830,1200,3300,4900,4900
,Aggregated,421819,141,120.0,180.33374697595949,26.374374981969595,82241.42325017601,10211.60745011486,100.40655699908012,0.03356255772468831,120,150,180,200,270,420,850,1200,3000,4500,82000
