Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20734,2,150,215.28752878368667,60.657958034425974,2646.1855419911444,10278.550062698949,4.798407537499201,0.00046285401152688346,150,170,200,230,360,630,990,1200,1700,2300,2600
GET,/cart,56749,3,190,232.41587465133247,75.9812081232667,2579.467457951978,14012.338067631148,13.133251150069555,0.0006942810172903251,190,210,220,240,330,640,1000,1200,1800,2300,2600
POST,/cart,57117,7,260,292.6558906843864,64.02900000102818,3213.380750035867,18116.05753103279,13.2184162881905,0.001619989040344092,260,280,300,310,370,480,810,1300,2100,2900,3200
POST,/cart/checkout,19202,1,170,210.754342342859,59.493042062968016,2976.7462499439716,6561.722841370691,4.4438613646696075,0.00023142700576344173,170,190,210,230,280,340,790,1300,2000,2500,3000
GET,/product/0PUK6V6EV0,27162,1,130,184.02238453137636,61.66295916773379,2774.225124856457,7736.839076651204,6.286020330546604,0.00023142700576344173,130,140,160,170,250,560,940,1100,1600,2100,2800
GET,/product/1YMWWN1N4O,27507,1,130,186.63585104714096,61.6776249371469,2598.086583195254,7758.870651106991,6.365862647534992,0.00023142700576344173,130,140,160,170,260,590,980,1200,1600,1900,2600
GET,/product/2ZYFJ3GM2N,27376,4,130,185.86000956050867,59.130874928086996,2378.984957933426,7754.227060198714,6.33554570977998,0.0009257080230537669,130,140,160,170,260,580,950,1100,1600,2200,2400
GET,/product/66VCHSJNUP,27197,1,130,184.37668523344317,67.44808284565806,2091.405666898936,7722.552156487848,6.294120275748324,0.00023142700576344173,130,140,160,170,250,570,940,1200,1600,1900,2100
GET,/product/6E92ZMYYFZ,27100,0,130,181.72815781162288,83.67329183965921,2142.4995840061456,7711.335350553505,6.27167185618927,0.0,130,140,160,170,250,550,930,1100,1500,2000,2100
GET,/product/9SIQT8TOJO,27216,2,130,182.51087779947892,63.52025014348328,2836.2077919300646,7762.931804820693,6.29851738885783,0.00046285401152688346,130,140,160,170,250,560,940,1100,1500,2300,2800
GET,/product/L9ECAV7KIM,27226,1,130,182.98832858254298,67.11608287878335,2276.6747910063714,7729.420039667964,6.300831658915464,0.00023142700576344173,130,140,160,170,250,560,940,1100,1600,2000,2300
GET,/product/LS4PSXUNUM,27386,0,130,182.25468206227876,82.31045794673264,2758.3480831235647,7728.674140071569,6.3378599798376145,0.0,130,140,160,170,250,540,940,1100,1500,2200,2800
GET,/product/OLJCESPC7Z,27207,0,130,182.54332338842082,82.21962512470782,2493.251584004611,7760.730106222663,6.296434545805959,0.0,130,140,150,170,250,560,930,1100,1600,2100,2500
POST,/setCurrency,19142,4,200,259.26521871921165,117.84054199233651,2287.3757500201464,10284.981088705465,4.4299757443238015,0.0009257080230537669,200,220,240,250,350,650,1000,1200,1800,2200,2300
,Aggregated,418321,27,150,211.42879098988448,59.130874928086996,3213.380750035867,10196.21063967623,96.8107764779687,0.006248529155612926,150,190,220,240,320,550,960,1200,1700,2400,3200
