Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10477,0,340,534.1761348544143,86.81216699187644,3891.6063330252655,10273.759568578791,4.849125382744357,0.0,340,540,710,840,1200,1600,2000,2300,3300,3700,3900
GET,/cart,26892,0,270,364.9245951255661,83.83712498471141,2845.8101249998435,13855.050795775694,12.446566745515057,0.0,270,350,430,500,730,950,1200,1400,2100,2600,2800
POST,/cart,26933,0,360,462.7113250302315,155.10862501105294,3521.628041024087,18058.818215571973,12.465542992598431,0.0,360,460,530,590,780,1000,1500,1800,2700,3200,3500
POST,/cart/checkout,8906,4,250,343.38294026586817,68.94258302054368,2538.5367079870775,6561.78587469122,4.122011134744797,0.0018513411788658421,250,320,370,430,610,920,1400,1600,2300,2500,2500
GET,/product/0PUK6V6EV0,12975,0,200,293.2166519892512,86.19504197849892,2480.563249991974,7737.456184971098,6.0052879489460755,0.0,200,270,320,370,600,850,1100,1300,1900,2400,2500
GET,/product/1YMWWN1N4O,13028,0,210,294.5422079694673,81.51687501231208,2341.0089169919956,7759.025637089346,6.029818219566048,0.0,210,270,330,380,600,850,1100,1300,1700,2100,2300
GET,/product/2ZYFJ3GM2N,12983,0,210,295.42940598106134,84.07670797896571,2501.9877499726135,7754.8691365631985,6.008990631303807,0.0,210,270,330,380,600,850,1100,1300,1900,2100,2500
GET,/product/66VCHSJNUP,12870,0,210,293.53108066198536,85.61987499706447,2479.8240000091027,7722.505205905206,5.956690243000847,0.0,210,270,320,370,600,840,1100,1300,1900,2400,2500
GET,/product/6E92ZMYYFZ,12981,0,200,291.2751271228157,81.51449999422766,2274.4616660056636,7712.174485786919,6.008064960714374,0.0,200,270,320,370,590,830,1200,1300,1800,2200,2300
GET,/product/9SIQT8TOJO,12936,0,200,289.27520920186777,84.83995898859575,2237.6901669777,7763.013373531231,5.9872373724521335,0.0,200,270,320,370,580,830,1100,1300,1800,2100,2200
GET,/product/L9ECAV7KIM,12891,0,200,293.14438680469715,85.41345898993313,2879.47020799038,7729.770692731363,5.966409784189892,0.0,200,270,330,380,590,840,1100,1300,1900,2700,2900
GET,/product/LS4PSXUNUM,13004,0,210,295.33072917565516,83.184833987616,2468.340708001051,7729.011227314672,6.0187101724928525,0.0,210,270,330,380,600,850,1100,1300,1700,2100,2500
GET,/product/OLJCESPC7Z,12838,0,210,292.55235308372,82.54104098887183,2605.2983749832492,7761.109518616607,5.94187951356992,0.0,210,270,320,370,590,840,1100,1300,1800,2300,2600
POST,/setCurrency,8970,0,350,498.6799989195061,151.64733299752697,3590.5359580065124,10285.940022296543,4.151632593606651,0.0,350,490,600,690,1000,1400,1800,2000,3100,3600,3600
,Aggregated,198684,4,250,350.08875105245636,68.94258302054368,3891.6063330252655,10162.783258843188,91.95796769544525,0.0018513411788658421,250,330,410,470,710,970,1300,1600,2400,3300,3900
