Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1683,3,4200,4151.002672807891,184.84525009989738,10264.259667135775,10233.960784313726,9.31439068166563,0.016603191945928037,4200,4800,5100,5500,6200,6500,7200,8200,9600,10000,10000
GET,/cart,2815,2,4300,4348.402141307549,153.0438750050962,9793.023750185966,11743.026287744227,15.57932844259581,0.011068794630618693,4300,4800,5100,5300,6000,6700,7400,7900,8900,9800,9800
POST,/cart,2808,11,5900,5986.527894580461,168.99370914325118,11993.311707861722,17159.92272079772,15.540587661388644,0.06087837046840281,5900,6500,6900,7200,8000,8700,9600,10000,11000,12000,12000
POST,/cart/checkout,914,3,3300,3478.84802570484,116.48512515239418,9589.314041193575,6557.668490153173,5.058439146192742,0.016603191945928037,3300,3600,3900,4000,4600,5500,7300,7500,9600,9600,9600
GET,/product/0PUK6V6EV0,1433,6,3900,3959.3797560873204,136.72724994830787,8234.224375104532,7479.461270062805,7.930791352838293,0.033206383891856074,3900,4200,4500,4700,5400,6000,6700,7000,8100,8200,8200
GET,/product/1YMWWN1N4O,1306,3,3800,3920.9279691569427,139.62779100984335,8523.25008297339,7487.87212863706,7.227922893794006,0.016603191945928037,3800,4200,4500,4600,5200,5900,6500,7300,8300,8500,8500
GET,/product/2ZYFJ3GM2N,1345,1,3900,3915.943296199152,136.63991703651845,8449.164000106975,7511.002230483271,7.44376438909107,0.005534397315309346,3900,4200,4500,4600,5200,5800,6600,7200,8200,8400,8400
GET,/product/66VCHSJNUP,1411,4,3800,3838.8920532685356,163.06529194116592,7953.4730419982225,7472.771793054571,7.809034611901487,0.022137589261237385,3800,4200,4400,4600,5200,5800,6400,6800,7800,8000,8000
GET,/product/6E92ZMYYFZ,1342,4,3800,3891.971894021662,125.36729103885591,8673.32962504588,7452.185543964232,7.427161197145143,0.022137589261237385,3800,4200,4400,4600,5300,5900,6600,7000,7900,8700,8700
GET,/product/9SIQT8TOJO,1406,1,3800,3945.4687537077634,149.54370819032192,8495.494790840894,7504.2112375533425,7.781362625324941,0.005534397315309346,3800,4200,4500,4700,5400,5900,6600,6800,8200,8500,8500
GET,/product/L9ECAV7KIM,1403,6,3900,3896.432008237312,145.4263748601079,9154.755665920675,7455.670705630791,7.764759433379012,0.033206383891856074,3900,4200,4400,4600,5100,5700,6500,7000,7900,9200,9200
GET,/product/LS4PSXUNUM,1355,2,3800,3917.514503945861,149.49337486177683,9170.67199992016,7469.515867158671,7.499108362244164,0.011068794630618693,3800,4200,4400,4600,5300,6000,6700,7300,8600,9200,9200
GET,/product/OLJCESPC7Z,1431,1,3900,3901.8110302195555,120.8067499101162,8633.825875120237,7496.29140461216,7.919722558207674,0.005534397315309346,3900,4200,4400,4600,5200,5800,6500,7000,8600,8600,8600
POST,/setCurrency,988,6,4600,4630.919271458397,198.16150004044175,9929.35874988325,10242.011133603239,5.467984547525634,0.033206383891856074,4600,4900,5200,5500,6100,6800,7300,7600,9900,9900,9900
,Aggregated,21640,53,4100,4269.824026001546,116.48512515239418,11993.311707861722,9592.52814232902,119.76435790329425,0.29332305771139533,4100,4600,5000,5300,6200,6900,7800,8500,10000,11000,12000
