app,experiment_name,workload_name,workload_csv,autoscaler_name,deployment_scope,setup_ok,ready_for_load,monitor_log_file,locust_stats_csv,locust_failures_csv,locust_exceptions_csv,locust_stats_history_csv,cleanup_ok,status,error_message
onlineboutique,onlineboutique_constant-100_customdas_subset,constant-100,load/online-boutique/workloads/constant-100.csv,customdas,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_constant-100_customdas_default_5s_20260728_131621.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_141621_stats.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_141621_failures.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_141621_exceptions.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_141621_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_constant-100_customdas_subset,constant-100,load/online-boutique/workloads/constant-100.csv,customdas,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_constant-100_customdas_default_5s_20260728_134329.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_144329_stats.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_144329_failures.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_144329_exceptions.csv,tmp\locust\onlineboutique\onlineboutique_constant-100_customdas_subset_20260728_144329_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_constant-300_customdas_subset,constant-300,load/online-boutique/workloads/constant-300.csv,customdas,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_constant-300_customdas_default_5s_20260728_135326.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_145326_stats.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_145326_failures.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_145326_exceptions.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_145326_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_constant-300_customdas_subset,constant-300,load/online-boutique/workloads/constant-300.csv,customdas,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_constant-300_customdas_default_5s_20260728_140234.csv,,,,,True,failed,[WinError 2] The system cannot find the file specified
onlineboutique,onlineboutique_constant-300_customdas_subset,constant-300,load/online-boutique/workloads/constant-300.csv,customdas,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_constant-300_customdas_default_5s_20260728_140808.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_150808_stats.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_150808_failures.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_150808_exceptions.csv,tmp\locust\onlineboutique\onlineboutique_constant-300_customdas_subset_20260728_150808_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_customdas_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,customdas,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_customdas_default_5s_20260728_141508.csv,tmp\locust\onlineboutique\onlineboutique_wiki_load_customdas_subset_20260728_151508_stats.csv,tmp\locust\onlineboutique\onlineboutique_wiki_load_customdas_subset_20260728_151508_failures.csv,tmp\locust\onlineboutique\onlineboutique_wiki_load_customdas_subset_20260728_151508_exceptions.csv,tmp\locust\onlineboutique\onlineboutique_wiki_load_customdas_subset_20260728_151508_stats_history.csv,True,success,
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",,,,,,,,False,failed,"HTTPConnectionPool(host='193.225.251.227', port=30096): Read timed out. (read timeout=120)"
onlineboutique,onlineboutique_wiki_load_das_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,das,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_das_default_5s_20260805_232110.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_002110_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_002110_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_002110_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_002110_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_pbscaler_default_5s_20260805_232444.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002444_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002444_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002444_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002444_stats_history.csv,True,success,
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_pbscaler_default_5s_20260805_232855.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002855_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002855_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002855_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_002855_stats_history.csv,True,success,
