Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-25 02:43:17,deployment,adservice,26,87,1,,,
2026-08-25 02:43:17,deployment,cartservice,54,43,1,,,
2026-08-25 02:43:17,deployment,checkoutservice,8,11,1,,,
2026-08-25 02:43:17,deployment,currencyservice,19,42,1,,,
2026-08-25 02:43:17,deployment,emailservice,13,40,1,,,
2026-08-25 02:43:17,deployment,frontend,32,13,1,,,
2026-08-25 02:43:17,http_p95_latency,frontend,,,,,,309.5
2026-08-25 02:43:17,deployment,paymentservice,5,30,1,,,
2026-08-25 02:43:17,deployment,productcatalogservice,35,9,1,,,
2026-08-25 02:43:17,deployment,recommendationservice,34,44,1,,,
2026-08-25 02:43:17,deployment,redis-cart,5,6,1,,,
2026-08-25 02:43:17,deployment,shippingservice,12,8,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-adservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-cartservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-checkoutservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-currencyservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-emailservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-frontend,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-paymentservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-productcatalogservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-recommendationservice,0,0,1,,,
2026-08-25 02:43:17,autoscaler,das-autoscaler-shippingservice,0,0,1,,,
2026-08-25 02:43:17,node,ze-master-node,715,3519,,17.9,44.3,
2026-08-25 02:43:17,node,ze-worker-node,494,2475,,12.3,31.2,
2026-08-25 02:43:24,deployment,adservice,8,87,1,,,
2026-08-25 02:43:24,deployment,cartservice,8,43,1,,,
2026-08-25 02:43:24,deployment,checkoutservice,8,11,1,,,
2026-08-25 02:43:24,deployment,currencyservice,19,42,1,,,
2026-08-25 02:43:24,deployment,emailservice,15,40,1,,,
2026-08-25 02:43:24,deployment,frontend,0,13,1,,,
2026-08-25 02:43:24,http_p95_latency,frontend,,,,,,770.3
2026-08-25 02:43:24,deployment,paymentservice,10,31,1,,,
2026-08-25 02:43:24,deployment,productcatalogservice,6,9,1,,,
2026-08-25 02:43:24,deployment,recommendationservice,20,44,1,,,
2026-08-25 02:43:24,deployment,redis-cart,4,6,1,,,
2026-08-25 02:43:24,deployment,shippingservice,11,8,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-adservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-cartservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-checkoutservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-currencyservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-emailservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-frontend,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-paymentservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-productcatalogservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-recommendationservice,0,0,1,,,
2026-08-25 02:43:24,autoscaler,das-autoscaler-shippingservice,0,0,1,,,
2026-08-25 02:43:24,node,ze-master-node,715,3519,,17.9,44.3,
2026-08-25 02:43:24,node,ze-worker-node,494,2475,,12.3,31.2,
2026-08-25 02:43:33,deployment,adservice,8,87,1,,,
2026-08-25 02:43:33,deployment,cartservice,25,43,1,,,
2026-08-25 02:43:33,deployment,checkoutservice,7,11,1,,,
2026-08-25 02:43:33,deployment,currencyservice,33,35,1,,,
2026-08-25 02:43:33,deployment,emailservice,17,43,1,,,
2026-08-25 02:43:33,deployment,frontend,15,13,1,,,
2026-08-25 02:43:33,http_p95_latency,frontend,,,,,,770.3
2026-08-25 02:43:33,deployment,paymentservice,6,29,1,,,
2026-08-25 02:43:33,deployment,productcatalogservice,21,8,1,,,
2026-08-25 02:43:33,deployment,recommendationservice,23,46,1,,,
2026-08-25 02:43:33,deployment,redis-cart,5,6,1,,,
2026-08-25 02:43:33,deployment,shippingservice,12,9,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-adservice,87,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-cartservice,79,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-checkoutservice,0,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-currencyservice,0,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-emailservice,0,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-frontend,102,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-paymentservice,0,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-productcatalogservice,63,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-recommendationservice,0,60,1,,,
2026-08-25 02:43:33,autoscaler,das-autoscaler-shippingservice,0,60,1,,,
2026-08-25 02:43:33,node,ze-master-node,1550,3469,,38.8,43.7,
2026-08-25 02:43:33,node,ze-worker-node,1160,2535,,29.0,31.9,
2026-08-25 02:43:41,deployment,adservice,9,88,1,,,
2026-08-25 02:43:41,deployment,cartservice,25,43,1,,,
2026-08-25 02:43:41,deployment,checkoutservice,7,11,1,,,
2026-08-25 02:43:41,deployment,currencyservice,33,35,1,,,
2026-08-25 02:43:41,deployment,emailservice,17,43,1,,,
2026-08-25 02:43:41,deployment,frontend,15,13,1,,,
2026-08-25 02:43:41,http_p95_latency,frontend,,,,,,680.6
2026-08-25 02:43:41,deployment,paymentservice,6,29,1,,,
2026-08-25 02:43:41,deployment,productcatalogservice,21,8,1,,,
2026-08-25 02:43:41,deployment,recommendationservice,23,46,1,,,
2026-08-25 02:43:41,deployment,redis-cart,5,6,1,,,
2026-08-25 02:43:41,deployment,shippingservice,12,9,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-adservice,87,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-cartservice,79,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-checkoutservice,0,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-currencyservice,0,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-emailservice,0,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-frontend,102,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-paymentservice,0,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-productcatalogservice,63,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-recommendationservice,0,60,1,,,
2026-08-25 02:43:41,autoscaler,das-autoscaler-shippingservice,0,60,1,,,
2026-08-25 02:43:41,node,ze-master-node,1550,3469,,38.8,43.7,
2026-08-25 02:43:41,node,ze-worker-node,1160,2535,,29.0,31.9,
2026-08-25 02:43:50,deployment,adservice,10,88,1,,,
2026-08-25 02:43:50,deployment,cartservice,22,43,1,,,
2026-08-25 02:43:50,deployment,checkoutservice,13,12,1,,,
2026-08-25 02:43:50,deployment,currencyservice,29,35,1,,,
2026-08-25 02:43:50,deployment,emailservice,18,40,1,,,
2026-08-25 02:43:50,deployment,frontend,41,13,1,,,
2026-08-25 02:43:50,http_p95_latency,frontend,,,,,,680.6
2026-08-25 02:43:50,deployment,paymentservice,6,29,1,,,
2026-08-25 02:43:50,deployment,productcatalogservice,28,9,1,,,
2026-08-25 02:43:50,deployment,recommendationservice,30,44,1,,,
2026-08-25 02:43:50,deployment,redis-cart,5,6,1,,,
2026-08-25 02:43:50,deployment,shippingservice,13,8,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-adservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-cartservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-checkoutservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-currencyservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-emailservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-frontend,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-paymentservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-productcatalogservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-recommendationservice,0,60,1,,,
2026-08-25 02:43:50,autoscaler,das-autoscaler-shippingservice,0,60,1,,,
2026-08-25 02:43:50,node,ze-master-node,1166,3440,,29.1,43.3,
2026-08-25 02:43:50,node,ze-worker-node,415,2533,,10.4,31.9,
2026-08-25 02:43:59,deployment,adservice,10,88,1,,,
2026-08-25 02:43:59,deployment,cartservice,22,43,1,,,
2026-08-25 02:43:59,deployment,checkoutservice,13,12,1,,,
2026-08-25 02:43:59,deployment,currencyservice,29,35,1,,,
2026-08-25 02:43:59,deployment,emailservice,18,40,1,,,
2026-08-25 02:43:59,deployment,frontend,41,13,1,,,
2026-08-25 02:43:59,http_p95_latency,frontend,,,,,,502.8
2026-08-25 02:43:59,deployment,paymentservice,6,29,1,,,
2026-08-25 02:43:59,deployment,productcatalogservice,28,9,1,,,
2026-08-25 02:43:59,deployment,recommendationservice,30,44,1,,,
2026-08-25 02:43:59,deployment,redis-cart,5,6,1,,,
2026-08-25 02:43:59,deployment,shippingservice,13,8,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-adservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-cartservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-checkoutservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-currencyservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-emailservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-frontend,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-paymentservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-productcatalogservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-recommendationservice,0,60,1,,,
2026-08-25 02:43:59,autoscaler,das-autoscaler-shippingservice,0,60,1,,,
