Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-25 11:10:34,deployment,adservice,9,91,1,,,
2026-08-25 11:10:34,deployment,cartservice,13,43,1,,,
2026-08-25 11:10:34,deployment,checkoutservice,7,11,1,,,
2026-08-25 11:10:34,deployment,currencyservice,39,54,1,,,
2026-08-25 11:10:34,deployment,emailservice,17,40,1,,,
2026-08-25 11:10:34,deployment,frontend,3,12,1,,,
2026-08-25 11:10:34,http_p95_latency,frontend,,,,,,159.8
2026-08-25 11:10:34,deployment,paymentservice,7,29,1,,,
2026-08-25 11:10:34,deployment,productcatalogservice,6,9,1,,,
2026-08-25 11:10:34,deployment,recommendationservice,20,45,1,,,
2026-08-25 11:10:34,deployment,redis-cart,4,8,1,,,
2026-08-25 11:10:34,deployment,shippingservice,12,8,1,,,
2026-08-25 11:10:34,node,ze-master-node,625,3364,,15.6,42.4,
2026-08-25 11:10:34,node,ze-worker-node,550,2620,,13.8,33.0,
2026-08-25 11:10:41,deployment,adservice,9,91,1,,,
2026-08-25 11:10:41,deployment,cartservice,13,43,1,,,
2026-08-25 11:10:41,deployment,checkoutservice,7,11,1,,,
2026-08-25 11:10:41,deployment,currencyservice,39,54,1,,,
2026-08-25 11:10:41,deployment,emailservice,17,40,1,,,
2026-08-25 11:10:41,deployment,frontend,3,12,1,,,
2026-08-25 11:10:41,http_p95_latency,frontend,,,,,,177.7
2026-08-25 11:10:41,deployment,paymentservice,7,29,1,,,
2026-08-25 11:10:41,deployment,productcatalogservice,6,9,1,,,
2026-08-25 11:10:41,deployment,recommendationservice,20,45,1,,,
2026-08-25 11:10:41,deployment,redis-cart,4,8,1,,,
2026-08-25 11:10:41,deployment,shippingservice,12,8,1,,,
2026-08-25 11:10:41,node,ze-master-node,625,3364,,15.6,42.4,
2026-08-25 11:10:41,node,ze-worker-node,550,2620,,13.8,33.0,
2026-08-25 11:10:48,deployment,adservice,9,91,1,,,
2026-08-25 11:10:48,deployment,cartservice,13,43,1,,,
2026-08-25 11:10:48,deployment,checkoutservice,7,11,1,,,
2026-08-25 11:10:48,deployment,currencyservice,39,54,1,,,
2026-08-25 11:10:48,deployment,emailservice,17,40,1,,,
2026-08-25 11:10:48,deployment,frontend,3,12,1,,,
2026-08-25 11:10:48,http_p95_latency,frontend,,,,,,177.7
2026-08-25 11:10:48,deployment,paymentservice,7,29,1,,,
2026-08-25 11:10:48,deployment,productcatalogservice,6,9,1,,,
2026-08-25 11:10:48,deployment,recommendationservice,20,45,1,,,
2026-08-25 11:10:48,deployment,redis-cart,4,8,1,,,
2026-08-25 11:10:48,deployment,shippingservice,12,8,1,,,
2026-08-25 11:10:48,node,ze-master-node,625,3364,,15.6,42.4,
2026-08-25 11:10:48,node,ze-worker-node,550,2620,,13.8,33.0,
2026-08-25 11:10:54,deployment,adservice,8,91,1,,,
2026-08-25 11:10:54,deployment,cartservice,15,43,1,,,
2026-08-25 11:10:54,deployment,checkoutservice,10,12,1,,,
2026-08-25 11:10:54,deployment,currencyservice,13,52,1,,,
2026-08-25 11:10:54,deployment,emailservice,15,40,1,,,
2026-08-25 11:10:54,deployment,frontend,3,12,1,,,
2026-08-25 11:10:54,http_p95_latency,frontend,,,,,,177.7
2026-08-25 11:10:54,deployment,paymentservice,8,29,1,,,
2026-08-25 11:10:54,deployment,productcatalogservice,22,9,1,,,
2026-08-25 11:10:54,deployment,recommendationservice,23,45,1,,,
2026-08-25 11:10:54,deployment,redis-cart,5,8,1,,,
2026-08-25 11:10:54,deployment,shippingservice,13,9,1,,,
2026-08-25 11:10:54,node,ze-master-node,995,3117,,24.9,39.3,
2026-08-25 11:10:54,node,ze-worker-node,370,2620,,9.2,33.0,
2026-08-25 11:11:01,deployment,adservice,8,91,1,,,
2026-08-25 11:11:01,deployment,cartservice,15,43,1,,,
2026-08-25 11:11:01,deployment,checkoutservice,10,12,1,,,
2026-08-25 11:11:01,deployment,currencyservice,13,52,1,,,
2026-08-25 11:11:01,deployment,emailservice,15,40,1,,,
2026-08-25 11:11:01,deployment,frontend,3,12,1,,,
2026-08-25 11:11:01,http_p95_latency,frontend,,,,,,192.7
2026-08-25 11:11:01,deployment,paymentservice,8,29,1,,,
2026-08-25 11:11:01,deployment,productcatalogservice,22,9,1,,,
2026-08-25 11:11:01,deployment,recommendationservice,23,45,1,,,
2026-08-25 11:11:01,deployment,redis-cart,5,8,1,,,
2026-08-25 11:11:01,deployment,shippingservice,13,9,1,,,
2026-08-25 11:11:01,node,ze-master-node,995,3117,,24.9,39.3,
2026-08-25 11:11:01,node,ze-worker-node,370,2620,,9.2,33.0,
2026-08-25 11:11:07,deployment,adservice,8,91,1,,,
2026-08-25 11:11:07,deployment,cartservice,14,43,1,,,
2026-08-25 11:11:07,deployment,checkoutservice,5,12,1,,,
2026-08-25 11:11:07,deployment,currencyservice,22,51,1,,,
2026-08-25 11:11:07,deployment,emailservice,22,40,1,,,
2026-08-25 11:11:07,deployment,frontend,27,12,1,,,
2026-08-25 11:11:07,http_p95_latency,frontend,,,,,,192.7
2026-08-25 11:11:07,deployment,paymentservice,11,29,1,,,
2026-08-25 11:11:07,deployment,productcatalogservice,25,9,1,,,
2026-08-25 11:11:07,deployment,recommendationservice,23,45,1,,,
2026-08-25 11:11:07,deployment,redis-cart,5,8,1,,,
2026-08-25 11:11:07,deployment,shippingservice,11,9,1,,,
2026-08-25 11:11:07,node,ze-master-node,808,3119,,20.2,39.3,
2026-08-25 11:11:07,node,ze-worker-node,547,2237,,13.7,28.2,
2026-08-25 11:11:14,deployment,adservice,8,91,1,,,
2026-08-25 11:11:14,deployment,cartservice,14,43,1,,,
2026-08-25 11:11:14,deployment,checkoutservice,5,12,1,,,
