Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-09-01 15:01:35,deployment,adservice,8,95,1,,,
2026-09-01 15:01:35,deployment,cartservice,14,40,1,,,
2026-09-01 15:01:35,deployment,checkoutservice,8,12,1,,,
2026-09-01 15:01:35,deployment,currencyservice,8,64,1,,,
2026-09-01 15:01:35,deployment,emailservice,18,40,1,,,
2026-09-01 15:01:35,deployment,frontend,0,13,1,,,
2026-09-01 15:01:35,http_p95_latency,frontend,,,,,,0.0
2026-09-01 15:01:35,deployment,paymentservice,8,30,1,,,
2026-09-01 15:01:35,deployment,productcatalogservice,9,9,1,,,
2026-09-01 15:01:35,deployment,recommendationservice,21,42,1,,,
2026-09-01 15:01:35,deployment,redis-cart,5,45,1,,,
2026-09-01 15:01:35,deployment,shippingservice,14,9,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-cartservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-emailservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-frontend,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,0,0,1,,,
2026-09-01 15:01:35,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,0,0,1,,,
2026-09-01 15:01:35,node,ze-master-node,673,3374,,16.8,42.5,
2026-09-01 15:01:35,node,ze-worker-node,238,1564,,5.9,19.7,
2026-09-01 15:01:44,deployment,adservice,8,95,1,,,
2026-09-01 15:01:44,deployment,cartservice,14,40,1,,,
2026-09-01 15:01:44,deployment,checkoutservice,8,12,1,,,
2026-09-01 15:01:44,deployment,currencyservice,8,64,1,,,
2026-09-01 15:01:44,deployment,emailservice,18,40,1,,,
2026-09-01 15:01:44,deployment,frontend,0,13,1,,,
2026-09-01 15:01:44,http_p95_latency,frontend,,,,,,0.0
2026-09-01 15:01:44,deployment,paymentservice,8,30,1,,,
2026-09-01 15:01:44,deployment,productcatalogservice,9,9,1,,,
2026-09-01 15:01:44,deployment,recommendationservice,21,42,1,,,
