Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20518,3,160,210.94998104935536,68.93312511965632,3294.8369160294533,10278.953309289405,4.74871698320453,0.0006943245418468462,160,190,220,250,340,440,680,920,1500,2300,3300
GET,/cart,56656,11,200,229.11926429909317,64.74820896983147,2909.4495410099626,14158.308987574132,13.11255041429164,0.002545856653438436,200,230,250,270,330,420,670,910,1400,2100,2900
POST,/cart,56845,11,270,317.14579019481226,67.11920816451311,3711.643749848008,18148.5324302929,13.156292860427993,0.002545856653438436,270,310,330,360,460,590,930,1200,2000,2600,3700
POST,/cart/checkout,18923,3,200,248.2831346607172,100.7181671448052,2448.5081252641976,6561.422660254717,4.379567768455957,0.0006943245418468462,200,230,260,280,370,510,870,1100,1700,2300,2400
GET,/product/0PUK6V6EV0,27505,0,140,176.51697978026212,83.78387475386262,3164.5363331772387,7738.3315760770765,6.3657988411658355,0.0,140,160,180,200,250,330,550,810,1400,2800,3200
GET,/product/1YMWWN1N4O,27463,4,140,175.34085506925936,60.092625208199024,3060.328083112836,7760.271456140989,6.356078297579979,0.000925766055795795,140,160,180,190,250,320,550,820,1300,2200,3100
GET,/product/2ZYFJ3GM2N,27066,1,140,176.66834759570204,75.55025024339557,3243.9460000023246,7756.867324318333,6.264196016542247,0.00023144151394894876,140,160,180,200,250,330,560,800,1300,2800,3200
GET,/product/66VCHSJNUP,27501,2,140,177.16921645519295,62.015166971832514,3288.907791953534,7723.237264099487,6.364873075110039,0.0004628830278978975,140,160,180,200,250,340,570,820,1400,2800,3300
GET,/product/6E92ZMYYFZ,26914,1,140,177.1994461577078,61.8949169293046,3046.4172498323023,7713.294827970573,6.2290169064220064,0.00023144151394894876,140,160,180,200,250,330,590,850,1300,2300,3000
GET,/product/9SIQT8TOJO,27235,2,140,176.76608176474147,64.84166719019413,2828.0589999631047,7764.133982008445,6.303309632399619,0.0004628830278978975,140,160,180,200,250,330,570,810,1300,2100,2800
GET,/product/L9ECAV7KIM,27332,1,140,176.26307247151777,83.8322089985013,3367.767124902457,7730.908568710669,6.325759459252668,0.00023144151394894876,140,160,180,190,250,330,580,820,1300,3000,3400
GET,/product/LS4PSXUNUM,27080,0,140,175.89718606563744,85.59212507680058,2772.7650003507733,7729.57023633678,6.267436197737532,0.0,140,160,180,190,250,330,560,810,1300,2100,2800
GET,/product/OLJCESPC7Z,27385,4,140,177.51629124450812,65.82649983465672,3185.5040001682937,7761.6831477086,6.338025859491962,0.000925766055795795,140,160,180,200,250,330,600,860,1300,2600,3200
POST,/setCurrency,19200,4,220,257.56952956505603,61.16216629743576,2104.751749895513,10285.304114583334,4.443677067819816,0.000925766055795795,220,250,270,280,340,440,690,910,1300,2100,2100
,Aggregated,417623,47,170,211.50917293605076,60.092625208199024,3711.643749848008,10217.06276234786,96.65529937990182,0.010877751155600591,170,210,230,260,320,430,680,920,1500,2500,3700
