Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20502,4,170,214.92152214332387,91.69320808723569,3844.6909999474883,10278.285972100282,4.7447948714005035,0.0009257233189738568,170,200,230,260,350,460,690,890,1500,2300,3800
GET,/cart,56778,6,200,232.96674518328498,63.183541875332594,4043.6401669867337,14049.830656240092,13.14017965117441,0.0013885849784607853,200,230,250,270,340,440,670,910,1700,3500,4000
POST,/cart,56400,4,280,330.87810900384324,63.46933310851455,4087.2106249444187,18133.433191489363,13.05269879753138,0.0009257233189738568,280,320,350,370,480,630,990,1200,2300,3000,4100
POST,/cart/checkout,18849,1,200,258.1244865245613,73.38966568931937,3840.3143328614533,6562.113639980901,4.362239709834557,0.0002314308297434642,200,240,270,300,390,540,900,1100,2100,3200,3800
GET,/product/0PUK6V6EV0,27387,2,150,181.23492419855856,66.95624999701977,3602.4619578383863,7737.347464125315,6.338196134184255,0.0004628616594869284,150,170,190,200,260,350,590,860,1700,2300,3600
GET,/product/1YMWWN1N4O,27506,1,150,180.3030380013017,77.90808286517859,2565.7714591361582,7759.712535446812,6.3657364029237264,0.0002314308297434642,150,170,190,200,260,350,560,830,1800,2200,2600
GET,/product/2ZYFJ3GM2N,27082,0,150,180.08342324069338,87.38545933738351,3769.7722921147943,7755.486707037885,6.267609731112498,0.0,150,170,190,200,260,340,570,830,1600,2700,3800
GET,/product/66VCHSJNUP,26949,1,140,180.1893184977675,88.04291626438498,3794.802541844547,7722.585995769788,6.236829430756617,0.0002314308297434642,140,170,190,200,250,340,590,840,1700,2400,3800
GET,/product/6E92ZMYYFZ,27290,1,150,179.6779901525719,85.45500040054321,3448.4847499988973,7712.805056797361,6.3157473436991385,0.0002314308297434642,150,170,190,200,260,340,560,810,1300,2500,3400
GET,/product/9SIQT8TOJO,27242,1,150,179.3073521072734,81.70274971053004,2549.0897498093545,7763.640628441377,6.304638663871452,0.0002314308297434642,150,170,190,200,260,340,560,810,1400,2100,2500
GET,/product/L9ECAV7KIM,27243,2,150,179.68101462084903,69.52883396297693,2382.77683313936,7730.3274969716995,6.3048700947011955,0.0004628616594869284,150,170,190,200,260,350,580,800,1300,2200,2400
GET,/product/LS4PSXUNUM,27243,2,150,180.91690716098591,83.65395897999406,3429.364792071283,7728.546305472965,6.3048700947011955,0.0004628616594869284,150,170,190,200,260,340,590,840,1600,2500,3400
GET,/product/OLJCESPC7Z,27521,2,150,178.9118926064889,85.26054117828608,2672.3018339835107,7761.62425057229,6.369207865369878,0.0004628616594869284,150,170,190,200,260,330,550,800,1500,2300,2700
POST,/setCurrency,18793,3,230,263.1004507637458,62.80937511473894,3102.592291776091,10285.136859468952,4.349279583368923,0.0006942924892303926,230,250,270,290,350,450,680,920,1500,2400,3100
,Aggregated,416785,30,180,216.6503389807799,62.80937511473894,4087.2106249444187,10193.205009777223,96.45689837462973,0.0069429248923039266,180,210,240,260,330,440,690,940,1800,2600,4100
