Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-27 02:01:40,deployment,adservice,5,92,1,,,
2026-08-27 02:01:40,deployment,cartservice,14,44,1,,,
2026-08-27 02:01:40,deployment,checkoutservice,7,12,1,,,
2026-08-27 02:01:40,deployment,currencyservice,7,47,1,,,
2026-08-27 02:01:40,deployment,emailservice,17,40,1,,,
2026-08-27 02:01:40,deployment,frontend,0,13,1,,,
2026-08-27 02:01:40,http_p95_latency,frontend,,,,,,0.0
2026-08-27 02:01:40,deployment,paymentservice,8,30,1,,,
2026-08-27 02:01:40,deployment,productcatalogservice,6,9,1,,,
2026-08-27 02:01:40,deployment,recommendationservice,17,42,1,,,
2026-08-27 02:01:40,deployment,redis-cart,4,14,1,,,
2026-08-27 02:01:40,deployment,shippingservice,9,9,1,,,
2026-08-27 02:01:40,node,ze-master-node,492,3200,,12.3,40.3,
2026-08-27 02:01:40,node,ze-worker-node,469,2433,,11.7,30.6,
2026-08-27 02:01:48,deployment,adservice,5,92,1,,,
2026-08-27 02:01:48,deployment,cartservice,14,44,1,,,
2026-08-27 02:01:48,deployment,checkoutservice,7,12,1,,,
2026-08-27 02:01:48,deployment,currencyservice,7,47,1,,,
2026-08-27 02:01:48,deployment,emailservice,17,40,1,,,
2026-08-27 02:01:48,deployment,frontend,0,13,1,,,
2026-08-27 02:01:48,http_p95_latency,frontend,,,,,,0.0
2026-08-27 02:01:48,deployment,paymentservice,8,30,1,,,
2026-08-27 02:01:48,deployment,productcatalogservice,9,9,1,,,
2026-08-27 02:01:48,deployment,recommendationservice,18,42,1,,,
2026-08-27 02:01:48,deployment,redis-cart,4,15,1,,,
2026-08-27 02:01:48,deployment,shippingservice,12,9,1,,,
2026-08-27 02:01:48,node,ze-master-node,509,3197,,12.7,40.3,
2026-08-27 02:01:48,node,ze-worker-node,282,2431,,7.0,30.6,
2026-08-27 02:01:55,deployment,adservice,6,92,1,,,
2026-08-27 02:01:55,deployment,cartservice,9,44,1,,,
2026-08-27 02:01:55,deployment,checkoutservice,9,12,1,,,
2026-08-27 02:01:55,deployment,currencyservice,8,47,1,,,
2026-08-27 02:01:55,deployment,emailservice,21,40,1,,,
2026-08-27 02:01:55,deployment,frontend,0,13,1,,,
2026-08-27 02:01:55,http_p95_latency,frontend,,,,,,0.0
2026-08-27 02:01:55,deployment,paymentservice,8,30,1,,,
2026-08-27 02:01:55,deployment,productcatalogservice,9,9,1,,,
2026-08-27 02:01:55,deployment,recommendationservice,18,42,1,,,
2026-08-27 02:01:55,deployment,redis-cart,4,15,1,,,
2026-08-27 02:01:55,deployment,shippingservice,12,9,1,,,
2026-08-27 02:01:55,node,ze-master-node,509,3197,,12.7,40.3,
2026-08-27 02:01:55,node,ze-worker-node,282,2431,,7.0,30.6,
2026-08-27 02:02:01,deployment,adservice,6,92,1,,,
2026-08-27 02:02:01,deployment,cartservice,9,44,1,,,
2026-08-27 02:02:01,deployment,checkoutservice,9,12,1,,,
2026-08-27 02:02:01,deployment,currencyservice,8,47,1,,,
2026-08-27 02:02:01,deployment,emailservice,21,40,1,,,
2026-08-27 02:02:01,deployment,frontend,0,13,1,,,
2026-08-27 02:02:01,http_p95_latency,frontend,,,,,,0.0
2026-08-27 02:02:01,deployment,paymentservice,8,31,1,,,
2026-08-27 02:02:01,deployment,productcatalogservice,9,9,1,,,
2026-08-27 02:02:01,deployment,recommendationservice,16,42,1,,,
2026-08-27 02:02:01,deployment,redis-cart,4,15,1,,,
2026-08-27 02:02:01,deployment,shippingservice,12,9,1,,,
2026-08-27 02:02:01,node,ze-master-node,678,3198,,17.0,40.3,
2026-08-27 02:02:01,node,ze-worker-node,276,2431,,6.9,30.6,
2026-08-27 02:02:11,deployment,adservice,8,92,1,,,
2026-08-27 02:02:11,deployment,cartservice,12,44,1,,,
2026-08-27 02:02:11,deployment,checkoutservice,8,12,1,,,
2026-08-27 02:02:11,deployment,currencyservice,9,47,1,,,
2026-08-27 02:02:11,deployment,emailservice,18,40,1,,,
2026-08-27 02:02:11,deployment,frontend,0,13,1,,,
2026-08-27 02:02:11,http_p95_latency,frontend,,,,,,0.0
2026-08-27 02:02:11,deployment,paymentservice,8,31,1,,,
2026-08-27 02:02:11,deployment,productcatalogservice,9,9,1,,,
2026-08-27 02:02:11,deployment,recommendationservice,16,42,1,,,
2026-08-27 02:02:11,deployment,redis-cart,4,15,1,,,
2026-08-27 02:02:11,deployment,shippingservice,12,9,1,,,
2026-08-27 02:02:11,node,ze-master-node,678,3198,,17.0,40.3,
2026-08-27 02:02:11,node,ze-worker-node,276,2431,,6.9,30.6,
2026-08-27 02:02:16,deployment,adservice,8,92,1,,,
2026-08-27 02:02:16,deployment,cartservice,12,44,1,,,
2026-08-27 02:02:16,deployment,checkoutservice,8,12,1,,,
2026-08-27 02:02:16,deployment,currencyservice,9,47,1,,,
2026-08-27 02:02:16,deployment,emailservice,18,40,1,,,
2026-08-27 02:02:16,deployment,frontend,0,13,1,,,
2026-08-27 02:02:16,http_p95_latency,frontend,,,,,,0.0
2026-08-27 02:02:16,deployment,paymentservice,8,31,1,,,
2026-08-27 02:02:16,deployment,productcatalogservice,9,9,1,,,
2026-08-27 02:02:16,deployment,recommendationservice,16,42,1,,,
2026-08-27 02:02:16,deployment,redis-cart,4,15,1,,,
2026-08-27 02:02:16,deployment,shippingservice,12,9,1,,,
2026-08-27 02:02:16,node,ze-master-node,678,3198,,17.0,40.3,
2026-08-27 02:02:16,node,ze-worker-node,276,2431,,6.9,30.6,
2026-08-27 02:02:24,deployment,adservice,8,92,1,,,
2026-08-27 02:02:24,deployment,cartservice,9,44,1,,,
2026-08-27 02:02:24,deployment,checkoutservice,5,12,1,,,
2026-08-27 02:02:24,deployment,currencyservice,6,47,1,,,
2026-08-27 02:02:24,deployment,emailservice,13,43,1,,,
2026-08-27 02:02:24,deployment,frontend,0,13,1,,,
2026-08-27 02:02:24,http_p95_latency,frontend,,,,,,0.0
2026-08-27 02:02:24,deployment,paymentservice,8,31,1,,,
2026-08-27 02:02:24,deployment,productcatalogservice,4,9,1,,,
2026-08-27 02:02:24,deployment,recommendationservice,21,42,1,,,
2026-08-27 02:02:24,deployment,redis-cart,4,14,1,,,
2026-08-27 02:02:24,deployment,shippingservice,10,9,1,,,
2026-08-27 02:02:24,node,ze-master-node,627,3157,,15.7,39.8,
