Minute,Timestamp,Total Request Count,SelectedLatency_ms,CumulativeSLOViolationRate_percent,Method,DisplayName,Run,File
0,1788320853,234,430.0,1.6666666666666718,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
1,1788320913,469,290.0,0.9803921568627416,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
2,1788320973,1050,350.0,1.970588235294124,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
3,1788321033,2126,540.0,6.428571428571428,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
4,1788321093,3717,500.0,5.000000000000004,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
5,1788321153,5867,480.0,4.760000000000009,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
6,1788321213,8614,460.0,4.454545454545455,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
7,1788321273,11768,440.0,4.217391304347828,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
8,1788321333,15669,420.0,3.9090909090909176,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
9,1788321393,19980,400.0,3.500000000000003,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
10,1788321453,24877,390.0,3.3500000000000085,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
11,1788321513,30313,390.0,3.6250000000000004,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
12,1788321573,36435,370.0,3.304347826086962,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
13,1788321633,41537,350.0,2.954545454545454,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
14,1788321693,46471,350.0,2.857142857142858,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
15,1788321753,52232,340.0,2.6000000000000023,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
16,1788321813,60016,360.0,2.9000000000000026,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
17,1788321873,69599,370.0,2.833333333333332,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
18,1788321933,78841,400.0,3.57142857142857,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
19,1788321993,87250,400.0,3.57142857142857,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
20,1788322053,94070,390.0,3.3500000000000085,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
21,1788322113,100154,380.0,3.200000000000003,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
22,1788322173,104706,380.0,3.1052631578947443,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
23,1788322233,109968,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
24,1788322293,116247,370.0,2.833333333333332,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
25,1788322353,124858,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
26,1788322413,134253,380.0,3.1052631578947443,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
27,1788322473,143234,370.0,3.0500000000000083,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
28,1788322533,150511,370.0,3.1428571428571472,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
29,1788322593,157033,370.0,3.0500000000000083,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
30,1788322653,162155,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
31,1788322713,166529,370.0,2.947368421052632,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
32,1788322773,172292,360.0,2.7894736842105305,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
33,1788322833,179763,360.0,2.6666666666666727,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
34,1788322893,189225,360.0,2.6666666666666727,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
35,1788322953,198727,360.0,2.52941176470588,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
36,1788323013,207078,360.0,2.52941176470588,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
37,1788323073,213812,350.0,2.352941176470591,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
38,1788323133,219810,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
39,1788323193,224439,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
40,1788323253,229541,350.0,2.187499999999998,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
41,1788323313,235681,350.0,2.0000000000000018,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
42,1788323373,244277,340.0,2.0000000000000018,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
43,1788323433,253420,350.0,2.0000000000000018,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
44,1788323493,262365,350.0,2.0000000000000018,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
45,1788323553,269573,350.0,2.0000000000000018,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
46,1788323613,275867,350.0,1.9565217391304346,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
47,1788323673,280823,340.0,1.9565217391304346,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
48,1788323733,285209,340.0,1.9565217391304346,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
49,1788323793,290521,340.0,1.9130434782608674,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
50,1788323853,297101,340.0,1.9130434782608674,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
51,1788323913,305555,340.0,1.9090909090909158,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
52,1788323973,313504,340.0,1.8636363636363673,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
53,1788324033,320606,340.0,1.8636363636363673,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
54,1788324093,325855,340.0,1.8636363636363673,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
55,1788324153,330248,340.0,1.8636363636363673,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
56,1788324213,334012,330.0,1.8571428571428572,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
57,1788324273,337786,330.0,1.8571428571428572,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
58,1788324333,342583,330.0,1.8571428571428572,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
59,1788324393,348394,330.0,1.8695652173913113,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
60,1788324453,355427,330.0,1.8695652173913113,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
61,1788324513,362111,330.0,1.9130434782608674,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
62,1788324573,368120,330.0,1.9166666666666665,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
63,1788324633,372951,330.0,1.9166666666666665,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
64,1788324693,377173,330.0,1.8750000000000044,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
65,1788324753,380764,330.0,1.8750000000000044,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
66,1788324813,385475,330.0,1.8695652173913113,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
67,1788324873,391399,330.0,1.8750000000000044,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
68,1788324933,398781,330.0,1.9166666666666665,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
69,1788324993,407105,330.0,1.9199999999999995,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
70,1788325053,415158,330.0,1.9600000000000062,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
71,1788325111,421410,330.0,1.9600000000000062,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
0,1788325304,246,320.0,2.300000000000002,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
1,1788325364,464,320.0,1.750000000000007,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
2,1788325424,1002,360.0,3.0909090909090886,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
3,1788325484,2029,550.0,6.470588235294117,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
4,1788325544,3647,520.0,5.625000000000002,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
5,1788325604,5805,520.0,5.588235294117649,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
6,1788325664,8552,460.0,4.600000000000004,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
7,1788325724,11888,400.0,3.6363636363636376,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
8,1788325784,15670,380.0,3.285714285714292,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
9,1788325844,20100,370.0,3.4399999999999986,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
10,1788325904,25099,350.0,3.200000000000003,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
11,1788325964,30480,360.0,3.384615384615386,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
12,1788326024,36750,350.0,3.200000000000003,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
13,1788326084,41704,350.0,3.3333333333333326,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
14,1788326144,46584,340.0,3.080000000000005,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
15,1788326204,52487,340.0,2.9130434782608683,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
16,1788326264,60142,340.0,3.1538461538461515,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
17,1788326324,69534,380.0,3.7142857142857144,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
18,1788326384,79039,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
19,1788326444,87472,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
20,1788326504,94475,370.0,3.4399999999999986,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
21,1788326564,100430,370.0,3.3750000000000058,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
22,1788326624,104997,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
23,1788326684,110202,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
24,1788326744,116412,350.0,3.125,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
25,1788326804,125118,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
