Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-09-01 22:48:41,deployment,adservice,8,95,1,,,
2026-09-01 22:48:41,deployment,cartservice,10,40,1,,,
2026-09-01 22:48:41,deployment,checkoutservice,8,10,1,,,
2026-09-01 22:48:41,deployment,currencyservice,12,62,1,,,
2026-09-01 22:48:41,deployment,emailservice,17,40,1,,,
2026-09-01 22:48:41,deployment,frontend,0,11,1,,,
2026-09-01 22:48:41,http_p95_latency,frontend,,,,,,0.0
2026-09-01 22:48:41,deployment,paymentservice,10,31,1,,,
2026-09-01 22:48:41,deployment,productcatalogservice,10,9,1,,,
2026-09-01 22:48:41,deployment,recommendationservice,22,40,1,,,
2026-09-01 22:48:41,deployment,redis-cart,4,48,1,,,
2026-09-01 22:48:41,deployment,shippingservice,14,9,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-adservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-cartservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-checkoutservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-currencyservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-emailservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-frontend,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-paymentservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-productcatalogservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-recommendationservice,0,0,1,,,
2026-09-01 22:48:41,autoscaler,customdas-cpu-queue-autoscaler-shippingservice,0,0,1,,,
2026-09-01 22:48:41,node,ze-master-node,959,3219,,24.0,40.5,
2026-09-01 22:48:41,node,ze-worker-node,433,1844,,10.8,23.2,
2026-09-01 22:48:50,deployment,adservice,6,95,1,,,
